"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","4","ci1","a101",0.792697663314835,0.00623823376894284
"hc4","4","ci1","a103",0.695134873983779,0.0256465440085638
"hc4","4","ci1","a109",0.841479057980364,0.00227104319813121
"hc4","4","ci1","a95",0.695134873983779,0.0256465440085638
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","1","p450","a114",0.475,0.00692907521459851
NA,NA,NA,NA,NA,NA
"hc4","1","sod","a114",-0.381048387096774,0.0344356459684714
"hc4","1","sod","a128",0.41491935483871,0.0202884191998662
"hc4","1","sod","a91",0.432661290322581,0.0150573150714797
NA,NA,NA,NA,NA,NA
"hc4","1","ci1","a85",-0.430331740876579,0.0156721371366557
"hc4","1","ci1","a87",-0.403473870610701,0.0243993127695199
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","1","shell","a112",0.382777067025443,0.0335590959567296
"hc4","1","shell","a83",0.379348610682223,0.0353155075565488
"hc4","1","shell","a91",0.361399633355951,0.0457608088675485
NA,NA,NA,NA,NA,NA
"hc4","2","p450","a101",-0.456923076923077,0.0216639365627844
"hc4","2","p450","a119",-0.449230769230769,0.0242731405535705
"hc4","2","p450","a88",-0.45,0.0240013133707699
NA,NA,NA,NA,NA,NA
"hc4","2","sod","a101",0.501538461538461,0.0106415403711941
"hc4","2","sod","a103",0.459230769230769,0.0209271986973278
"hc4","2","sod","a107",0.455384615384615,0.0221666852459497
"hc4","2","sod","a109",0.453846153846154,0.0226788528638702
"hc4","2","sod","a114",0.435384615384615,0.0296064142403141
"hc4","2","sod","a119",0.459230769230769,0.0209271986973278
"hc4","2","sod","a84",0.419230769230769,0.0369746442117793
"hc4","2","sod","a86",0.501538461538461,0.0106415403711941
"hc4","2","sod","a88",0.529230769230769,0.00652124189178527
"hc4","2","sod","a95",0.5,0.0109224962959504
NA,NA,NA,NA,NA,NA
"hc4","2","ci1","a103",0.410257698748138,0.0416561222779834
"hc4","2","ci1","a112",0.478119874480912,0.0156299329562724
"hc4","2","ci1","a126",0.473878488497614,0.016711423895617
"hc4","2","ci1","a128",0.489687290798999,0.0129687546964337
"hc4","2","ci1","a83",0.447659011509951,0.0248362972415239
"hc4","2","ci1","a84",0.42221069561016,0.0355159359344248
"hc4","2","ci1","a85",0.4141135041875,0.0395902397003727
"hc4","2","ci1","a86",0.483518002096019,0.0143371836181958
"hc4","2","ci1","a87",0.434934853560056,0.0297942332854386
"hc4","2","ci1","a91",0.463467813811336,0.0196275466846787
"hc4","2","ci1","a97",0.459226427828038,0.0209285653367877
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc4","3","ci3","a101",0.833333333333333,0.0101755401234569
"hc4","3","ci3","a103",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a107",0.833333333333333,0.0101755401234569
"hc4","3","ci3","a109",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a112",0.904761904761905,0.00200827550542959
"hc4","3","ci3","a113",0.738095238095238,0.0365527610528609
"hc4","3","ci3","a114",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a119",0.738095238095238,0.0365527610528609
"hc4","3","ci3","a128",0.738095238095238,0.0365527610528609
"hc4","3","ci3","a83",0.738095238095238,0.0365527610528609
"hc4","3","ci3","a84",0.738095238095238,0.0365527610528609
"hc4","3","ci3","a85",0.714285714285714,0.0465282322841674
"hc4","3","ci3","a86",0.714285714285714,0.0465282322841674
"hc4","3","ci3","a87",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a88",0.738095238095238,0.0365527610528609
"hc4","3","ci3","a91",0.80952380952381,0.0149026676862301
"hc4","3","ci3","a95",0.833333333333333,0.0101755401234569
"hc4","3","ci3","a97",0.80952380952381,0.0149026676862301
NA,NA,NA,NA,NA,NA
"hc4","3","shell","a113",0.738095238095238,0.0365527610528609
"hc4","3","shell","a119",0.738095238095238,0.0365527610528609
"hc4","3","shell","a126",0.833333333333333,0.0101755401234569
"hc4","3","shell","a128",0.761904761904762,0.0280049391530719
"hc4","3","shell","a83",0.738095238095238,0.0365527610528609
"hc4","3","shell","a84",0.738095238095238,0.0365527610528609
"hc4","3","shell","a85",0.714285714285714,0.0465282322841674
"hc4","3","shell","a86",0.714285714285714,0.0465282322841674
"hc4","3","shell","a88",0.738095238095238,0.0365527610528609
