"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"p42","1","p450","a100",0.569230769230769,0.0336194170772703
"p42","1","p450","a125",-0.753846153846154,0.00184472528925728
"p42","1","p450","a99",-0.648351648351648,0.0121442225731059
NA,NA,NA,NA,NA,NA
"p42","1","sod","a115",-0.542857142857143,0.0448639664392485
"p42","1","sod","a125",0.714285714285714,0.00410440916188026
NA,NA,NA,NA,NA,NA
"p42","1","ci1","a105",-0.771428571428571,0.00123265728680022
"p42","1","ci1","a110",-0.551648351648352,0.0408490583511227
"p42","1","ci1","a99",-0.534065934065934,0.0491599163719849
NA,NA,NA,NA,NA,NA
"p42","1","ci2","a105",0.740659340659341,0.00244519764044604
"p42","1","ci2","a89",-0.714285714285714,0.00410440916188026
"p42","1","ci2","a99",0.608791208791209,0.0208566160172232
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","1","shell","a125",-0.67032967032967,0.00870423380985885
"p42","1","shell","a89",0.683516483516484,0.0070367436398846
"p42","1","shell","a99",-0.63956043956044,0.0137796168334638
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","3","sod","a102",0.664335664335664,0.0184527180284455
"p42","3","sod","a104",0.776223776223776,0.00299286368018592
"p42","3","sod","a106",0.699300699300699,0.011374198642691
"p42","3","sod","a108",0.664335664335664,0.0184527180284455
"p42","3","sod","a127",-0.727272727272727,0.00735502885780503
"p42","3","sod","a96",0.622377622377622,0.0306758950616401
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","3","ci3","a110",-0.637479086187895,0.0257543870745449
"p42","3","ci3","a82",0.612960659796053,0.0340673316633562
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","4","p450","a129",0.502450980392157,0.0398329676232378
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","4","ci1","a100",0.50153289622939,0.0402556477531415
"p42","4","ci1","a105",0.589822305834564,0.0126986186854552
"p42","4","ci1","a110",0.572654920633558,0.0162812803471146
"p42","4","ci1","a111",0.694052858840672,0.00199603502469747
"p42","4","ci1","a98",0.508890347029822,0.0369622942412504
"p42","4","ci1","a99",0.727161387442613,0.000941322596729854
NA,NA,NA,NA,NA,NA
"p42","4","ci2","a100",0.666666666666667,0.00346996024341051
"p42","4","ci2","a102",0.482843137254902,0.0496215896422583
"p42","4","ci2","a104",0.605392156862745,0.0100177746331802
"p42","4","ci2","a105",0.615196078431373,0.00857557342459403
"p42","4","ci2","a106",0.661764705882353,0.00380915992772701
"p42","4","ci2","a110",0.563725490196078,0.0184349895156923
"p42","4","ci2","a111",0.686274509803922,0.00234904091982679
"p42","4","ci2","a89",0.5,0.0409689559558362
"p42","4","ci2","a94",0.575980392156863,0.01553176561917
"p42","4","ci2","a98",0.681372549019608,0.00259660313572541
"p42","4","ci2","a99",0.534313725490196,0.0271397758044598
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","5","p450","a125",-0.730769230769231,0.004547733743967
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","5","ci1","a99",-0.570250097713345,0.0418592581405102
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","2","p450","a110",-0.717234262125903,0.00080707064853458
"p42","2","p450","a120",0.599587203302374,0.00853669876822316
"p42","2","p450","a121",0.742002063983488,0.00042266515033984
"p42","2","p450","a93",0.742002063983488,0.00042266515033984
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
