"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"phmw","1","p450","a125",-0.657142857142857,0.0106619677473296
"phmw","1","p450","a99",-0.718681318681319,0.00377957996141243
NA,NA,NA,NA,NA,NA
"phmw","1","sod","a115",-0.573626373626374,0.031970813976397
"phmw","1","sod","a125",0.775824175824176,0.00110847866777863
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","1","ci2","a105",0.564835164835165,0.0353301848675527
"phmw","1","ci2","a125",0.604395604395604,0.0220568617546162
"phmw","1","ci2","a89",-0.578021978021978,0.030383014145237
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","1","shell","a106",0.538461538461538,0.0469761458595552
"phmw","1","shell","a125",-0.582417582417582,0.0288546553576718
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","4","ci3","a121",0.532453567523475,0.0499791606645887
"phmw","4","ci3","a93",0.580858437298336,0.0293900554371547
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","5","ci1","a125",0.588721327232381,0.0342765954958368
NA,NA,NA,NA,NA,NA
"phmw","5","ci2","a102",0.582417582417582,0.0367413343586542
"phmw","5","ci2","a104",0.642857142857143,0.0177924506923757
"phmw","5","ci2","a111",0.615384615384615,0.0251671165518992
NA,NA,NA,NA,NA,NA
"phmw","5","ci3","a105",0.605227532668802,0.028395441869538
"phmw","5","ci3","a110",0.552957882120133,0.0499923778176297
"phmw","5","ci3","a111",0.574966156035362,0.0398180738875862
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","6","p450","a125",-0.727272727272727,0.00735502885780503
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","6","ci1","a99",-0.582459725832678,0.046892133588242
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","3","sod","a100",0.636363636363636,0.0352869812200622
"phmw","3","sod","a121",-0.772727272727273,0.00529948717864381
"phmw","3","sod","a93",-0.772727272727273,0.00529948717864381
NA,NA,NA,NA,NA,NA
"phmw","3","ci1","a104",0.611878525069479,0.0454267667734594
"phmw","3","ci1","a129",0.611878525069479,0.0454267667734594
"phmw","3","ci1","a94",0.712336193364468,0.0139078015417307
NA,NA,NA,NA,NA,NA
"phmw","3","ci2","a123",0.618181818181818,0.0426455698053267
"phmw","3","ci2","a129",0.609090909090909,0.0466957093540987
"phmw","3","ci2","a94",0.872727272727273,0.000454615051409757
NA,NA,NA,NA,NA,NA
"phmw","3","ci3","a116",0.890909090909091,0.000233458170378675
"phmw","3","ci3","a129",0.827272727272727,0.00167697389645238
"phmw","3","ci3","a94",0.636363636363636,0.0352869812200622
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","2","p450","a120",0.757575757575758,0.0111434467996943
"phmw","2","p450","a121",0.733333333333333,0.0158005962505716
"phmw","2","p450","a93",0.733333333333333,0.0158005962505716
NA,NA,NA,NA,NA,NA
"phmw","2","sod","a104",0.903030303030303,0.000343612197763132
NA,NA,NA,NA,NA,NA
"phmw","2","ci1","a106",-0.721212121212121,0.0185731550894601
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","2","ci3","a105",0.638300820864068,0.0470244525285981
NA,NA,NA,NA,NA,NA
"phmw","2","shell","a89",0.781818181818182,0.00754700778106798
