"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"plmw","1","p450","a100",0.637362637362637,0.0191181137774632
"plmw","1","p450","a102",0.582417582417582,0.0367413343586542
"plmw","1","p450","a104",0.593406593406593,0.0325244402700968
"plmw","1","p450","a106",0.56043956043956,0.0463459058940647
"plmw","1","p450","a108",0.582417582417582,0.0367413343586542
"plmw","1","p450","a111",0.736263736263736,0.00410770936057459
"plmw","1","p450","a115",0.582417582417582,0.0367413343586542
"plmw","1","p450","a116",0.714285714285714,0.00608830524582427
"plmw","1","p450","a118",0.554945054945055,0.0490044955983309
"plmw","1","p450","a120",0.56043956043956,0.0463459058940647
"plmw","1","p450","a121",0.554945054945055,0.0490044955983309
"plmw","1","p450","a122",0.582417582417582,0.0367413343586542
"plmw","1","p450","a123",0.807692307692308,0.00083916000972728
"plmw","1","p450","a124",0.582417582417582,0.0367413343586542
"plmw","1","p450","a125",-0.862637362637363,0.000147447859476291
"plmw","1","p450","a129",0.681318681318681,0.0103404094514929
"plmw","1","p450","a130",0.554945054945055,0.0490044955983309
"plmw","1","p450","a80",0.554945054945055,0.0490044955983309
"plmw","1","p450","a81",0.582417582417582,0.0367413343586542
"plmw","1","p450","a82",0.582417582417582,0.0367413343586542
"plmw","1","p450","a89",0.587912087912088,0.0345860583421078
"plmw","1","p450","a90",0.582417582417582,0.0367413343586542
"plmw","1","p450","a92",0.582417582417582,0.0367413343586542
"plmw","1","p450","a93",0.554945054945055,0.0490044955983309
"plmw","1","p450","a94",0.747252747252747,0.00332674138342992
"plmw","1","p450","a96",0.582417582417582,0.0367413343586542
"plmw","1","p450","a98",0.582417582417582,0.0367413343586542
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","1","ci2","a89",-0.774725274725275,0.00187136150287204
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","1","shell","a104",0.588721327232381,0.0342765954958368
"plmw","1","shell","a89",0.888584059327378,4.91023937376767e-05
"plmw","1","shell","a99",-0.651995114738664,0.0157413993395528
NA,NA,NA,NA,NA,NA
"plmw","3","p450","a105",-0.603571428571429,0.0172001380687954
NA,NA,NA,NA,NA,NA
"plmw","3","sod","a104",0.657142857142857,0.00777025135866838
"plmw","3","sod","a106",0.603571428571429,0.0172001380687954
NA,NA,NA,NA,NA,NA
"plmw","3","ci1","a123",-0.547870730795447,0.034491535935619
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","3","ci3","a123",-0.516532824665889,0.0486786581712773
"plmw","3","ci3","a127",-0.725648189669034,0.00219693181607195
NA,NA,NA,NA,NA,NA
"plmw","3","shell","a82",-0.557142857142857,0.0309610867558119
NA,NA,NA,NA,NA,NA
"plmw","5","p450","a125",-0.544117647058823,0.0293363374813764
NA,NA,NA,NA,NA,NA
"plmw","5","sod","a125",0.547058823529412,0.0283010872421088
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","5","ci2","a105",-0.635294117647059,0.0081820646163342
"plmw","5","ci2","a110",-0.652941176470588,0.00610204667907688
"plmw","5","ci2","a98",-0.529411764705882,0.0349520067895179
"plmw","5","ci2","a99",-0.517647058823529,0.0400017929595606
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","4","p450","a129",0.678321678321678,0.0153173290532818
NA,NA,NA,NA,NA,NA
"plmw","4","sod","a106",0.727272727272727,0.00735502885780503
NA,NA,NA,NA,NA,NA
"plmw","4","ci1","a100",0.608391608391608,0.0358059970520292
"plmw","4","ci1","a104",0.615384615384615,0.0331699010901059
"plmw","4","ci1","a105",0.636363636363636,0.0260968910527031
"plmw","4","ci1","a111",0.643356643356643,0.0240031912007137
"plmw","4","ci1","a118",0.685314685314685,0.0139059688143628
"plmw","4","ci1","a122",0.622377622377622,0.0306758950616401
"plmw","4","ci1","a124",0.65034965034965,0.0220341909323654
"plmw","4","ci1","a89",0.657342657342657,0.020185498509854
"plmw","4","ci1","a98",0.692307692307692,0.0125930304960939
"plmw","4","ci1","a99",0.699300699300699,0.011374198642691
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","4","ci3","a121",0.651489615554662,0.0217247350674117
"plmw","4","ci3","a93",0.693521203654963,0.012374896241794
NA,NA,NA,NA,NA,NA
"plmw","4","shell","a121",0.755244755244755,0.00450843548429436
"plmw","4","shell","a125",0.615384615384615,0.0331699010901059
"plmw","4","shell","a93",0.79020979020979,0.00222313540999108
"plmw","4","shell","a96",0.629370629370629,0.0283196712957601
NA,NA,NA,NA,NA,NA
"plmw","2","p450","a106",0.471620227038184,0.0481689767895532
"plmw","2","p450","a116",0.47781217750258,0.0449121511882242
"plmw","2","p450","a89",0.636738906088751,0.0044898480994322
"plmw","2","p450","a99",-0.519091847265222,0.027278528700017
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","2","ci1","a89",-0.475404470130369,0.0461580190125901
NA,NA,NA,NA,NA,NA
"plmw","2","ci2","a100",-0.547987616099071,0.0185541356991217
"plmw","2","ci2","a106",-0.545923632610939,0.0190927295098753
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
