"Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA
"sod","a100",0.265723805997779,0.0221240473276594
"sod","a102",0.298896704924102,0.00968549710767741
"sod","a104",0.307663828211773,0.00766273867486689
"sod","a105",0.246145871899297,0.0345134306662629
"sod","a106",0.31897815623843,0.00560571160648982
"sod","a108",0.285686782673084,0.0136102248547052
"sod","a110",0.259474268789337,0.0255840869289243
"sod","a111",0.272565716401333,0.018800976166206
"sod","a123",0.234179933358016,0.0446205234141213
"sod","a89",0.236164383561644,0.0427926516142072
"sod","a94",0.255623843021103,0.0279360401061419
"sod","a96",0.270373935579415,0.0198155894765402
