"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","4","ci3","mercury",0.636363636363636,0.0479117261299753
NA,NA,NA,NA,NA,NA
"hc5","4","shell","copper",-0.636363636363636,0.0479117261299753
NA,NA,NA,NA,NA,NA
"hc5","1","p450","mercury",0.506854838709677,0.00361569694906461
NA,NA,NA,NA,NA,NA
"hc5","1","sod","arsenic",-0.487903225806452,0.00536332385276017
"hc5","1","sod","cadmium",-0.356048387096774,0.0493111750347095
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","2","sod","copper",0.458461538461538,0.0211704808451656
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","3","p450","mercury",-0.928571428571429,0.00251947240379469
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","3","ci1","zinc",-0.892857142857143,0.00680718740893527
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
