"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"p42","1","p450","mercury",0.56043956043956,0.0371044770040743
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","3","ci1","cadmium",-0.627571632442189,0.0289129022211276
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","4","p450","mercury",0.799019607843137,0.000119397063843785
NA,NA,NA,NA,NA,NA
"p42","4","sod","zinc",-0.541666666666667,0.02471480173458
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","4","shell","arsenic",-0.528834753912419,0.0290630755949681
NA,NA,NA,NA,NA,NA
"p42","5","p450","zinc",0.67032967032967,0.012166220319952
NA,NA,NA,NA,NA,NA
"p42","5","sod","zinc",-0.582417582417582,0.0367413343586542
NA,NA,NA,NA,NA,NA
"p42","5","ci1","arsenic",0.691035140105083,0.00890628915393799
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","2","p450","arsenic",0.496388028895769,0.0361403237569595
"p42","2","p450","copper",-0.510835913312694,0.0302797469912031
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
