"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","4","shell","a20",0.636363636363636,0.0479117261299753
"hc5","4","shell","a9",0.636363636363636,0.0479117261299753
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","2","sod","a11",0.423846153846154,0.0347350418268229
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","2","shell","a10",0.408924800793856,0.0423897350164912
"hc5","2","shell","a13",0.402385081496118,0.0461379959224621
"hc5","2","shell","a20",0.425851133093884,0.0337964323226649
"hc5","2","shell","a6",0.419696103166601,0.0367437757140143
"hc5","2","shell","a8",0.399692255902931,0.0477550155776854
"hc5","2","shell","a9",0.425851133093884,0.0337964323226649
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
