"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","1","ci1","a11",0.617582417582418,0.0186046742807084
"p42","1","ci1","a15",0.626373626373626,0.0165419354288712
"p42","1","ci1","a16",0.573626373626374,0.031970813976397
"p42","1","ci1","a20",0.578021978021978,0.030383014145237
"p42","1","ci1","a6",0.578021978021978,0.030383014145237
"p42","1","ci1","a9",0.578021978021978,0.030383014145237
NA,NA,NA,NA,NA,NA
"p42","1","ci2","a11",-0.6,0.0233084108799999
"p42","1","ci2","a15",-0.613186813186813,0.0197063319260389
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","1","shell","a10",0.534065934065934,0.0491599163719849
"p42","1","shell","a11",0.626373626373626,0.0165419354288712
"p42","1","shell","a12",0.573626373626374,0.031970813976397
"p42","1","shell","a13",0.573626373626374,0.031970813976397
"p42","1","shell","a14",0.573626373626374,0.031970813976397
"p42","1","shell","a15",0.63956043956044,0.0137796168334638
"p42","1","shell","a16",0.573626373626374,0.031970813976397
"p42","1","shell","a17",0.573626373626374,0.031970813976397
"p42","1","shell","a18",0.573626373626374,0.031970813976397
"p42","1","shell","a19",0.573626373626374,0.031970813976397
"p42","1","shell","a20",0.582417582417582,0.0288546553576718
"p42","1","shell","a5",0.573626373626374,0.031970813976397
"p42","1","shell","a6",0.582417582417582,0.0288546553576718
"p42","1","shell","a7",0.573626373626374,0.031970813976397
"p42","1","shell","a9",0.582417582417582,0.0288546553576718
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","5","ci1","a11",-0.584024254662943,0.0361012725139047
"p42","5","ci1","a15",-0.584024254662943,0.0361012725139047
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","2","p450","a11",0.531475748194014,0.0232163343078438
"p42","2","p450","a15",0.545923632610939,0.0190927295098753
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
