"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"p16","1","p450","a57",-0.621978021978022,0.0175503152905401
NA,NA,NA,NA,NA,NA
"p16","1","sod","a22",0.534065934065934,0.0491599163719849
NA,NA,NA,NA,NA,NA
"p16","1","ci1","a21",0.600660429478961,0.0231170404807917
"p16","1","ci1","a25",0.627063085719795,0.0163878549814109
"p16","1","ci1","a27",0.596259986772156,0.0244146996686172
"p16","1","ci1","a28",0.589659322711947,0.0264627124255015
"p16","1","ci1","a30",0.596259986772156,0.0244146996686172
"p16","1","ci1","a33",0.605060872185767,0.0218719448377103
"p16","1","ci1","a34",0.550055338350697,0.0415562122888211
"p16","1","ci1","a39",0.550055338350697,0.0415562122888211
"p16","1","ci1","a43",0.550055338350697,0.0415562122888211
"p16","1","ci1","a44",0.550055338350697,0.0415562122888211
"p16","1","ci1","a46",0.550055338350697,0.0415562122888211
"p16","1","ci1","a47",0.594059765418753,0.0250836641679537
"p16","1","ci1","a53",0.5522555597041,0.0405818528918109
"p16","1","ci1","a55",0.569857330531322,0.0333806534014021
"p16","1","ci1","a56",0.589659322711947,0.0264627124255015
"p16","1","ci1","a60",0.644664856547017,0.0128108418845452
"p16","1","ci1","a61",0.587459101358545,0.0271731366126811
"p16","1","ci1","a62",0.602860650832364,0.0224880067831519
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p16","1","shell","a53",0.547252747252747,0.0428220493781972
"p16","1","shell","a56",0.569230769230769,0.0336194170772703
"p16","1","shell","a61",0.542857142857143,0.0448639664392485
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p16","3","sod","a37",-0.511764705882353,0.0427234481633318
NA,NA,NA,NA,NA,NA
"p16","3","ci1","a51",0.667699516884214,0.0047075241030865
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p16","3","ci3","a21",0.498896382305208,0.0491588614676945
"p16","3","ci3","a24",0.56512156579705,0.0225417505125163
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p16","4","p450","a27",-0.582417582417582,0.0367413343586542
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p16","2","p450","a21",0.55,0.033655357815007
"p16","2","p450","a25",0.525,0.0444839058001065
"p16","2","p450","a55",0.564285714285714,0.0284325221487085
"p16","2","p450","a61",0.525,0.0444839058001065
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p16","5","p450","a52",-0.552941176470588,0.0263144998706664
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p16","5","ci3","a25",0.525386455701945,0.0366221392497779
NA,NA,NA,NA,NA,NA
