"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","1","sod","a22",0.648351648351648,0.0121442225731059
"phmw","1","sod","a50",0.608791208791209,0.0208566160172232
"phmw","1","sod","a51",0.573626373626374,0.031970813976397
"phmw","1","sod","a52",0.547252747252747,0.0428220493781972
"phmw","1","sod","a55",0.648351648351648,0.0121442225731059
"phmw","1","sod","a57",0.714285714285714,0.00410440916188026
NA,NA,NA,NA,NA,NA
"phmw","1","ci1","a21",0.574257773238128,0.0317390292222712
"phmw","1","ci1","a23",0.563256666471114,0.0359599671796214
"phmw","1","ci1","a25",0.589659322711947,0.0264627124255015
"phmw","1","ci1","a33",0.651265520607225,0.0116364468413361
"phmw","1","ci1","a34",0.598460208125559,0.02375921498767
"phmw","1","ci1","a39",0.598460208125559,0.02375921498767
"phmw","1","ci1","a41",0.563256666471114,0.0359599671796214
"phmw","1","ci1","a43",0.598460208125559,0.02375921498767
"phmw","1","ci1","a44",0.598460208125559,0.02375921498767
"phmw","1","ci1","a46",0.598460208125559,0.02375921498767
"phmw","1","ci1","a47",0.640264413840211,0.0136427826180587
"phmw","1","ci1","a49",0.563256666471114,0.0359599671796214
"phmw","1","ci1","a53",0.594059765418753,0.0250836641679537
"phmw","1","ci1","a55",0.572057551884725,0.0325521632640671
"phmw","1","ci1","a56",0.651265520607225,0.0116364468413361
"phmw","1","ci1","a60",0.72607304662292,0.00327918128200277
"phmw","1","ci1","a61",0.629263307073198,0.0159034403240654
"phmw","1","ci1","a62",0.629263307073198,0.0159034403240654
NA,NA,NA,NA,NA,NA
"phmw","1","ci2","a28",-0.604395604395604,0.0220568617546162
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","1","shell","a28",0.683516483516484,0.0070367436398846
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","4","ci3","a22",0.587459101358545,0.0271731366126811
"phmw","4","ci3","a24",0.717272161209309,0.00388143192547874
"phmw","4","ci3","a25",0.635863971133406,0.0145154094021331
"phmw","4","ci3","a27",0.574257773238128,0.0317390292222712
"phmw","4","ci3","a28",0.602860650832364,0.0224880067831519
"phmw","4","ci3","a30",0.543454674290489,0.044582294662733
NA,NA,NA,NA,NA,NA
"phmw","4","shell","a23",0.627063085719795,0.0163878549814109
"phmw","4","shell","a26",0.56765710917792,0.0342246703676099
"phmw","4","shell","a31",0.638064192486809,0.0140739305035198
"phmw","4","shell","a32",0.668867291434448,0.00890645535376011
"phmw","4","shell","a33",0.627063085719795,0.0163878549814109
"phmw","4","shell","a34",0.627063085719795,0.0163878549814109
"phmw","4","shell","a35",0.638064192486809,0.0140739305035198
"phmw","4","shell","a36",0.627063085719795,0.0163878549814109
"phmw","4","shell","a39",0.627063085719795,0.0163878549814109
"phmw","4","shell","a41",0.627063085719795,0.0163878549814109
"phmw","4","shell","a42",0.627063085719795,0.0163878549814109
"phmw","4","shell","a43",0.627063085719795,0.0163878549814109
"phmw","4","shell","a44",0.708471275795698,0.00456728440806398
"phmw","4","shell","a45",0.627063085719795,0.0163878549814109
"phmw","4","shell","a46",0.627063085719795,0.0163878549814109
"phmw","4","shell","a47",0.76567703098417,0.00141162777324855
"phmw","4","shell","a48",0.627063085719795,0.0163878549814109
"phmw","4","shell","a49",0.627063085719795,0.0163878549814109
"phmw","4","shell","a53",0.594059765418753,0.0250836641679537
"phmw","4","shell","a54",0.627063085719795,0.0163878549814109
"phmw","4","shell","a58",0.668867291434448,0.00890645535376011
"phmw","4","shell","a59",0.627063085719795,0.0163878549814109
"phmw","4","shell","a60",0.60726109353917,0.0212686859233355
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","5","ci1","a51",0.602476498429399,0.0293198829570851
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","6","p450","a51",-0.629370629370629,0.0283196712957601
"phmw","6","p450","a52",-0.678321678321678,0.0153173290532818
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","6","ci2","a56",0.58041958041958,0.0478559768420606
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","6","shell","a24",-0.587412587412587,0.0446092964633631
"phmw","6","shell","a25",-0.58041958041958,0.0478559768420606
"phmw","6","shell","a53",-0.713286713286713,0.00920177977763492
"phmw","6","shell","a54",-0.622377622377622,0.0306758950616401
"phmw","6","shell","a56",-0.657342657342657,0.020185498509854
"phmw","6","shell","a57",-0.664335664335664,0.0184527180284455
NA,NA,NA,NA,NA,NA
"phmw","3","p450","a21",0.672727272727273,0.023313039833186
"phmw","3","p450","a22",0.672727272727273,0.023313039833186
"phmw","3","p450","a24",0.736363636363636,0.00975953595991674
"phmw","3","p450","a25",0.672727272727273,0.023313039833186
"phmw","3","p450","a28",0.672727272727273,0.023313039833186
"phmw","3","p450","a30",0.645454545454546,0.0319627993280176
"phmw","3","p450","a61",0.645454545454546,0.0319627993280176
"phmw","3","p450","a62",0.690909090909091,0.018565033381595
NA,NA,NA,NA,NA,NA
"phmw","3","sod","a23",-0.745454545454545,0.0084547288850616
"phmw","3","sod","a29",-0.7,0.0164709788365145
"phmw","3","sod","a31",-0.7,0.0164709788365145
"phmw","3","sod","a32",-0.7,0.0164709788365145
"phmw","3","sod","a33",-0.772727272727273,0.00529948717864381
"phmw","3","sod","a34",-0.772727272727273,0.00529948717864381
"phmw","3","sod","a35",-0.7,0.0164709788365145
"phmw","3","sod","a36",-0.745454545454545,0.0084547288850616
"phmw","3","sod","a39",-0.772727272727273,0.00529948717864381
"phmw","3","sod","a41",-0.745454545454545,0.0084547288850616
"phmw","3","sod","a42",-0.745454545454545,0.0084547288850616
"phmw","3","sod","a43",-0.772727272727273,0.00529948717864381
"phmw","3","sod","a44",-0.772727272727273,0.00529948717864381
"phmw","3","sod","a45",-0.7,0.0164709788365145
"phmw","3","sod","a46",-0.772727272727273,0.00529948717864381
"phmw","3","sod","a47",-0.772727272727273,0.00529948717864381
"phmw","3","sod","a48",-0.745454545454545,0.0084547288850616
"phmw","3","sod","a49",-0.745454545454545,0.0084547288850616
"phmw","3","sod","a52",-0.627272727272727,0.0388452536203534
"phmw","3","sod","a53",-0.7,0.0164709788365145
"phmw","3","sod","a54",-0.7,0.0164709788365145
"phmw","3","sod","a58",-0.7,0.0164709788365145
"phmw","3","sod","a59",-0.745454545454545,0.0084547288850616
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","3","shell","a51",0.618181818181818,0.0426455698053267
"phmw","3","shell","a52",0.7,0.0164709788365145
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","2","shell","a28",0.709090909090909,0.0216659233675323
