"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","4","ci1","sum40CB",0.829283709313982,0.00300758630368181
"hc5","4","ci1","sumDDT",0.640255804985059,0.0461402181935044
"hc5","4","ci1","sumPCB",0.640255804985059,0.0461402181935044
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","4","shell","sum40CB",0.793939393939394,0.00609992331369691
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","1","sod","hmwPAH",0.378629032258064,0.0356934164966487
"hc5","1","sod","lmwPAH",0.365725806451613,0.0430422157383916
"hc5","1","sod","sum40CB",0.395967741935484,0.0274490570490813
"hc5","1","sod","sum42PAH",0.425403225806452,0.017041977776892
"hc5","1","sod","sumPAH",0.425403225806452,0.017041977776892
"hc5","1","sod","sumPCB",0.381048387096774,0.0344356459684714
NA,NA,NA,NA,NA,NA
"hc5","1","ci1","hmwPAH",-0.393780804650084,0.0283939474339405
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","1","shell","hmwPAH",0.356761133597476,0.0488260424325075
"hc5","1","shell","sum16PAH",0.363618046283917,0.0443501299902704
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","2","sod","sum40CB",0.463846153846154,0.019514767792475
"hc5","2","sod","sumBDE",0.425384615384615,0.0340130010967161
"hc5","2","sod","sumDDT",0.489230769230769,0.0130661791279865
"hc5","2","sod","sumPCB",0.457692307692308,0.0214160549258331
NA,NA,NA,NA,NA,NA
"hc5","2","ci1","hmwPAH",0.504339351468575,0.0101454176418256
"hc5","2","ci1","lmwPAH",0.492771935150489,0.0123260512601555
"hc5","2","ci1","sum16PAH",0.500097965485277,0.0109044244127317
"hc5","2","ci1","sum42PAH",0.521304895401769,0.00753324719578741
"hc5","2","ci1","sumPAH",0.518991412138152,0.00785225073540641
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"hc5","3","shell","sum40CB",-0.785714285714286,0.0362384626798273
"hc5","3","shell","sumPCB",-0.785714285714286,0.0362384626798273
