"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","1","sod","hmwPAH",0.603571428571429,0.0172001380687954
"pcb","1","sod","lmwPAH",0.792857142857143,0.000422077185192382
"pcb","1","sod","sum42PAH",0.671428571428571,0.00612776678882021
"pcb","1","sod","sumPAH",0.664285714285714,0.00691068298451913
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","3","p450","sumHCH",0.56043956043956,0.0463459058940647
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","3","ci2","sum40CB",0.576923076923077,0.0389926234324482
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","4","p450","sum40CB",-0.573626373626374,0.031970813976397
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","2","p450","sumCHLD",0.523529411764706,0.0374126481301493
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","2","shell","hmwPAH",0.561764705882353,0.0235370164742807
"pcb","2","shell","sum16PAH",0.594117647058824,0.0152324008763278
"pcb","2","shell","sum42PAH",0.535294117647059,0.0326158632940219
"pcb","2","shell","sumBDE",0.564705882352941,0.0226632048441846
"pcb","2","shell","sumCHLD",0.541176470588235,0.03040021888817
"pcb","2","shell","sumPAH",0.535294117647059,0.0326158632940219
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"pcb","5","ci1","sum16PAH",0.497791408781083,0.0497432661481942
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
