"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","1","ci1","sum40CB",0.622662643012989,0.0173902691701526
"phmw","1","ci1","sumBDE",0.594059765418753,0.0250836641679537
"phmw","1","ci1","sumCHLD",0.554455781057503,0.03962437997285
"phmw","1","ci1","sumHCH",0.539054231583683,0.0466871979268229
"phmw","1","ci1","sumPCB",0.638064192486809,0.0140739305035198
NA,NA,NA,NA,NA,NA
"phmw","1","ci2","hmwPAH",-0.591208791208791,0.0259708136689625
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","1","shell","hmwPAH",0.731868131868132,0.00292463094681183
"phmw","1","shell","sum16PAH",0.648351648351648,0.0121442225731059
NA,NA,NA,NA,NA,NA
"phmw","4","p450","hmwPAH",0.56043956043956,0.0371044770040743
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","4","ci3","sum40CB",0.668867291434448,0.00890645535376011
"phmw","4","ci3","sumDDT",0.737074153389934,0.00263256401958278
"phmw","4","ci3","sumPCB",0.598460208125559,0.02375921498767
NA,NA,NA,NA,NA,NA
"phmw","4","shell","sumCHLD",0.715071939855906,0.00404475701975793
"phmw","4","shell","sumHCH",0.620462421659586,0.0179085970274386
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","6","ci1","sumBDE",-0.631582835240253,0.0276022815172134
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","3","p450","sum40CB",0.718181818181818,0.0127995980688584
"phmw","3","p450","sumBDE",0.736363636363636,0.00975953595991674
"phmw","3","p450","sumPCB",0.7,0.0164709788365145
NA,NA,NA,NA,NA,NA
"phmw","3","sod","sumCHLD",-0.654545454545455,0.0288645989570018
NA,NA,NA,NA,NA,NA
"phmw","3","ci1","sumCHLD",0.712336193364468,0.0139078015417307
NA,NA,NA,NA,NA,NA
"phmw","3","ci2","hmwPAH",0.627272727272727,0.0388452536203534
"phmw","3","ci2","sum16PAH",0.627272727272727,0.0388452536203534
"phmw","3","ci2","sumPAH",0.609090909090909,0.0466957093540987
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","3","shell","sumCHLD",0.627272727272727,0.0388452536203534
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","2","ci1","hmwPAH",-0.757575757575758,0.0111434467996943
"phmw","2","ci1","sum42PAH",-0.696969696969697,0.0250966758822517
"phmw","2","ci1","sumPAH",-0.696969696969697,0.0250966758822517
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"phmw","2","shell","sumBDE",0.733333333333333,0.0158005962505716
"phmw","2","shell","sumHCH",0.648484848484848,0.0425401276844894
