"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","7","ci1","sum40CB",0.811722586493051,0.00788929768782953
"reporting_area","7","ci1","sumDDT",0.736408119705036,0.0236553528085015
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","7","ci3","sum40CB",0.683333333333333,0.0424422720870723
NA,NA,NA,NA,NA,NA
"reporting_area","7","shell","sum40CB",0.883333333333333,0.00159050042349795
"reporting_area","7","shell","sumCHLD",0.683333333333333,0.0424422720870723
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","11","sod","hmwPAH",0.535714285714286,0.0395669722295495
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","11","ci3","hmwPAH",-0.744187237284559,0.00146460570393225
"reporting_area","11","ci3","sum16PAH",-0.652952744252077,0.00831220374804165
"reporting_area","11","ci3","sum40CB",-0.534884576798277,0.0399325745728862
"reporting_area","11","ci3","sum42PAH",-0.592129748897089,0.0200367513368669
"reporting_area","11","ci3","sumPAH",-0.592129748897089,0.0200367513368669
"reporting_area","11","ci3","sumPCB",-0.593918660525177,0.019571153392625
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","10","sod","sum40CB",0.508771929824561,0.026112139911262
"reporting_area","10","sod","sumPCB",0.510526315789474,0.02551608950692
NA,NA,NA,NA,NA,NA
"reporting_area","10","ci1","hmwPAH",0.55760968065287,0.0131164074137393
"reporting_area","10","ci1","lmwPAH",0.510116111638272,0.0256544895969291
"reporting_area","10","ci1","sum16PAH",0.551453106891718,0.0143849819678472
"reporting_area","10","ci1","sum42PAH",0.568163807100558,0.0111515209765323
"reporting_area","10","ci1","sumPAH",0.563766254414022,0.0119391704799126
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","13","ci1","hmwPAH",-0.733481955507688,0.00283148994997751
"reporting_area","13","ci1","sum16PAH",-0.579296559455021,0.0299337813666192
"reporting_area","13","ci1","sum42PAH",-0.687226336691888,0.00661568012690217
"reporting_area","13","ci1","sumPAH",-0.687226336691888,0.00661568012690217
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","13","shell","sumCHLD",0.543454674290489,0.044582294662733
"reporting_area","13","shell","sumHCH",0.618262200306184,0.0184385585941262
NA,NA,NA,NA,NA,NA
"reporting_area","9","p450","lmwPAH",0.942857142857143,0.0048046647230322
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
