"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","1","ci1","a1",0.578021978021978,0.030383014145237
"p42","1","ci1","a16",0.573626373626374,0.031970813976397
"p42","1","ci1","a67",0.578021978021978,0.030383014145237
"p42","1","ci1","a68",0.595604395604396,0.0246126107952869
NA,NA,NA,NA,NA,NA
"p42","1","ci2","a2",-0.547252747252747,0.0428220493781972
"p42","1","ci2","a68",-0.547252747252747,0.0428220493781972
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","1","shell","a1",0.582417582417582,0.0288546553576718
"p42","1","shell","a16",0.573626373626374,0.031970813976397
"p42","1","shell","a2",0.591208791208791,0.0259708136689625
"p42","1","shell","a4",0.534065934065934,0.0491599163719849
"p42","1","shell","a63",0.573626373626374,0.031970813976397
"p42","1","shell","a67",0.582417582417582,0.0288546553576718
"p42","1","shell","a68",0.586813186813187,0.0273843755310876
"p42","1","shell","a69",0.564835164835165,0.0353301848675527
"p42","1","shell","a71",0.564835164835165,0.0353301848675527
"p42","1","shell","a75",0.538461538461538,0.0469761458595552
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"p42","5","shell","a1",-0.604395604395604,0.0286727056714069
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
