"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
"plmw","1","p450","a77",0.659340659340659,0.0142255785114567
"plmw","1","p450","a78",0.653846153846154,0.0153485167321055
NA,NA,NA,NA,NA,NA
"plmw","1","sod","a77",-0.631868131868132,0.0205160425728725
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","1","shell","a3",0.583219258753573,0.0364209421069772
"plmw","1","shell","a65",0.583219258753573,0.0364209421069772
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","3","ci3","a77",0.757819784284902,0.00106356494936355
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","4","shell","a76",0.657342657342657,0.020185498509854
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","2","sod","a77",0.469556243550052,0.0492933769279682
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"plmw","2","shell","a72",0.481940144478844,0.0428358312469992
