"Group","Level","Biomarker","Analyte","Spearman_Correlation","P_Value"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","7","sod","a3",-0.666666666666667,0.0498672305688852
"reporting_area","7","sod","a64",-0.75,0.0199421261319925
"reporting_area","7","sod","a65",-0.666666666666667,0.0498672305688852
NA,NA,NA,NA,NA,NA
"reporting_area","7","ci1","a72",0.820090860580609,0.00678753281924394
"reporting_area","7","ci1","a76",0.853563956930838,0.00341821524290165
"reporting_area","7","ci1","a77",0.719671571529922,0.0288191846014358
NA,NA,NA,NA,NA,NA
"reporting_area","7","ci2","a77",0.7,0.0357695749702618
NA,NA,NA,NA,NA,NA
"reporting_area","7","ci3","a72",0.883333333333333,0.00159050042349795
"reporting_area","7","ci3","a76",0.733333333333333,0.0245541500714697
"reporting_area","7","ci3","a77",0.7,0.0357695749702618
NA,NA,NA,NA,NA,NA
"reporting_area","7","shell","a76",0.666666666666667,0.0498672305688852
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","11","sod","a3",-0.55,0.033655357815007
NA,NA,NA,NA,NA,NA
"reporting_area","11","ci1","a3",0.709681977905327,0.00304032766691731
"reporting_area","11","ci1","a65",0.605738657909093,0.0166995879976095
"reporting_area","11","ci1","a66",0.677423706182358,0.0055261944595193
"reporting_area","11","ci1","a70",0.666670948941368,0.00664096522470659
"reporting_area","11","ci1","a73",0.666670948941368,0.00664096522470659
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","11","ci3","a72",-0.547406958194892,0.034675708721132
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","10","sod","a77",0.470175438596491,0.0422131601145876
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","10","shell","a3",0.537955295315675,0.0175103584011036
"reporting_area","10","shell","a65",0.537955295315675,0.0175103584011036
"reporting_area","10","shell","a66",0.479157571357844,0.0379206988408449
"reporting_area","10","shell","a70",0.475647259479765,0.0395561441416024
"reporting_area","10","shell","a73",0.498464286687281,0.0298379780918177
"reporting_area","10","shell","a74",0.475647259479765,0.0395561441416024
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"reporting_area","13","shell","a3",0.59185954406535,0.025766278381014
"reporting_area","13","shell","a65",0.59185954406535,0.025766278381014
"reporting_area","13","shell","a70",0.554455781057503,0.03962437997285
"reporting_area","13","shell","a72",0.543454674290489,0.044582294662733
"reporting_area","13","shell","a73",0.554455781057503,0.03962437997285
"reporting_area","13","shell","a74",0.554455781057503,0.03962437997285
"reporting_area","13","shell","a78",0.554455781057503,0.03962437997285
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
