"Comparison","Z","P.unadj","P.adj"
"1 - 2",3.13239792741004,0.00173384704185624,0.0086692352092812
"1 - 3",3.75411375896338,0.000173955852751476,0.00173955852751476
"2 - 3",1.61884145069719,0.105481381012064,0.263703452530159
"1 - 4",2.71713962725439,0.00658488215944348,0.0219496071981449
"2 - 4",0.397918007009053,0.690690626085339,0.76743402898371
"3 - 4",-1.07743030691986,0.281288070568609,0.468813450947682
"1 - 5",0.180745712739626,0.856567176086092,0.856567176086092
"2 - 5",-0.804178284006614,0.42129401848654,0.526617523108175
"3 - 5",-1.49559287794367,0.1347597802345,0.269519560469
"4 - 5",-0.940768640282967,0.34682343477886,0.495462049684086
