"Comparison","Z","P.unadj","P.adj"
"1 - 2",-0.951824462091723,0.341186013824339,0.379095570915933
"1 - 3",-2.06434899425247,0.0389846388011615,0.0974615970029037
"2 - 3",-1.15333155352706,0.248774323645391,0.355391890921987
"1 - 4",0.409341235783122,0.682289258045465,0.682289258045465
"2 - 4",1.13062552475482,0.25821273957323,0.322765924466538
"3 - 4",2.0491095929546,0.0404513996635998,0.0809027993271997
"1 - 5",2.10335387190644,0.0354348475170208,0.118116158390069
"2 - 5",2.72892651474275,0.00635408616227286,0.0317704308113643
"3 - 5",3.51797107267726,0.000434859763451867,0.00434859763451867
"4 - 5",1.4064992946699,0.159575913900458,0.265959856500763
