"Comparison","Z","P.unadj","P.adj"
"1 - 2",-4.5727265381539,4.81418275454053e-06,2.40709137727026e-05
"1 - 3",-0.503859091709229,0.61436039931631,0.682622665907011
"2 - 3",3.32043615626611,0.000898769132745307,0.00224692283186327
"1 - 4",0.397918007009053,0.690690626085339,0.690690626085339
"2 - 4",3.94767220285111,7.89147531236987e-05,0.000263049177078996
"3 - 4",0.76095454746367,0.446684216081809,0.558355270102261
"1 - 5",1.51319431385095,0.130230308163972,0.21705051360662
"2 - 5",5.03726353784705,4.72234393504457e-07,4.72234393504457e-06
"3 - 5",1.73850544262428,0.082121791917305,0.16424358383461
"4 - 5",0.927175925828827,0.353835200103472,0.505478857290674
