"Comparison","Z","P.unadj","P.adj"
"1 - 2",-2.88976975393702,0.00385524081213728,0.0385524081213728
"1 - 3",-1.45148936396802,0.146643641790625,0.29328728358125
"2 - 3",1.49643047799201,0.134541512176668,0.44847170725556
"1 - 4",-1.35114068295051,0.176650371478793,0.294417285797989
"2 - 4",1.46015912201633,0.144246347017831,0.360615867544579
"3 - 4",0.033709027680504,0.97310918001708,0.97310918001708
"1 - 5",-1.1580992438273,0.246823538563292,0.352605055090417
"2 - 5",1.78982059813273,0.0734827567119004,0.367413783559502
"3 - 5",0.299541525365116,0.76452689294003,0.955658616175037
"4 - 5",0.251403984765324,0.801501787225472,0.890557541361635
