"Comparison","Z","P.unadj","P.adj"
"1 - 2",-4.25301491525155,2.10911522752612e-05,0.000210911522752612
"1 - 3",-2.12815913415722,0.033323891786532,0.066647783573064
"2 - 3",2.20774850317946,0.0272618096685392,0.068154524171348
"1 - 4",-3.55685963472442,0.000375314560583181,0.00125104853527727
"2 - 4",0.59653389915784,0.550818614674283,0.688523268342853
"3 - 4",-1.54704804957688,0.121851659615043,0.174073799450061
"1 - 5",-3.88062602546883,0.000104187940702312,0.000520939703511558
"2 - 5",0.516254135379295,0.605676924913544,0.672974361015048
"3 - 5",-1.75798433560755,0.0787501746571453,0.131250291095242
"4 - 5",-0.111916284645538,0.910889784443029,0.910889784443029
