"Comparison","Z","P.unadj","P.adj"
"1 - 2",0.739913857857844,0.459352265201127,0.918704530402253
"1 - 3",0.529784197179852,0.5962615630894,0.993769271815666
"2 - 3",-0.225904457941363,0.821275730511144,0.912528589456827
"1 - 4",0.290346243540714,0.771551364507155,0.964439205633943
"2 - 4",-0.429692577586982,0.66741928339423,0.953456119134615
"3 - 4",-0.21863923862892,0.826931084208345,0.826931084208345
"1 - 5",-0.958366352349044,0.337878056004132,0.844695140010329
"2 - 5",-1.70915528727014,0.0874221887120118,0.874221887120118
"3 - 5",-1.51824832134028,0.128951810149549,0.644759050747746
"4 - 5",-1.22530070739897,0.220461941976041,0.734873139920136
