"Comparison","Z","P.unadj","P.adj"
"1 - 2",-0.31471604360341,0.752977261780261,1
"1 - 3",-1.72115052583243,0.0852235127876345,0.852235127876345
"2 - 3",-1.47878882229436,0.139196764191094,0.463989213970314
"1 - 4",-0.207720563428877,0.835447160579012,0.928274622865569
"2 - 4",0.109027568526204,0.913180624150119,0.913180624150119
"3 - 4",1.5699707879814,0.116421907464646,0.582109537323232
"1 - 5",-1.47427966057778,0.14040630915765,0.351015772894124
"2 - 5",-1.21937864455739,0.222700511527608,0.371167519212679
"3 - 5",0.269288400653032,0.787707757549664,0.98463469693708
"4 - 5",-1.31390408666384,0.188878483288462,0.377756966576923
