"Comparison","Z","P.unadj","P.adj"
"1 - 2",-1.60821989384074,0.107787027643524,0.359290092145079
"1 - 3",-1.52920027841068,0.126214801609903,0.315537004024756
"2 - 3",-0.0237506568831029,0.981051499035802,0.981051499035802
"1 - 4",-0.108448955465431,0.91363956924968,1
"2 - 4",1.45432025403419,0.145857537649672,0.291715075299345
"3 - 4",1.38895932536341,0.164845118896923,0.274741864828205
"1 - 5",-2.41847162677835,0.0155858610166118,0.155858610166118
"2 - 5",-0.843523494510674,0.398935731556883,0.569908187938404
"3 - 5",-0.764360907310997,0.444652198325157,0.555815247906446
"4 - 5",-2.24459457794744,0.0247941711593846,0.123970855796923
