"Comparison","Z","P.unadj","P.adj"
"1 - 2",0.387870455946143,0.698111902613446,0.805513733784746
"1 - 3",1.17140906294428,0.241434391095084,0.452689483303282
"2 - 3",0.696891550263542,0.485870666160022,0.728805999240032
"1 - 4",-0.252958350350648,0.80030039825705,0.857464712418268
"2 - 4",-0.610850021571863,0.541298874344404,0.738134828651459
"3 - 4",-1.39808515441478,0.162087497350873,0.347330351466157
"1 - 5",-0.474336581355868,0.635259909186655,0.794074886483319
"2 - 5",-0.799237471304383,0.424152728148007,0.706921213580012
"3 - 5",-1.56727694861185,0.117049971041783,0.35114991312535
"4 - 5",-0.229619163995713,0.818387714017829,0.818387714017829
"1 - 6",-2.0596080273673,0.0394360282010228,0.197180141005114
"2 - 6",-2.21554672366905,0.0267225610255595,0.200419207691697
"3 - 6",-3.0180200839134,0.00254432041938576,0.0381648062907864
"4 - 6",-1.81025508378886,0.0702562389804034,0.263460896176513
"5 - 6",-1.52957732214263,0.126121386343413,0.315303465858532
