"Comparison","Z","P.unadj","P.adj"
"1 - 2",-0.0643232638496021,0.94871282993628,0.94871282993628
"1 - 3",-0.605556603635043,0.544809226729449,1
"2 - 3",-0.59221408316767,0.55370724002076,0.9228454000346
"1 - 4",-1.12492484690127,0.260620881992845,1
"2 - 4",-1.14893993629335,0.250580748559811,1
"3 - 4",-0.583784075979883,0.559365593108296,0.799093704440423
"1 - 5",-1.03606136333036,0.300173515775237,0.750433789438092
"2 - 5",-1.0627594633026,0.287891046947043,0.959636823156811
"3 - 5",-0.445901325404246,0.655668524813689,0.819585656017111
"4 - 5",0.176624519508711,0.859803333095119,0.955337036772354
