"Comparison","Z","P.unadj","P.adj"
"10 - 11",-4.25021261906943,2.13567689312119e-05,0.000768843681523629
"10 - 12",2.00099614404416,0.0453928054343293,0.102133812227241
"11 - 12",4.09230096063543,4.27113811271072e-05,0.00076880486028793
"10 - 13",-2.60550904281019,0.0091737851955493,0.0330256267039775
"11 - 13",1.42820346867237,0.15323330252976,0.250745404139607
"12 - 13",-3.29212785677135,0.000994323959016258,0.00596594375409755
"10 - 6",0.802761844565502,0.422112399579151,0.524001599477567
"11 - 6",3.36120417621934,0.000776034361982996,0.00698430925784697
"12 - 6",-1.12139218765087,0.262120960090595,0.362936713971593
"13 - 6",2.39229063743958,0.0167435776869795,0.0502307330609386
"10 - 7",-0.0438572936308772,0.965018157268042,0.965018157268042
"11 - 7",3.43860880324071,0.000584711516216834,0.00701653819460201
"12 - 7",-1.91179119693539,0.0559029813504265,0.118382784036197
"13 - 7",2.11848432457731,0.0341340710883989,0.0945251199371046
"6 - 7",-0.766453313490312,0.443406620878198,0.532087945053838
"10 - 8.1",1.42567866603421,0.153961117382921,0.240982618512398
"11 - 8.1",3.32938216296469,0.000870388860922598,0.0062667997986427
"12 - 8.1",-0.301500953808164,0.763032522789412,0.807916788835848
"13 - 8.1",2.61184292736661,0.00900556191388282,0.0360222476555313
"6 - 8.1",0.713681565750818,0.475424107877738,0.552105415599954
"7 - 8.1",1.38075227430214,0.167355142358498,0.251032713537747
"10 - 8.2",-1.87768056528364,0.0604248769494875,0.120849753898975
"11 - 8.2",0.852103056955465,0.394156895449394,0.506773151292077
"12 - 8.2",-2.9517714627944,0.00315956683444247,0.016249200862847
"13 - 8.2",-0.125470930362415,0.900150737355981,0.925869329851866
"6 - 8.2",-2.07265140503226,0.0382047333210242,0.091691359970458
"7 - 8.2",-1.6801078577977,0.0929363323259946,0.1760898928282
"8.1 - 8.2",-2.40323827596332,0.0162505949184916,0.0531837651877907
"10 - 9",-0.473717757980017,0.635701188328664,0.715163836869747
"11 - 9",2.62927277719214,0.00855676938395443,0.0385054622277949
"12 - 9",-2.09633646851471,0.0360523538440709,0.0927060527418967
"13 - 9",1.47543070165945,0.140096786310225,0.240165919388958
"6 - 9",-1.0323011620057,0.301931056903592,0.402574742538123
"7 - 9",-0.38559643755602,0.699795571994693,0.763413351266937
"8.1 - 9",-1.57564979615278,0.115106533353809,0.207191760036856
"8.2 - 9",1.25280855405481,0.210275387829039,0.302796558473816
