"Comparison","Z","P.unadj","P.adj"
"Aiston Preserve - Arroyo Beach",1.04908534981598,0.294138838174072,0.582455279991327
"Aiston Preserve - Blair Waterway",-0.954413216849435,0.339874518661204,0.632667866922063
"Arroyo Beach - Blair Waterway",-2.09459264591499,0.0362072195147964,0.206756236595063
"Aiston Preserve - Blair Waterway #2",1.88726884563861,0.059124174532526,0.26527308208032
"Arroyo Beach - Blair Waterway #2",1.01831408785003,0.308528715518661,0.598660963086137
"Blair Waterway - Blair Waterway #2",2.84168206248805,0.00448762204185302,0.0808071142336333
"Aiston Preserve - Brackenwood Ln",-0.0803510100427655,0.935958089180754,0.980233733570072
"Arroyo Beach - Brackenwood Ln",-1.13710547125347,0.255494197002051,0.547690338176618
"Blair Waterway - Brackenwood Ln",0.874062206806669,0.382084377691708,0.675841456545712
"Blair Waterway #2 - Brackenwood Ln",-1.96761985568138,0.0491117934009349,0.24074583298716
"Aiston Preserve - Broad Spit (Fisherman's Point)",-0.856424180211916,0.391763194569422,0.680483851145987
"Arroyo Beach - Broad Spit (Fisherman's Point)",-1.98725103440585,0.0468945849246457,0.234994942266175
"Blair Waterway - Broad Spit (Fisherman's Point)",0.0979890366375189,0.921940998966302,0.971202276992192
"Blair Waterway #2 - Broad Spit (Fisherman's Point)",-2.74369302585053,0.00607523194126574,0.0916715166109428
"Brackenwood Ln - Broad Spit (Fisherman's Point)",-0.77607317016915,0.437705784156539,0.716077118720056
"Aiston Preserve - Browns Point Lighthouse",-0.268489960386802,0.788322201728185,0.915416279822798
"Arroyo Beach - Browns Point Lighthouse",-1.34320136535102,0.179206779688573,0.463637463542947
"Blair Waterway - Browns Point Lighthouse",0.685923256462633,0.492761503871226,0.748565141707639
"Blair Waterway #2 - Browns Point Lighthouse",-2.15575880602542,0.0311025036462225,0.189206897181187
"Brackenwood Ln - Browns Point Lighthouse",-0.188138950344036,0.850767728288726,0.941000669167833
"Broad Spit (Fisherman's Point) - Browns Point Lighthouse",0.587934219825114,0.556576446425547,0.793305003585964
"Aiston Preserve - Cap Sante",0.199897634740539,0.841560640314838,0.935798801766314
"Arroyo Beach - Cap Sante",-0.830108462337338,0.406477463007903,0.689200017315973
