"Comparison","Z","P.unadj","P.adj"
"Aiston Preserve - Arroyo Beach",-0.817242083247064,0.413790097386082,0.719206597837714
"Aiston Preserve - Blair Waterway",-0.101910420511035,0.918827778657979,0.967922710668956
"Arroyo Beach - Blair Waterway",0.705604810929602,0.480433931611131,0.760640122673895
"Aiston Preserve - Blair Waterway #2",-0.560507312810694,0.575133453066294,0.824541112915107
"Arroyo Beach - Blair Waterway #2",0.203237085501021,0.83894972761995,0.944168005958952
"Blair Waterway - Blair Waterway #2",-0.458596892299659,0.646523668715486,0.863203375778808
"Aiston Preserve - Brackenwood Ln",1.49141980786342,0.135851310840919,0.428661671239863
"Arroyo Beach - Brackenwood Ln",2.4510106262007,0.0142455747761144,0.139410498080743
"Blair Waterway - Brackenwood Ln",1.59333022837446,0.111086128824474,0.382708716779213
"Blair Waterway #2 - Brackenwood Ln",2.05192712067411,0.0401767456904999,0.233873685581983
"Aiston Preserve - Broad Spit (Fisherman's Point)",1.60900875460692,0.107614427345897,0.375538201887941
"Arroyo Beach - Broad Spit (Fisherman's Point)",2.57982286349008,0.00988510058790312,0.116085463860549
"Blair Waterway - Broad Spit (Fisherman's Point)",1.71091917511796,0.087096034312629,0.33751275276673
"Blair Waterway #2 - Broad Spit (Fisherman's Point)",2.16951606741762,0.0300435258622989,0.205436869250808
"Brackenwood Ln - Broad Spit (Fisherman's Point)",0.117588946743502,0.906393363401732,0.964985602896365
"Aiston Preserve - Browns Point Lighthouse",-0.470355786974009,0.638100846587283,0.859606177871448
"Arroyo Beach - Browns Point Lighthouse",0.301993134089546,0.762657296953478,0.918384912648838
"Blair Waterway - Browns Point Lighthouse",-0.368445366462974,0.712541175369278,0.897655650500196
"Blair Waterway #2 - Browns Point Lighthouse",0.090151525836685,0.928166804180818,0.971697107787748
"Brackenwood Ln - Browns Point Lighthouse",-1.96177559483743,0.049788616236438,0.256150576104036
"Broad Spit (Fisherman's Point) - Browns Point Lighthouse",-2.07936454158093,0.0375838570165812,0.2281213433748
"Aiston Preserve - Cap Sante",0.201861025243012,0.840025372147567,0.943413110258037
"Arroyo Beach - Cap Sante",1.0383697572605,0.299097943768546,0.631636861703553
"Blair Waterway - Cap Sante",0.303771445754047,0.761302022343479,0.917571067536696
"Blair Waterway #2 - Cap Sante",0.762368338053706,0.445840197700118,0.740599245995092
"Brackenwood Ln - Cap Sante",-1.28955878262041,0.197203894356199,0.523229586106181
"Broad Spit (Fisherman's Point) - Cap Sante",-1.40714772936391,0.159383587532307,0.467929423831262
"Browns Point Lighthouse - Cap Sante",0.672216812217021,0.501445679520744,0.77527463101633
"Aiston Preserve - Chambers Bay Park",-1.76775383271065,0.0771020660752038,0.317943023616986
"Arroyo Beach - Chambers Bay Park",-1.11923521733661,0.263039804849903,0.603628303228198
"Blair Waterway - Chambers Bay Park",-1.66584341219962,0.0957446069436534,0.353287135730612
"Blair Waterway #2 - Chambers Bay Park",-1.20724651989996,0.227337219828482,0.559742780999755
"Brackenwood Ln - Chambers Bay Park",-3.25917364057407,0.00111737256260693,0.0431146184514472
"Broad Spit (Fisherman's Point) - Chambers Bay Park",-3.37676258731757,0.00073344326675552,0.0353755404197618
"Browns Point Lighthouse - Chambers Bay Park",-1.29739804573664,0.194494264593748,0.519613262777165
"Cap Sante - Chambers Bay Park",-1.96961485795366,0.0488825275058856,0.25390712844884
"Aiston Preserve - Cherry Point Aquatic Reserve, Conoco Phillips",-0.672216812217021,0.501445679520744,0.775718660014621
"Arroyo Beach - Cherry Point Aquatic Reserve, Conoco Phillips",0.0808654600761107,0.935548948840964,0.974515121796931
"Blair Waterway - Cherry Point Aquatic Reserve, Conoco Phillips",-0.570306391705986,0.568469906487403,0.821528741264032
