"Comparison","Z","P.unadj","P.adj"
"10 - 12",2.68039923666525,0.00735343995379854,0.0330904797920934
"11 - 12",3.73665320075117,0.000186485845953264,0.00223783015143917
"10 - 13",-3.61987065308012,0.000294750319471446,0.00265275287524301
"12 - 13",-4.47626666427982,7.59596003543942e-06,0.000273454561275819
"12 - 6",-2.52336288926183,0.0116238379721673,0.0418458166998024
"12 - 7",-2.57426517973536,0.0100453248821099,0.0401812995284398
"13 - 7",2.92282823809568,0.00346867803343296,0.0249744818407173
"10 - 8.2",-2.78650124018677,0.00532804142171103,0.0274013558830853
"12 - 8.2",-4.13407414463995,3.56388414888236e-05,0.000641499146798824
"7 - 8.2",-2.48114350830192,0.0130961635509825,0.0428601716213972
"12 - 9",-2.79250784802658,0.005230119887192,0.031380719323152
