"Dataset","Metric","Compared_With","Spearman_Rho","P_Value"
"Dataset_1","p450","sod",-0.415001851166235,0.000267554222808825
"Dataset_1","p450","ci_wet_volume",-0.101685376718356,0.388645586835276
"Dataset_1","p450","ci_wet_shell_weight",-0.238440804713884,0.0407726160435845
"Dataset_1","p450","ci_pollution",0.00247315808959645,0.983373354862381
"Dataset_1","p450","shell_thickness",0.177032962156884,0.131320702707376
"Dataset_1","p450","a1",0.15231395779341,0.194713106239727
"Dataset_1","p450","a2",0.0895816364309515,0.44700197761444
"Dataset_1","p450","a4",0.191647537948908,0.101851887305504
"Dataset_1","p450","a16",0.0497445390596075,0.673197121417663
"Dataset_1","p450","a63",0.134424287301,0.252907378406278
"Dataset_1","p450","a67",0.106908552388004,0.363818366299733
"Dataset_1","p450","a68",0.115734912995187,0.325379031125
"Dataset_1","p450","a69",0.0842502776749352,0.47458788641663
"Dataset_1","p450","a71",0.119141058867086,0.311267613581031
"Dataset_1","p450","a75",0.121125509070715,0.303232175530305
"Dataset_1","sod","p450",-0.415001851166235,0.000267554222808825
"Dataset_1","sod","ci_wet_volume",-0.0371878795426437,0.753092089888694
"Dataset_1","sod","ci_wet_shell_weight",0.1361185985171,0.247520336981014
"Dataset_1","sod","ci_pollution",0.0335431321732692,0.776191234082344
"Dataset_1","sod","shell_thickness",-0.00549479034219058,0.962940755784325
"Dataset_1","sod","a1",-0.0448278415401703,0.703921747772034
"Dataset_1","sod","a2",-0.0415994076268049,0.724362068123723
"Dataset_1","sod","a4",-0.0765198074787116,0.516169206730393
"Dataset_1","sod","a16",0.0223176601258793,0.850027620863485
"Dataset_1","sod","a63",-0.094142910033321,0.424131254586322
"Dataset_1","sod","a67",-0.103620881155128,0.378822748517082
"Dataset_1","sod","a68",-0.105249907441688,0.371341861661944
"Dataset_1","sod","a69",-0.13877823028508,0.237753764586912
"Dataset_1","sod","a71",-0.0926619770455387,0.431481956401966
"Dataset_1","sod","a75",-0.0841614216956683,0.475055314256574
"Dataset_1","ci_wet_volume","p450",-0.101685376718356,0.388645586835276
"Dataset_1","ci_wet_volume","sod",-0.0371878795426437,0.753092089888694
"Dataset_1","ci_wet_volume","ci_wet_shell_weight",0.481679231031265,1.39329733235061e-05
"Dataset_1","ci_wet_volume","ci_pollution",0.345531827004946,0.00256783534265425
"Dataset_1","ci_wet_volume","shell_thickness",-0.0964889545179028,0.41346625295819
"Dataset_1","ci_wet_volume","a1",0.0232664909444417,0.844011362303627
"Dataset_1","ci_wet_volume","a2",0.107831521684583,0.36046474224859
"Dataset_1","ci_wet_volume","a4",0.0646604070422868,0.584149633289255
"Dataset_1","ci_wet_volume","a16",0.0648381268967319,0.583114554147682
"Dataset_1","ci_wet_volume","a63",0.077900536198449,0.509433093855913
"Dataset_1","ci_wet_volume","a67",0.114199816468867,0.332628293622503
"Dataset_1","ci_wet_volume","a68",0.100056278052609,0.396329643827012
"Dataset_1","ci_wet_volume","a69",0.10494357404985,0.37354639229984
"Dataset_1","ci_wet_volume","a71",0.0676224046163723,0.567008764781229
"Dataset_1","ci_wet_volume","a75",0.0716359113292582,0.544166717570811
"Dataset_1","ci_wet_shell_weight","p450",-0.238440804713884,0.0407726160435845
"Dataset_1","ci_wet_shell_weight","sod",0.1361185985171,0.247520336981014
"Dataset_1","ci_wet_shell_weight","ci_wet_volume",0.481679231031265,1.39329733235061e-05
"Dataset_1","ci_wet_shell_weight","ci_pollution",-0.096116821279075,0.415278292328858
"Dataset_1","ci_wet_shell_weight","shell_thickness",-0.51154920050074,3.19434323280779e-06
"Dataset_1","ci_wet_shell_weight","a1",-0.0814697432752221,0.490165144117543
"Dataset_1","ci_wet_shell_weight","a2",-0.0993453986348282,0.399710628420349
"Dataset_1","ci_wet_shell_weight","a4",-0.113429697099605,0.335920357123964
"Dataset_1","ci_wet_shell_weight","a16",-0.148114688692146,0.207886387015543
"Dataset_1","ci_wet_shell_weight","a63",-0.116288024758597,0.323804782621213
"Dataset_1","ci_wet_shell_weight","a67",-0.109312520471626,0.353866797627963
"Dataset_1","ci_wet_shell_weight","a68",-0.12884689447272,0.273919445122154
"Dataset_1","ci_wet_shell_weight","a69",-0.0707473120570325,0.549185159593738
"Dataset_1","ci_wet_shell_weight","a71",-0.119338882259905,0.311184720390414
"Dataset_1","ci_wet_shell_weight","a75",-0.111800598433858,0.342951721849209
"Dataset_1","ci_pollution","p450",0.00247315808959645,0.983373354862381
"Dataset_1","ci_pollution","sod",0.0335431321732692,0.776191234082344
"Dataset_1","ci_pollution","ci_wet_volume",0.345531827004946,0.00256783534265425
"Dataset_1","ci_pollution","ci_wet_shell_weight",-0.096116821279075,0.415278292328858
"Dataset_1","ci_pollution","shell_thickness",0.000266593601507899,0.998201345482342
"Dataset_1","ci_pollution","a1",-0.0258718992965568,0.826476338047049
"Dataset_1","ci_pollution","a2",-0.052884116993706,0.653851163579823
"Dataset_1","ci_pollution","a4",-0.0539503887449093,0.647331771898447
"Dataset_1","ci_pollution","a16",0.00946316179192891,0.936160237920103
"Dataset_1","ci_pollution","a63",-0.0282710107367642,0.810664309073372
"Dataset_1","ci_pollution","a67",-0.0206886338393188,0.860867463276995
"Dataset_1","ci_pollution","a68",-0.0364457608293225,0.757390689985846
"Dataset_1","ci_pollution","a69",-0.0988522769344687,0.401240546725648
"Dataset_1","ci_pollution","a71",-0.0265827471306923,0.821783762509559
"Dataset_1","ci_pollution","a75",-0.0448870788596816,0.703548603682101
"Dataset_1","shell_thickness","p450",0.177032962156884,0.131320702707376
"Dataset_1","shell_thickness","sod",-0.00549479034219058,0.962940755784325
"Dataset_1","shell_thickness","ci_wet_volume",-0.0964889545179028,0.41346625295819
"Dataset_1","shell_thickness","ci_wet_shell_weight",-0.51154920050074,3.19434323280779e-06
"Dataset_1","shell_thickness","ci_pollution",0.000266593601507899,0.998201345482342
"Dataset_1","shell_thickness","a1",0.254626510951322,0.0285741639722469
"Dataset_1","shell_thickness","a2",0.299873369429468,0.00943920199714456
"Dataset_1","shell_thickness","a4",0.298584833688847,0.00976531711174902
"Dataset_1","shell_thickness","a16",0.332042330678088,0.00385009292798698
"Dataset_1","shell_thickness","a63",0.33839614484736,0.00318839935594848
"Dataset_1","shell_thickness","a67",0.31921621629443,0.00556826152588046
"Dataset_1","shell_thickness","a68",0.317557411662825,0.00583387414099652
"Dataset_1","shell_thickness","a69",0.262639129752198,0.0237785446478275
"Dataset_1","shell_thickness","a71",0.308389553922082,0.00751325848651091
"Dataset_1","shell_thickness","a75",0.326473486557701,0.00452765964973824
"Dataset_2","p450","sod",-0.415001851166235,0.000267554222808825
"Dataset_2","p450","ci_wet_volume",-0.101685376718356,0.388645586835276
"Dataset_2","p450","ci_wet_shell_weight",-0.238440804713884,0.0407726160435845
"Dataset_2","p450","ci_pollution",0.00247315808959645,0.983373354862381
"Dataset_2","p450","shell_thickness",0.177032962156884,0.131320702707376
"Dataset_2","p450","a83",0.0459237319511292,0.697030026303439
"Dataset_2","p450","a84",-0.105249907441688,0.371341861661944
"Dataset_2","p450","a85",0.00419104035542392,0.971758530071085
"Dataset_2","p450","a86",0.0151795631247686,0.897705762194318
"Dataset_2","p450","a87",0.0123954091077379,0.916410931758628
"Dataset_2","p450","a88",-0.13285449833395,0.25852989246701
"Dataset_2","p450","a91",0.000429470566456868,0.997195311501963
"Dataset_2","p450","a95",0.059163272861903,0.615848688917475
"Dataset_2","p450","a97",-0.00276934468715291,0.981370483700842
"Dataset_2","p450","a101",-0.0683154387263976,0.562248223862803
"Dataset_2","p450","a103",-0.0176675305442429,0.881037404672274
"Dataset_2","p450","a107",-0.0234727878563495,0.842357937322577
"Dataset_2","p450","a109",-0.101636430951499,0.388058163766893
"Dataset_2","p450","a112",0.0392002961865976,0.739678886630809
"Dataset_2","p450","a113",0.0470196223620881,0.690162826205717
"Dataset_2","p450","a114",0.0934024435394298,0.427797557956573
"Dataset_2","p450","a119",-0.0640207330618289,0.587124096336306
"Dataset_2","p450","a126",0.0235912624953721,0.841572122104822
"Dataset_2","p450","a128",0.0091965938541281,0.937957730120757
"Dataset_2","sod","p450",-0.415001851166235,0.000267554222808825
"Dataset_2","sod","ci_wet_volume",-0.0371878795426437,0.753092089888694
"Dataset_2","sod","ci_wet_shell_weight",0.1361185985171,0.247520336981014
"Dataset_2","sod","ci_pollution",0.0335431321732692,0.776191234082344
"Dataset_2","sod","shell_thickness",-0.00549479034219058,0.962940755784325
"Dataset_2","sod","a83",0.16700481303221,0.154697961364951
"Dataset_2","sod","a84",0.100392447241762,0.393915760173772
"Dataset_2","sod","a85",0.179207700851536,0.126419458425529
"Dataset_2","sod","a86",0.200088855979267,0.0874315795115378
"Dataset_2","sod","a87",0.141740096260644,0.227813078203181
"Dataset_2","sod","a88",0.153972602739726,0.189853565620437
"Dataset_2","sod","a91",0.235690485005553,0.0434474892314763
"Dataset_2","sod","a95",0.246708626434654,0.0343424733087266
"Dataset_2","sod","a97",0.250174009626064,0.0318339188143018
"Dataset_2","sod","a101",0.285864494631618,0.0138077705854629
"Dataset_2","sod","a103",0.283317289892632,0.0147050089224059
"Dataset_2","sod","a107",0.113631988152536,0.33429257631178
"Dataset_2","sod","a109",0.239392817475009,0.040186937981325
"Dataset_2","sod","a112",0.196090336912255,0.0940460551700631
"Dataset_2","sod","a113",0.0277674935209182,0.813976810921806
"Dataset_2","sod","a114",0.00981858570899667,0.933764081351642
"Dataset_2","sod","a119",0.0386671603109959,0.743096715455418
"Dataset_2","sod","a126",-0.0592225101814143,0.615494753188642
"Dataset_2","sod","a128",0.192773047019622,0.0998279917674932
"Dataset_2","ci_wet_volume","p450",-0.101685376718356,0.388645586835276
"Dataset_2","ci_wet_volume","sod",-0.0371878795426437,0.753092089888694
"Dataset_2","ci_wet_volume","ci_wet_shell_weight",0.481679231031265,1.39329733235061e-05
"Dataset_2","ci_wet_volume","ci_pollution",0.345531827004946,0.00256783534265425
"Dataset_2","ci_wet_volume","shell_thickness",-0.0964889545179028,0.41346625295819
"Dataset_2","ci_wet_volume","a83",0.0761825776054795,0.518843754560094
"Dataset_2","ci_wet_volume","a84",0.0201119635280406,0.864946134546506
"Dataset_2","ci_wet_volume","a85",0.00744942389882507,0.949772683881955
"Dataset_2","ci_wet_volume","a86",0.0622611890072775,0.598204392795461
"Dataset_2","ci_wet_volume","a87",0.00245845798649098,0.983414423979095
"Dataset_2","ci_wet_volume","a88",-0.0358401706464347,0.761769951003329
"Dataset_2","ci_wet_volume","a91",0.109490240326071,0.353080096961332
"Dataset_2","ci_wet_volume","a95",0.103477385250677,0.380296521103403
"Dataset_2","ci_wet_volume","a97",0.0819436628870758,0.487635929713416
"Dataset_2","ci_wet_volume","a101",0.116169544855634,0.324301375549085
"Dataset_2","ci_wet_volume","a103",0.11465892609285,0.330675455970792
"Dataset_2","ci_wet_volume","a107",0.0804182341364218,0.495801412170624
"Dataset_2","ci_wet_volume","a109",0.101448416912429,0.389757714946425
"Dataset_2","ci_wet_volume","a112",0.099997038101127,0.396610745236318
"Dataset_2","ci_wet_volume","a113",-0.00115517905389335,0.992206349335262
"Dataset_2","ci_wet_volume","a114",-0.0136992387801455,0.907775835465154
"Dataset_2","ci_wet_volume","a119",0.0132105091804214,0.91105236976867
