sample_id,site_name,site_number,reporting_area,pcb_group,geo_group,pah_group,latitude,longitude,p450,sod,shell_thickness,length_mm,length_cm,width_mm,width_cm,height_mm,height_cm,weight_initial_g,weight_final_g,weight_change_g,ci1,shell_volume_mm3,shell_volume_ml,ci2,ci3
1,Des Moines Marina,21,11,2,1,8,47.40301418,-122.3305538,5679312,4.027,0.88,57.31,5.73,26.6,2.66,19.15,1.92,13.892,4.625,9.27,31.75403439,29193.1409,29.1931409,0.667290527,0.049273779
2,Des Moines Marina,21,11,2,1,8,47.40301418,-122.3305538,6097784,4.41,1.145,58.42,5.84,26.46,2.65,19.39,1.94,15.309,5.149,10.16,33.89725312,29972.93015,29.97293015,0.663661898,0.051009982
3,Des Moines Marina,21,11,2,1,8,47.40301418,-122.3305538,3868923,5.064,0.945,58.53,5.85,26.81,2.68,19.1,1.91,13.815,5.022,8.79,29.32784617,29971.51563,29.97151563,0.636264929,0.043905738
4,Des Moines Marina,21,11,2,1,8,47.40301418,-122.3305538,3899451,25.058,1.01,55.06,5.51,25.56,2.56,18.39,1.84,13.466,4.776,8.69,33.57693042,25880.8649,25.8808649,0.645328977,0.051947539
5,Suquamish Stormwater Outfall,34,10,3,2,5,47.7296079,-122.5506191,5346329,0.512,1.015,55.52,5.55,23.69,2.37,18.87,1.89,12.915,4.034,8.88,35.77886401,24819.12226,24.81912226,0.68757259,0.051943836
6,Suquamish Stormwater Outfall,34,10,3,2,5,47.7296079,-122.5506191,2044561,6.049,1.065,58.65,5.87,26.34,2.63,20.32,2.03,16.868,5.826,11.04,35.16912657,31391.16912,31.39116912,0.654493716,0.054582669
7,Suquamish Stormwater Outfall,34,10,3,2,5,47.7296079,-122.5506191,5633230,2.326,1.02,55.96,5.6,35.5,3.55,29.45,2.95,15.689,5.359,10.33,17.65667664,58504.781,58.504781,0.658423099,0.05882152
8,Suquamish Stormwater Outfall,34,10,3,2,5,47.7296079,-122.5506191,4330102,14.39,0.985,51.31,5.13,31.55,3.16,24.5,2.45,14.717,5.017,9.7,24.45706128,39661.34725,39.66134725,0.659101719,0.07184882
9,Pennrose Point State Park,50,13,2,4,3,47.2619,-122.7376,7518449,2.815,0.955,46.86,4.69,28.2,2.82,21.57,2.16,18.242,6.199,12.04,42.24010112,28503.71964,28.50371964,0.660015349,0.11670997
10,Pennrose Point State Park,50,13,2,4,3,47.2619,-122.7376,2993202,4.845,0.81,52.15,5.22,28.83,2.88,22.84,2.28,11.143,3.983,7.16,20.85057171,34339.58598,34.33958598,0.642555865,0.050338644
11,Pennrose Point State Park,50,13,2,4,3,47.2619,-122.7376,3607485,7.438,0.855,60.21,6.02,31.36,3.14,24.3,2.43,14.388,4.402,9.99,21.77281254,45882.91008,45.88291008,0.694328607,0.045790566
12,Pennrose Point State Park,50,13,2,4,3,47.2619,-122.7376,2656342,2.9,0.81,59.56,5.96,32.33,3.23,24.54,2.45,13.61,3.954,9.66,20.44288447,47253.60559,47.25360559,0.709772226,0.045628726
