"site_number","p450","sod","ci1","ci2","ci3","shell","latitude","longitude","lat_range","long_range","site_name","reporting_area","geo_group","p16","p42","plmw","phmw","pcb"
"1",4604928.5,26.72125,35.521,0.71345,0.0521666666666667,0.6825,48.12823,-123.45715,"47.78 - 48.21",-0.76,"Port Angeles Yacht Club","6","2","4","4","4","4","4"
"2",4602015.83333333,8.97675,32.6631666666667,0.667816666666667,0.0521666666666667,0.940833333333333,48.024789,-122.998135,"47.78 - 48.21",-0.76,"Jamestown","6","2","1","1","1","1","2"
"3",4350283.66666667,3.698625,34.9365,0.681,0.054525,0.84625,48.21423,-122.718972,"47.78 - 48.21",-0.76,"Penn Cove Reference","8.1","2","1","1","1","1","1"
"7",8251409.75,5.161875,36.081,0.689,0.057625,0.89,48.255358,-122.507014,"47.81 - 48.26",-0.28,"North Camano","8.1","6","1","1","1","1","1"
"8",1844025,13.4805,33.12075,0.697775,0.061675,0.6725,48.04906,-122.7724,"47.78 - 48.21",-0.76,"Chimacum Creek delta","9","2","1","1","1","1","1"
"9",6528196,1.6465,36.68975,0.686425,0.06115,0.8975,48.02667,-122.75076,"47.78 - 48.21",-0.76,"S of Skunk Island","9","2","2","1","1","1","1"
"10",4931204,2.62175,35.34175,0.6999,0.052325,0.77125,48.02218,-122.728709,"47.78 - 48.21",-0.76,"Oak Bay County Park","9","2","1","1","1","1","2"
"11",4361964.16666667,1.83141666666667,35.0961666666667,0.690416666666667,0.0504166666666667,0.808333333333333,48.018127,-122.699524,"47.78 - 48.21",-0.76,"Maristone Island","9","2","1","1","1","1","2"
"12",2675283.75,43.0605,43.1515,0.7197,0.077275,0.775,48.064957,-122.857524,"47.78 - 48.21",-0.76,"Discovery Bay","6","2","1","1","1","1","1"
"13",4644312.16666667,5.15616666666667,29.3588333333333,0.660366666666667,0.06735,0.975,47.50161,-122.38593,"47.5 - 47.79",-0.36,"Arroyo Beach","11","3","2","2","2","1","2"
"14",2538119.33333333,1.25475,30.91975,0.629925,0.0506,0.87875,47.58766,-122.35065,"47.5 - 47.79",-0.36,"Elliott Bay, Harbor Island, Pier 17","10","3","5","5","5","5","7"
"15",6219517,2.675375,33.32975,0.691425,0.055425,0.78875,47.63237,-122.37869,"47.5 - 47.79",-0.36,"Smith Cove, Terminal 91","10","3","6","6","6","6","8"
"16",6490921.5,3.520875,29.783,0.69145,0.05205,0.70625,47.6663,-122.4018,"47.5 - 47.79",-0.36,"Salmon Bay, Commodore Park","10","3","3","3","3","3","6"
"17",5629642.5,4.295,34.4815,0.709925,0.056225,0.58875,47.607,-122.342,"47.5 - 47.79",-0.36,"Seattle Aquarium, Pier 59","10","3","5","5","5","5","7"
"18",4054842.25,2.197125,34.4785,0.7273,0.0587,0.6425,47.671678,-122.406663,"47.5 - 47.79",-0.36,"Shilshole Bay","10","3","4","4","4","4","6"
"19",2075996.8,8.6195,35.0116,0.6929,0.05302,0.702,47.61862,-122.36108,"47.5 - 47.79",-0.36,"Elliot Bay Myrtle Edwards","10","3","7","7","7","8","7"
"20",6150237.75,2.041375,35.54625,0.679975,0.05675,0.76625,47.4436,-122.360316,"47.19 - 47.45",-0.31,"Miller Creek","11","5","1","1","2","1","3"
"21",2718379.75,12.3835,49.219,0.740125,0.077675,0.78125,47.40301418,-122.3305538,"47.19 - 47.45",-0.31,"Des Moines Marina","11","5","8","8","8","7","3"
"22",2862823.75,9.90675,32.2905,0.728575,0.053075,0.55625,47.44896,-122.372267,"47.19 - 47.45",-0.31,"Three Tree Point","11","5","1","2","2","1","2"
"23",4318279,8.71225,34.59725,0.70575,0.05265,0.77,47.68234,-122.5064,"47.5 - 47.79",-0.36,"Brackenwood Ln","10","3","2","2","2","1","2"
"24",3789850,8.801,33.7175,0.6917,0.05635,0.66625,47.66142,-122.49884,"47.5 - 47.79",-0.36,"Skiff Point","10","3","2","2","2","2","1"
"25",4273576.25,4.190625,32.16525,0.6521,0.05105,0.8725,47.54167,-122.64034,"47.5 - 47.79",-0.36,"Kitsap St Boat Launch","10","3","3","3","3","2","7"
"26",5364113.25,3.937125,33.59375,0.714825,0.0557,0.72,47.66586,-122.56698,"47.5 - 47.79",-0.36,"Williams Olson Park","10","3","2","2","1","1","3"
"27",4903023.75,10.64,32.047,0.69085,0.05515,0.75125,47.60255,-122.66992,"47.5 - 47.79",-0.36,"Rocky Point","10","3","2","2","2","1","4"
"28",8381555.75,6.742125,35.27675,0.6697,0.053225,0.82125,47.57995505,-122.6786,"47.5 - 47.79",-0.36,"Madrona Pont","10","3","1","1","1","1","4"
"29",4202598.5,15.94275,31.436,0.645683333333333,0.0476166666666667,1.025,47.5706,-122.9717,"47.05 - 47.57",-0.33,"Hood Canal Holly","12","1","1","1","1","1","1"
"30",15743039.5,14.88075,33.9115,0.68495,0.055175,0.82375,47.78184,-122.83474,"47.78 - 48.21",-0.76,"Broad Spit  ","12","2","1","1","1","1","1"
"31",3303698.75,27.23325,34.692,0.70135,0.05325,0.855,47.61889,-122.5275,"47.5 - 47.79",-0.36,"Eagle Harbor Dr","10","3","3","3","3","3","5"
"32",3600368.25,3.992125,33.9745,0.700775,0.052975,0.76375,47.578117,-122.524833,"47.5 - 47.79",-0.36,"Rich Passage","10","3","2","2","2","1","4"
"33",4029897.5,8.739125,33.923,0.683375,0.05895,0.79375,47.55622,-122.54281,"47.5 - 47.79",-0.36,"Manchester, Stormwater Outfall","10","3","2","2","2","1","3"
"34",3462286.5,11.47725,30.4565,0.644675,0.0516,0.91375,47.7296079,-122.5506191,"47.5 - 47.79",-0.36,"Suquamish, Stormwater Outfall","10","3","2","2","2","2","3"
"35",2423861.25,2.677625,33.3785,0.709025,0.048125,0.70625,47.6427936,-122.6967068,"47.5 - 47.79",-0.36,"Silverdale, Dyes Inlet","10","3","2","2","2","1","5"
"36",5026723.5,8.67225,32.7505,0.69055,0.054625,0.82875,47.794695,-122.499858,"47.5 - 47.79",-0.36,"Kingston Marina","10","3","1","1","1","1","2"
"37",5367411.25,8.4285,33.69375,0.699475,0.0576,0.79375,47.5833538,-122.6414587,"47.5 - 47.79",-0.36,"Lions Park","10","3","1","1","1","1","4"
"38",6170491.25,9.8955,35.127,0.716325,0.059525,0.86,47.17650485,-122.9046464,"47.05 - 47.57",-0.33,"Squaxin Island","13","1","1","1","1","1","1"
"39",3669063,6.6755,32.63025,0.72875,0.047425,0.67375,47.346537,-122.82236,"47.05 - 47.57",-0.33,"Reach Island","13","1","1","1","1","1","1"
"40",4856632.5,6.93075,32.912,0.688625,0.051675,0.65,47.29464,-122.53053,"47.19 - 47.45",-0.31,"Salmon Beach","11","5","2","2","2","2","2"
"41",3760753.5,6.66525,27.551,0.7009,0.05165,0.83375,47.27568,-122.4173,"47.19 - 47.45",-0.31,"Blair Waterway","11","5","2","3","3","2","2"
"42",4583383,10.7295,33.082,0.709425,0.054625,0.7775,47.2632444,-122.385731,"47.19 - 47.45",-0.31,"Blair Waterway #2","11","5","3","3","4","2","3"
"43",3416417,6.240125,34.8405,0.682775,0.0518,0.82,47.3062,-122.5145,"47.19 - 47.45",-0.31,"Point Defiance Ferry","11","5","3","3","3","2","3"
"44",3128198.5,23.7915,34.21,0.693525,0.0552,0.94375,47.33775,-122.59014,"47.19 - 47.45",-0.31,"Donkey Creek Delta","11","5","2","2","2","2","5"
"45",2734317,27.29275,28.807,0.670425,0.051225,0.67625,47.29,-122.41,"47.19 - 47.45",-0.31,"Comm Bay Skookum","11","5","3","3","3","2","5"
"46",4922738.6,1.1859,34.428,0.71752,0.05634,0.695,47.259189,-122.434689,"47.19 - 47.45",-0.31,"Thea Foss Waterway","11","5","3","3","4","3","4"
"47",4698082.25,4.9395,38.1635,0.705575,0.05445,0.755,47.386977,-122.6367089,"47.19 - 47.45",-0.31,"Purdy, Burley Lagoon","13","5","1","1","1","1","3"
"48",2708626.25,19.32125,31.02875,0.698025,0.0607,0.8625,47.292549,-122.412175,"47.19 - 47.45",-0.31,"Comm Bay, Dick Gilmur Launch","11","5","3","3","3","2","5"
"49",2394475.25,25.2714,42.8736,0.79312,0.07364,0.814,47.2694,-122.4243,"47.19 - 47.45",-0.31,"Comm Bay, Milwaukee Waterway","11","5","2","2","3","2","3"
"50",4447646.75,0.394625,34.63375,0.684325,0.051375,0.76125,47.2619,-122.7376,"47.05 - 47.57",-0.33,"Penrose Point State Park","13","1","1","1","1","1","3"
"51",5281103,4.064,31.248,0.636675,0.048175,0.81125,47.30008,-122.74566,"47.05 - 47.57",-0.33,"Maple Hollow Park","13","1","1","1","1","1","2"
"52",4318718.75,1.92825,34.5265,0.68965,0.051,0.865,47.30973,-122.68868,"47.05 - 47.57",-0.33,"Kopachuck State Park","13","1","1","1","1","1","2"
"53",4914984.75,2.1875,34.9995,0.689475,0.056775,0.7475,47.32598,-122.66724,"47.05 - 47.57",-0.33,"Raft Island Park","13","1","1","1","1","1","2"
"54",5825505,11.847,33.04,0.67765,0.046825,0.6425,47.30515,-122.44441,"47.19 - 47.45",-0.31,"Browns Point Lighthouse","11","5","2","2","2","1","3"
"55",4492963.75,12.963625,33.60925,0.694125,0.05715,0.725,47.3539722,-122.69175,"47.05 - 47.57",-0.33,"Minter Bay","13","1","1","1","1","1","2"
"56",5229790.5,3.463,33.70625,0.655575,0.0539,0.85125,47.1905742,-122.5834897,"47.19 - 47.45",-0.31,"Chambers Bay Park","13","5","1","1","1","1","2"
"57",3957541.5,3.65325,31.5005,0.6652,0.044725,0.775,47.38566,-122.627255,"47.19 - 47.45",-0.31,"Purdy - Dexters","13","5","1","1","1","1","2"
"58",3756555.75,5.527125,26.91975,0.5925,0.046425,0.8175,47.33785,-122.58277,"47.19 - 47.45",-0.31,"Gig Harbor Boat Launch","11","5","2","2","2","2","4"
"59",3650401.66666667,41.85375,34.59975,0.7097,0.05275,0.835,47.19483,-122.748665,"47.05 - 47.57",-0.33,"Filucy Bay","13","1","1","1","1","1","3"
"60",3947353,17.168125,36.69725,0.707,0.054625,0.72625,48.69368,-122.90985,"48.48 - 48.82",-0.52,"Eastsound, Fishing Bay","7","4","3","2","2","2","1"
"61",1813014.25,20.4036,35.1072,0.69262,0.05358,0.906,48.5069444,-123.0194444,"48.48 - 48.82",-0.52,"Friday Harbor","7","4","3","2","2","2","1"
"62",4769315.25,2.8805,34.37825,0.69255,0.05085,0.7775,48.52108,-122.61531,"48.48 - 48.82",-0.52,"N Avenue Park","7","4","4","4","5","4","1"
"63",1794865.75,8.124125,36.81275,0.70755,0.05365,0.78375,48.482448,-122.583879,"48.48 - 48.82",-0.52,"Fidalgo Bay Aq Reserve, Weaverling Spit","7","4","2","3","3","2","1"
"64",6185474,7.4045,34.288,0.649375,0.047725,0.88625,48.520971,-122.600717,"48.48 - 48.82",-0.52,"Cap Sante","7","4","1","2","2","1","1"
"65",5059438.75,9.955,32.866,0.70215,0.056275,0.81125,47.94968,-122.30158,"47.81 - 48.26",-0.28,"Mukilteo","8.2","6","2","2","2","2","2"
"66",992653,2.459375,34.43025,0.6948,0.056175,0.6625,47.9726,-122.22977,"47.81 - 48.26",-0.28,"Everett Harbor","8.2","6","2","2","2","1","2"
"67",5926677.66666667,12.8416666666667,30.478,0.7049,0.0593166666666667,0.694166666666667,48.0617,-122.2939,"47.81 - 48.26",-0.28,"Tulalip Bay","8.2","6","2","2","2","1","2"
"68",2335145,19.80775,34.77575,0.684725,0.0559,0.77375,47.8111,-122.388,"47.81 - 48.26",-0.28,"Edmonds Marina","9","6","3","3","2","2","3"
"69",2810044,19.9975,32.78,0.702325,0.053125,0.56125,47.81407,-122.3825,"47.81 - 48.26",-0.28,"Edmonds Ferry","9","6","2","2","2","2","2"
"70",12354564.25,5.567875,32.2575,0.690375,0.053575,0.765,48.0697859,-122.2997764,"47.81 - 48.26",-0.28,"Tulalip Reservation","8.2","6","1","1","1","1","1"
