site_name,site_number,latitude,longitude,p450,SOD,condition_factor,avg_thickness,arsenic,cadmium,copper,lead,mercuryTotal,SumBDEs,SumCHLDs,SumDDTs,SumHCHs,SumPAHs16,SumPAHsHMW,SumPCBs2x17,Zinc,acenaphthene,anthracene,benz[a]anthracene,benzo[a]pyrene,benzo[b]fluoranthene,benzo[e]pyrene,benzo[ghi]perylene,benzo[k]fluoranthene,C1-benzanthracenes/chrysenes,C1-dibenzothiophenes,C1-fluoranthenes/pyrenes,C1-fluorenes,C1-naphthalenes,C1-phenanthrenes/anthracenes,C2-benzanthracenes/chrysenes,C2-dibenzothiophenes,C2-fluoranthenes/pyrenes,C2-fluorenes,C2-naphthalenes,C2-phenanthrenes/anthracenes,C3-benzanthracenes/chrysenes,C3-dibenzothiophenes,C3-fluoranthenes/pyrenes,C3-fluorenes,C3-naphthalenes,C3-phenanthrenes/anthracenes,C4-benzanthracenes/chrysenes,C4-dibenzothiophenes,C4-fluoranthenes/pyrenes,C4-naphthalenes,C4-phenanthrenes/anthracenes,chrysene,"dibenz[a,h]anthracene",dibenzothiophene,"indeno[1,2,3-cd]pyrene",phenanthrene
Aiston Preserve,77,48.6793778,-122.6300583,2861653,0.01,0.1737,0.93,7.245508982,1.652694611,4.94011976,0.177245509,0.033053892,NA,NA,1.82630719,NA,31.65599129,19.48061002,NA,77.24550898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.522766885,NA,NA,NA,NA,7.305228758,9.740305011,NA,NA,NA,NA,NA,5.600675381,NA,NA,NA,NA,6.026813725,NA,NA,NA,NA,12.17538126
Aiston Preserve,77,48.6793778,-122.6300583,4674882,8.871,0.1782,0.825,7.245508982,1.652694611,4.94011976,0.177245509,0.033053892,NA,NA,1.82630719,NA,31.65599129,19.48061002,NA,77.24550898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.522766885,NA,NA,NA,NA,7.305228758,9.740305011,NA,NA,NA,NA,NA,5.600675381,NA,NA,NA,NA,6.026813725,NA,NA,NA,NA,12.17538126
Aiston Preserve,77,48.6793778,-122.6300583,1508156,4.877,0.1374,0.79,7.245508982,1.652694611,4.94011976,0.177245509,0.033053892,NA,NA,1.82630719,NA,31.65599129,19.48061002,NA,77.24550898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.522766885,NA,NA,NA,NA,7.305228758,9.740305011,NA,NA,NA,NA,NA,5.600675381,NA,NA,NA,NA,6.026813725,NA,NA,NA,NA,12.17538126
Aiston Preserve,77,48.6793778,-122.6300583,5965780,0,0.156,0.7,7.245508982,1.652694611,4.94011976,0.177245509,0.033053892,NA,NA,1.82630719,NA,31.65599129,19.48061002,NA,77.24550898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.522766885,NA,NA,NA,NA,7.305228758,9.740305011,NA,NA,NA,NA,NA,5.600675381,NA,NA,NA,NA,6.026813725,NA,NA,NA,NA,12.17538126
Arroyo Beach,13,47.50161,-122.38593,6485447,0.635,0.1959,0.965,9.647058824,1.952941176,5.623529412,0.242352941,0.036,5.643129161,3.121731025,2.401331558,NA,168.0932091,186.1031957,NA,104.1176471,NA,NA,13.20732357,NA,11.4063249,8.404660453,NA,13.20732357,9.605326232,NA,15.00832224,3.902163782,NA,25.81431425,6.603661784,NA,9.004993342,4.742629827,10.20565912,NA,3.181764314,NA,6.003328895,5.883262317,NA,34.81930759,NA,NA,NA,NA,30.61697736,23.41298269,NA,NA,NA,30.61697736
Arroyo Beach,13,47.50161,-122.38593,3563340,11.884,0.1937,0.86,9.647058824,1.952941176,5.623529412,0.242352941,0.036,5.643129161,3.121731025,2.401331558,NA,168.0932091,186.1031957,NA,104.1176471,NA,NA,13.20732357,NA,11.4063249,8.404660453,NA,13.20732357,9.605326232,NA,15.00832224,3.902163782,NA,25.81431425,6.603661784,NA,9.004993342,4.742629827,10.20565912,NA,3.181764314,NA,6.003328895,5.883262317,NA,34.81930759,NA,NA,NA,NA,30.61697736,23.41298269,NA,NA,NA,30.61697736
Arroyo Beach,13,47.50161,-122.38593,1813227,18.105,0.2017,0.955,9.647058824,1.952941176,5.623529412,0.242352941,0.036,5.643129161,3.121731025,2.401331558,NA,168.0932091,186.1031957,NA,104.1176471,NA,NA,13.20732357,NA,11.4063249,8.404660453,NA,13.20732357,9.605326232,NA,15.00832224,3.902163782,NA,25.81431425,6.603661784,NA,9.004993342,4.742629827,10.20565912,NA,3.181764314,NA,6.003328895,5.883262317,NA,34.81930759,NA,NA,NA,NA,30.61697736,23.41298269,NA,NA,NA,30.61697736
Arroyo Beach,13,47.50161,-122.38593,3448794,7.084,0.1866,0.92,9.647058824,1.952941176,5.623529412,0.242352941,0.036,5.643129161,3.121731025,2.401331558,NA,168.0932091,186.1031957,NA,104.1176471,NA,NA,13.20732357,NA,11.4063249,8.404660453,NA,13.20732357,9.605326232,NA,15.00832224,3.902163782,NA,25.81431425,6.603661784,NA,9.004993342,4.742629827,10.20565912,NA,3.181764314,NA,6.003328895,5.883262317,NA,34.81930759,NA,NA,NA,NA,30.61697736,23.41298269,NA,NA,NA,30.61697736
Arroyo Beach,13,47.50161,-122.38593,9587219,0,0.1628,0.645,9.647058824,1.952941176,5.623529412,0.242352941,0.036,5.643129161,3.121731025,2.401331558,NA,168.0932091,186.1031957,NA,104.1176471,NA,NA,13.20732357,NA,11.4063249,8.404660453,NA,13.20732357,9.605326232,NA,15.00832224,3.902163782,NA,25.81431425,6.603661784,NA,9.004993342,4.742629827,10.20565912,NA,3.181764314,NA,6.003328895,5.883262317,NA,34.81930759,NA,NA,NA,NA,30.61697736,23.41298269,NA,NA,NA,30.61697736
Arroyo Beach,13,47.50161,-122.38593,1987132,15.285,0.1136,0.875,9.647058824,1.952941176,5.623529412,0.242352941,0.036,5.643129161,3.121731025,2.401331558,NA,168.0932091,186.1031957,NA,104.1176471,NA,NA,13.20732357,NA,11.4063249,8.404660453,NA,13.20732357,9.605326232,NA,15.00832224,3.902163782,NA,25.81431425,6.603661784,NA,9.004993342,4.742629827,10.20565912,NA,3.181764314,NA,6.003328895,5.883262317,NA,34.81930759,NA,NA,NA,NA,30.61697736,23.41298269,NA,NA,NA,30.61697736
