latitude,longitude,reporting_area,site_number,site_name,sample_id,p450,sumPAH,lmwPAH,hmwPAH,sum16PAH,sumPCB
47.40301418,-122.3305538,11,21,Des Moines Marina,1,5083144,14700.69093,,8575.40304,,55.12759097
47.40301418,-122.3305538,11,21,Des Moines Marina,2,10486498,14700.69093,,8575.40304,,55.12759097
47.40301418,-122.3305538,11,21,Des Moines Marina,3,3510592,14700.69093,,8575.40304,,55.12759097
47.40301418,-122.3305538,11,21,Des Moines Marina,4,16661987,14700.69093,,8575.40304,,55.12759097
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,5,5049235,425.312212,,193.3237327,,63.7968318
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,6,1547925,425.312212,,193.3237327,,63.7968318
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,7,5631535,425.312212,,193.3237327,,63.7968318
47.7296079,-122.5506191,10,34,Suquamish Stormwater Outfall,8,2072179,425.312212,,193.3237327,,63.7968318
47.2619,-122.7376,13,50,Pennrose Point State Park,9,7519523,160.9309232,,85.8165362,,50.16966732
47.2619,-122.7376,13,50,Pennrose Point State Park,10,2798616,204.6394325,,85.8165362,,50.16966732
47.2619,-122.7376,13,50,Pennrose Point State Park,11,9112235,204.6394325,,85.8165362,,50.16966732
47.2619,-122.7376,13,50,Pennrose Point State Park,12,10820981,204.6394325,,85.8165362,,50.16966732
48.02667,-122.75076,9,9,S of Skunk Island,13,2931739,294.2841328,,132.1275698,,28.22725356
48.02667,-122.75076,9,9,S of Skunk Island,14,8066086,294.2841328,,132.1275698,,28.22725356
48.02667,-122.75076,9,9,S of Skunk Island,16,1279970,294.2841328,,132.1275698,,28.22725356
47.94968,-122.30158,8.2,65,Mukilteo,17,13015373,440.1976325,,194.2048379,,42.07771487
47.94968,-122.30158,8.2,65,Mukilteo,18,6552124,440.1976325,,194.2048379,,42.07771487
47.94968,-122.30158,8.2,65,Mukilteo,19,11487224,440.1976325,,194.2048379,,42.07771487
47.94968,-122.30158,8.2,65,Mukilteo,20,3799311,440.1976325,,194.2048379,,42.07771487
47.8111,-122.388,9,68,Edmonds Marina,21,2670664,702.8476454,,374.8520776,,52.71357341
47.8111,-122.388,9,68,Edmonds Marina,22,6702704,702.8476454,,374.8520776,,52.71357341
47.8111,-122.388,9,68,Edmonds Marina,23,52691211,702.8476454,,374.8520776,,52.71357341
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",25,4394757,206.5735661,,74.59600998,,31.55985037
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",26,2351039,206.5735661,,74.59600998,,31.55985037
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",27,3154062,206.5735661,,74.59600998,,31.55985037
48.68975,-122.50434,7,74,"Chuckanut, Clark's Point",28,1063513,206.5735661,,74.59600998,,31.55985037
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",29,6895113,3195.16749,,2054.036244,,136.9357496
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",30,12184393,3195.16749,,2054.036244,,136.9357496
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",31,8570642,3195.16749,,2054.036244,,136.9357496
47.58766,-122.35065,10,14,"Elliott Bay, Harbor Island, Pier 17",32,9121683,3195.16749,,2054.036244,,136.9357496
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",33,4058830,325.9808253,,150.9170488,,39.23843268
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",34,2992400,325.9808253,,150.9170488,,39.23843268
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",35,3977529,325.9808253,,150.9170488,,39.23843268
48.8208,-122.7101,7,75,"Cherry Point Aquatic Reserve, Conoco Phillips",36,3836041,325.9808253,,150.9170488,,39.23843268
47.29,-122.41,11,45,Comm Bay Skookum,37,6405636,857.3198078,,369.3069941,,92.32674853
47.29,-122.41,11,45,Comm Bay Skookum,38,6222160,857.3198078,,369.3069941,,92.32674853
47.29,-122.41,11,45,Comm Bay Skookum,40,4652774,857.3198078,,369.3069941,,92.32674853
48.21423,-122.718972,8.1,3,Penn Cove Reference,41,1820616,160.9309232,,46.81626856,,34.38069722
48.21423,-122.718972,8.1,3,Penn Cove Reference,42,3013775,160.9309232,,46.81626856,,34.38069722
48.21423,-122.718972,8.1,3,Penn Cove Reference,43,956165,160.9309232,,46.81626856,,34.38069722
48.21423,-122.718972,8.1,3,Penn Cove Reference,44,3372681,160.9309232,,46.81626856,,34.38069722
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",45,958897,363.2658371,,150.7895928,,95.95701357
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",46,1900324,363.2658371,,150.7895928,,95.95701357
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",47,1494268,363.2658371,,150.7895928,,95.95701357
47.6427936,-122.6967068,10,35,"Silverdale, Dyes Inlet",48,1326495,363.2658371,,150.7895928,,95.95701357
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",49,5588536,512.4958814,,270.0247117,,24.79818781
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",50,420155,512.4958814,,270.0247117,,24.79818781
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",51,5289198,512.4958814,,270.0247117,,24.79818781
48.69368,-122.90985,7,60,"Eastsound, Fishing Bay",52,776433,512.4958814,,270.0247117,,24.79818781
47.54167,-122.64034,10,25,Kitsap St Boat Launch,53,3525403,758.678184,,354.0498192,,146.6777822
47.54167,-122.64034,10,25,Kitsap St Boat Launch,54,990428,758.678184,,354.0498192,,146.6777822
47.54167,-122.64034,10,25,Kitsap St Boat Launch,55,1035758,758.678184,,354.0498192,,146.6777822
47.54167,-122.64034,10,25,Kitsap St Boat Launch,56,5860348,758.678184,,354.0498192,,146.6777822
47.61889,-122.5275,10,31,Eagle Harbor Dr,57,2871510,1031.19294,,653.0888618,,103.119294
47.61889,-122.5275,10,31,Eagle Harbor Dr,58,939065,1031.19294,,653.0888618,,103.119294
47.61889,-122.5275,10,31,Eagle Harbor Dr,59,2018231,1031.19294,,653.0888618,,103.119294
47.61889,-122.5275,10,31,Eagle Harbor Dr,60,1556797,1031.19294,,653.0888618,,103.119294
48.482448,-122.583879,7,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",62,1670358,699.5619988,,254.3861814,,26.71054904
48.482448,-122.583879,7,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,4330874,699.5619988,,254.3861814,,26.71054904
48.482448,-122.583879,7,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",64,3613765,699.5619988,,254.3861814,,26.71054904
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,65,3127319,200.7369403,,52.7863806,,56.50373134
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,66,2281892,200.7369403,,52.7863806,,56.50373134
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,67,935926,200.7369403,,52.7863806,,56.50373134
47.11795,-122.83359,13,71,Meyer's Point - Henderson Inlet,68,2665542,200.7369403,,52.7863806,,56.50373134
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,69,1806125,12078.4217,,9394.32799,,140.9149199
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,70,2362698,12078.4217,,9394.32799,,140.9149199
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,71,3124141,12078.4217,,9394.32799,,140.9149199
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,72,2002595,12078.4217,,9394.32799,,140.9149199
47.61862,-122.36108,10,19,Elliot Bay Myrtle Edwards,73,2882039,12078.4217,,9394.32799,,140.9149199
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",74,3561414,215.4213346,,86.16853385,,59.08699464
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",75,4065347,215.4213346,,86.16853385,,59.08699464
47.386977,-122.6367089,13,47,"Purdy, Burley Lagoon",76,1243698,215.4213346,,86.16853385,,59.08699464
