site_name,avg_p450,mercuryTotal,arsenic,cadmium,copper,lead,Zinc
Aiston Preserve,4712860.314,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898
Arroyo Beach,4750942.745,0.036,9.647058824,1.952941176,5.623529412,0.242352941,104.1176471
Blair Waterway,4337758.739,0.032057143,8.114285714,1.622857143,5.828571429,0.255428571,98.85714286
Blair Waterway #2,4425866.372,-0.0236,8.373493976,1.704819277,8.13253012,0.184939759,85.54216867
Brackenwood Ln,1773623.904,0.037455621,8.698224852,1.857988166,6.213017751,0.220118343,90.53254438
Broad Spit,2286051.526,-0.0257,7.712418301,2.058823529,5.058823529,0.069934641,67.97385621
Browns Point Lighthouse,8047751.654,0.032954545,8.465909091,1.710227273,6.931818182,0.260795455,90.34090909
Cap Sante,4611059.398,0.029634146,7.743902439,1.902439024,5.298780488,0.179878049,81.09756098
Chambers Bay Park,8752275.273,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023
"Cherry Point Aquatic Reserve, Conoco Phillips",3716200.119,0.033045977,7.931034483,1.902298851,5.304597701,0.192528736,73.56321839
Chimacum Creek delta,2641298.752,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235
"Chuckanut, Clark's Point",2740842.886,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768
Comm Bay Skookum,5760190.081,0.033961039,8.441558442,1.974025974,6.688311688,0.292857143,92.20779221
"Comm Bay, Dick Gilmur Launch",3676584.787,0.032831325,7.34939759,1.608433735,5.873493976,0.271686747,75.90361446
"Comm Bay, Milwaukee Waterway",7394026.589,0.035512821,8.141025641,1.692307692,10.64102564,0.249358974,78.84615385
Des Moines Marina,8935555.429,0.040853659,8.536585366,1.969512195,6.463414634,0.278658537,93.90243902
Discovery Bay,3982486.122,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678
Donkey Creek Delta,2884111.412,0.030240964,8.915662651,1.93373494,7.34939759,0.885542169,92.77108434
Eagle Harbor Dr,1846400.668,0.04597561,8.536585366,1.932926829,8.475609756,0.62804878,79.26829268
"Eastsound, Fishing Bay",3018580.71,0.03,9.027027027,1.72972973,6,0.206486486,90.81081081
Edmonds Ferry,8264243.773,0.036647727,8.352272727,1.732954545,6.988636364,0.326704545,89.20454545
Edmonds Marina,20688192.68,0.051954023,8.275862069,1.747126437,8.563218391,0.331034483,81.6091954
Eld Inlet,9802343.137,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299
Elliot Bay Myrtle Edwards,2435519.65,0.039329268,8.170731707,1.798780488,6.402439024,0.284756098,89.02439024
"Elliott Bay, Harbor Island, Pier 17",9192957.592,0.033390805,7.988505747,1.816091954,9.08045977,0.279310345,94.82758621
Everett Harbor,5813892.783,0.041329114,8.35443038,1.702531646,6.455696203,0.365189873,72.78481013
"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999.239,0.039759036,8.493975904,1.746987952,9.277108434,0.239156627,81.92771084
Filucy Bay,10877772.12,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882
Friday Harbor,5444136.674,0.033333333,9.388888889,1.777777778,7,0.183888889,93.33333333
Gig Harbor Boat Launch,3843185.751,0.036748466,8.343558282,1.901840491,6.625766871,0.463190184,84.66257669
Hood Canal Holly,788014.8961,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247
Jamestown,3175079.08,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172
Kingston Marina,5460804.691,0.048145695,8.145695364,1.933774834,5.649006623,0.219205298,82.78145695
Kitsap St Boat Launch,2852984.356,0.031589744,8.153846154,1.548717949,8.307692308,0.50974359,87.17948718
Kopachuck State Park,7013734.566,0.040065359,8.366013072,2.078431373,5.470588235,0.173856209,84.31372549
Lions Park,6373166.26,0.0365,8.5625,1.925,6.16875,0.34875,94.375
Locust Beach,2368800.337,0.031280488,8.963414634,1.774390244,6.829268293,0.25,82.92682927
Madrona Pont,7017559.738,0.030568182,8.75,1.721590909,5.670454545,0.511363636,85.22727273
"Manchester, Stormwater Outfall",7715455.876,0.029810127,8.164556962,1.930379747,5.113924051,0.270253165,83.5443038
Maple Hollow Park,13508380.28,0.039679487,9.679487179,2.237179487,5.698717949,0.159615385,89.74358974
Maristone Island Bridge,4711148.229,0.031351351,8.783783784,2.087837838,5.871621622,0.168243243,81.08108108
Meyer's Point - Henderson Inlet,2252669.398,0.035133333,7.8,1.986666667,5.773333333,0.204666667,75.33333333
Miller Creek,15899206.45,0.041595092,8.711656442,1.969325153,5.355828221,0.235582822,87.73006135
Minter Bay,8029786.948,0.037051282,9.487179487,2.256410256,8.397435897,0.264102564,100
Mukilteo,8713508.039,0.050645161,8.129032258,1.858064516,7.225806452,0.265806452,70.96774194
N Avenue Park,6764939.012,0.036420455,10.28409091,1.926136364,5.795454545,0.447159091,94.88636364
North Camano,12423809.12,0.045581395,9.069767442,1.76744186,6.686046512,0.265697674,75
Oak Bay County Park,2335225.716,0.036,8.121212121,1.890909091,5.527272727,0.183030303,73.93939394
Penn Cove Reference,2290809.301,0.046319444,10,2.256944444,6.75,0.233333333,88.19444444
Penrose Point State Park,7562838.824,0.037452229,8.853503185,1.98089172,6.089171975,0.161783439,89.17197452
Point Defiance Ferry,2116286.931,0.027377049,8.087431694,1.546448087,6.93989071,0.39726776,92.89617486
Port Angeles Yacht Club,5668182.301,0.028128655,8.596491228,1.783625731,7.134502924,0.257309942,91.8128655
Purdy - Dexters,4578794.023,0.039122807,9.18128655,1.935672515,5.906432749,0.198245614,87.71929825
"Purdy, Burley Lagoon",3937234.94,0.035906433,9.005847953,1.842105263,6.549707602,0.246783626,90.64327485
Raft Island Park,4185580.798,0.035714286,8.095238095,2.115646259,7.755102041,0.218367347,80.95238095
Reach Island,5721094.954,0.02497006,9.341317365,2.041916168,9.041916168,0.158682635,105.988024
Rich Passage,5061124.659,0.033011364,8.465909091,1.710227273,7.102272727,0.303409091,89.20454545
