"site_name","avg_value","alpha_chlordane","alpha_hexachlorocyclohexane","aldrin","beta_chlordane","BDE100","BDE153","BDE154","BDE155","BDE183","BDE028","BDE047","BDE049","BDE066","BDE085","BDE099","beta_hexachlorocyclohexane","Br5DE04","Br5DE05","Br6DE01","Br7DE01","PCB101","PCB105","PCB011","PCB110","PCB118","PCB128","PCB138","PCB149","PCB151","PCB153","PCB156","PCB158","PCB017","PCB170","PCB171","PCB177","PCB018","PCB180","PCB183","PCB187","PCB191","PCB194","PCB195","PCB198","PCB199","PCB205","PCB206","PCB208","PCB209","PCB028","PCB031","PCB033","PCB044","PCB049","PCB052","PCB066","PCB070","PCB074","PCB082","PCB087","PCB095","PCB099","cis_nonachlor","dieldrin","Endosulfan_1","hexachlorobenzene","heptachlor","heptachlor_epoxide","gamma_hexachlorocyclohexane","mirex","nonachlor3","opDDD","opDDE","opDDT","Oxychlordane","ppDDD","ppDDE","ppDDT","lipids","acenaphthene","acenaphthylene","anthracene","benz[a]anthracene","benzo[a]pyrene","benzo[b]fluoranthene","benzo[e]pyrene","benzo[k]fluoranthene","benzo[ghi]perylene","C1-benzanthracenes/chrysenes","C1-dibenzothiophenes","C1-fluoranthenes/pyrenes","C1-fluorenes","C1-naphthalenes","C1-phenanthrenes/anthracenes","C2-benzanthracenes/chrysenes","C2-dibenzothiophenes","C2-fluoranthenes/pyrenes","C2-fluorenes","C2-naphthalenes","C2-phenanthrenes/anthracenes","C3-benzanthracenes/chrysenes","C3-dibenzothiophenes","C3-fluoranthenes/pyrenes","C3-fluorenes","C3-naphthalenes","C3-phenanthrenes/anthracenes","C4-benzanthracenes/chrysenes","C4-dibenzothiophenes","C4-fluoranthenes/pyrenes","C4-naphthalenes","C4-phenanthrenes/anthracenes","chrysene","dibenz[a,h]anthracene","dibenzothiophene","2,6-dimethylnaphthalene","1,7-dimethylphenanthrene","fluoranthene","fluorene","indeno[1,2,3-cd]pyrene","1-methylnaphthalene","2-methylnaphthalene","1-methylphenanthrene","3-methylphenanthrene","9-methylphenanthrene","naphthalene","perylene","phenanthrene","pyrene","Retene","2,3,5-trimethylnaphthalene"
"Aiston Preserve",3.381684647,-0.974030501,-0.913153595,-0.974030501,-1.095784314,-1.095784314,-0.974030501,-1.095784314,-1.095784314,-0.913153595,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-0.608769063,-1.095784314,-1.095784314,-1.095784314,-0.913153595,1.704553377,1.400168845,-1.095784314,2.191568627,2.252445534,-1.095784314,2.800337691,1.339291939,-1.095784314,2.495953159,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,1.461045752,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,1.948061002,2.069814815,1.400168845,-1.095784314,-1.095784314,-1.095784314,-1.095784314,1.82630719,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-0.852276688,-0.974030501,-1.095784314,-0.974030501,-1.034907407,-0.913153595,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,1.82630719,-0.974030501,NA,-3.165599129,-3.165599129,-3.165599129,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-2.252445534,-3.104722222,-3.104722222,-3.104722222,-3.104722222,8.522766885,-2.252445534,-3.104722222,-3.104722222,-3.104722222,7.305228758,9.740305011,-2.252445534,-3.104722222,-3.104722222,-3.104722222,9.131535948,5.600675381,-2.252445534,-3.104722222,-3.104722222,3.530860566,6.026813725,4.13962963,-3.104722222,-3.104722222,-3.104722222,-3.104722222,9.740305011,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,15.82799564,-3.104722222,12.17538126,5.844183007,9.131535948,-3.104722222
"Arroyo Beach",8.197321878,1.320732357,-1.14063249,-1.200665779,-1.380765646,-1.380765646,-1.200665779,-1.380765646,-1.380765646,-1.14063249,-1.380765646,3.241797603,-1.380765646,-1.380765646,-1.380765646,2.341298269,-0.780432756,-1.380765646,-1.380765646,-1.380765646,-1.14063249,3.061697736,1.740965379,-1.380765646,2.821564581,3.361864181,-1.380765646,5.042796272,2.701498003,-1.380765646,4.922729694,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,1.680932091,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.320732357,-1.380765646,-1.380765646,-1.320732357,-1.380765646,-1.380765646,1.620898802,1.680932091,-1.320732357,-1.380765646,-1.380765646,1.560865513,-1.380765646,1.500832224,-1.380765646,-1.380765646,-1.320732357,1.680932091,1.560865513,-1.380765646,-1.080599201,-1.200665779,-1.380765646,-1.200665779,-1.260699068,-1.14063249,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,-1.380765646,2.401331558,-1.200665779,NA,-3.902163782,-3.902163782,-3.902163782,13.20732357,-3.001664447,11.4063249,8.404660453,13.20732357,-2.941631158,9.605326232,-3.842130493,15.00832224,3.902163782,-6.003328895,25.81431425,6.603661784,-3.842130493,9.004993342,4.742629827,10.20565912,40.2223036,3.181764314,-3.842130493,6.003328895,5.883262317,13.80765646,34.81930759,-2.401331558,-3.842130493,-3.842130493,9.004993342,30.61697736,23.41298269,-3.001664447,-3.842130493,-3.842130493,9.004993342,45.6252996,-3.842130493,-3.001664447,-6.003328895,-6.003328895,5.042796272,7.203994674,4.082263648,8.404660453,-3.001664447,30.61697736,24.61364847,42.02330226,-3.842130493
"Blair Waterway",6.51756230875,1.320172496,-1.100143747,-1.155150934,1.650215621,1.650215621,-1.155150934,-1.375179684,-1.320172496,-1.100143747,-1.320172496,8.251078103,-1.320172496,-1.375179684,-1.320172496,6.050790609,0.880114998,-1.320172496,-1.320172496,-1.375179684,-1.100143747,2.91538093,1.650215621,-1.320172496,2.970388117,3.080402492,-1.320172496,4.56559655,2.420316243,-1.320172496,4.400574988,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,1.760229995,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,-1.320172496,1.87024437,2.035265932,1.375179684,1.375179684,-1.320172496,1.925251557,-1.320172496,1.760229995,-1.320172496,-1.320172496,-1.320172496,1.815237183,1.540201246,-1.320172496,-1.04513656,-1.155150934,-1.320172496,-1.155150934,-1.210158122,-1.100143747,-1.320172496,-1.320172496,1.485194058,-1.320172496,-1.320172496,-1.320172496,2.420316243,3.960517489,2.145280307,NA,5.500718735,-2.91538093,6.050790609,17.05222808,2.91538093,9.901293723,12.10158122,10.4513656,2.91538093,12.65165309,3.905510302,22.00287494,5.115668424,-3.630474365,45.10589363,11.00143747,9.35122185,14.85194058,9.901293723,17.43727839,66.00862482,5.500718735,10.4513656,13.75179684,17.60229995,34.10445616,71.50934356,-1.815237183,11.55150934,5.005654049,26.40344993,55.00718735,24.75323431,-2.200287494,-2.91538093,4.56559655,14.85194058,66.00862482,6.050790609,-2.200287494,-3.630474365,-3.630474365,11.55150934,11.00143747,8.251078103,7.701006229,2.365309056,37.95495927,47.30618112,71.50934356,-2.91538093
"Blair Waterway #2",10.79622214575,-1.466280753,-1.466280753,-1.527375784,-1.710660878,-1.710660878,-1.527375784,-1.710660878,-1.710660878,-1.405185721,-1.710660878,5.987313073,-1.710660878,-1.710660878,-1.710660878,3.482416787,0.977520502,-1.710660878,-1.710660878,-1.710660878,-1.405185721,3.665701881,2.016136035,-1.710660878,3.726796913,3.482416787,-1.710660878,5.070887603,2.627086348,-1.710660878,4.643222383,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,1.832850941,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.710660878,-1.649565847,-1.710660878,-1.710660878,2.016136035,2.199421129,-1.710660878,-1.710660878,-1.710660878,2.382706223,1.710660878,2.68818138,-1.710660878,-1.710660878,-1.710660878,2.199421129,2.016136035,-1.710660878,2.504896286,-1.527375784,-1.710660878,-1.527375784,-1.588470815,-1.405185721,-1.710660878,-1.710660878,3.482416787,-1.710660878,-1.710660878,-1.710660878,5.559647853,5.804027979,2.932561505,NA,7.942354076,-4.94869754,5.315267728,17.71755909,-5.009792571,17.10660878,26.27086348,16.49565847,6.720453449,28.10371442,-4.887602508,28.71466474,6.109503136,-4.887602508,45.2103232,29.32561505,13.4409069,23.82706223,17.71755909,18.32850941,103.8615533,15.88470815,18.93945972,26.8818138,40.93367101,34.82416787,128.2995658,-3.543511819,15.88470815,8.55330439,32.99131693,85.5330439,39.71177038,-4.94869754,-4.887602508,-4.887602508,18.32850941,67.20453449,6.109503136,-5.009792571,-4.887602508,-4.887602508,9.775205017,12.82995658,9.775205017,17.10660878,-5.009792571,39.10082007,49.4869754,40.93367101,-4.887602508
"Brackenwood Ln",7.19403885275,-1.356885144,-1.297890137,-1.356885144,-1.592865169,-1.592865169,-1.356885144,-1.592865169,-1.533870162,-1.297890137,-1.592865169,2.005830212,-1.592865169,-1.592865169,-1.592865169,-1.533870162,-0.884925094,-1.592865169,-1.592865169,-1.592865169,-1.297890137,2.772765293,-1.533870162,-1.533870162,2.772765293,2.949750312,-1.592865169,4.660605493,2.477790262,-1.533870162,4.719600499,-1.592865169,-1.592865169,-1.533870162,-1.533870162,-1.592865169,-1.533870162,1.828845194,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,-1.533870162,1.8878402,2.005830212,-1.533870162,-1.592865169,-1.533870162,1.592865169,-1.533870162,-1.533870162,-1.592865169,-1.533870162,-1.533870162,1.651860175,-1.533870162,-1.592865169,-1.238895131,-1.356885144,-1.533870162,-1.356885144,-1.41588015,-1.297890137,-1.592865169,-1.592865169,-1.592865169,-1.592865169,-1.592865169,-1.592865169,-1.533870162,2.182815231,-1.41588015,NA,-3.598695381,-3.598695381,-3.598695381,12.97890137,-2.713770287,9.439200999,6.489450687,11.79900125,-2.713770287,7.079400749,-3.539700375,15.33870162,-3.539700375,-5.309550562,27.13770287,3.7756804,-3.539700375,8.259300874,4.719600499,10.02915106,38.34675406,-2.182815231,-3.539700375,4.424625468,10.61910112,14.1588015,30.08745318,-2.182815231,-3.539700375,-3.539700375,9.439200999,23.00805243,21.82815231,-2.713770287,-3.539700375,-3.539700375,8.259300874,47.78595506,-3.539700375,-2.713770287,-5.309550562,-5.309550562,5.014575531,7.669350811,4.011660424,8.259300874,-2.713770287,37.16685393,26.54775281,34.80705368,-3.539700375
"Broad Spit",NA,-1.071669458,-1.071669458,-1.071669458,-1.272607482,-1.272607482,-1.071669458,-1.272607482,-1.205628141,-1.004690117,-1.272607482,-1.272607482,-1.272607482,-1.272607482,-1.272607482,-1.205628141,-0.669793412,-1.272607482,-1.272607482,-1.272607482,-1.004690117,1.74146287,1.473545505,-1.205628141,2.076359576,2.478235623,-1.272607482,3.215008375,1.339586823,-1.205628141,2.679173646,-1.272607482,-1.272607482,-1.205628141,-1.205628141,-1.272607482,-1.205628141,1.607504188,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.205628141,1.74146287,2.009380235,1.339586823,-1.272607482,-1.272607482,-1.205628141,-1.272607482,1.406566164,-1.272607482,-1.205628141,-1.205628141,-1.205628141,-1.205628141,-1.272607482,-1.004690117,-1.071669458,-1.205628141,-1.071669458,-1.1386488,-1.071669458,-1.272607482,-1.272607482,-1.272607482,-1.272607482,-1.272607482,-1.272607482,-1.205628141,-1.071669458,-1.1386488,NA,-4.420636516,-4.420636516,-4.420636516,-4.018760469,-4.018760469,-4.018760469,-4.018760469,-4.08573981,-4.018760469,-2.746152987,-4.353657175,-4.353657175,-4.353657175,-5.82720268,10.04690117,-2.746152987,-4.353657175,-4.353657175,-4.353657175,8.037520938,12.72607482,-2.746152987,-4.353657175,-4.353657175,-4.353657175,9.377107761,5.626264657,-2.746152987,-4.353657175,-4.353657175,-4.353657175,7.367727527,8.70731435,-4.018760469,-4.353657175,-4.353657175,-4.353657175,10.04690117,-4.353657175,-4.018760469,-5.82720268,-5.82720268,-4.353657175,-4.353657175,-4.353657175,36.83863763,-4.018760469,16.74483529,-4.420636516,15.40524846,-4.353657175
"Broad Spit (Fisherman's Point)",7.1160034875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Browns Point Lighthouse",2.31176725375,1.111629377,-0.936108949,-0.936108949,1.170136187,-1.111629377,-0.936108949,-1.111629377,-1.053122568,-0.87760214,-1.111629377,4.036969844,-1.111629377,-1.111629377,-1.111629377,2.69131323,-0.585068093,-1.111629377,-1.111629377,-1.111629377,-0.87760214,3.334888132,1.75520428,-1.053122568,3.100860895,3.159367704,-1.111629377,4.563531128,2.574299611,-1.053122568,4.329503891,-1.053122568,-1.111629377,-1.053122568,-1.053122568,-1.053122568,-1.053122568,1.75520428,-1.053122568,-1.053122568,1.228642996,-1.053122568,-1.053122568,-1.053122568,-1.053122568,-1.053122568,-1.053122568,-1.053122568,-1.053122568,-1.053122568,1.75520428,2.164751946,1.462670233,1.170136187,-1.053122568,1.872217899,1.228642996,1.638190661,-1.111629377,-1.053122568,-1.053122568,1.75520428,1.75520428,-1.111629377,1.053122568,-0.936108949,-1.053122568,-0.936108949,-0.994615759,-0.87760214,-1.111629377,-1.053122568,-1.111629377,-1.111629377,-1.111629377,-1.111629377,2.808326848,3.51040856,2.047738327,NA,4.212490272,-3.334888132,5.031585603,12.28642996,-3.217874514,7.605885214,7.605885214,9.946157588,-3.159367704,9.946157588,-3.276381323,15.79683852,-3.276381323,3.56891537,27.49820039,7.605885214,4.622037938,8.776021401,5.850680934,12.28642996,35.1040856,4.212490272,5.558146887,7.020817121,10.53122568,16.38190661,29.25340467,-2.340272374,4.270997082,-3.276381323,11.11629377,28.08326848,21.64751946,-3.159367704,-3.276381323,-3.276381323,8.190953307,42.12490272,4.3880107,-3.217874514,-3.217874514,3.56891537,7.020817121,7.020817121,4.622037938,15.21177043,-3.217874514,32.17874514,28.08326848,33.34888132,-3.276381323
"Cap Sante",18.50459183525,-1.209620438,-1.145956204,-1.209620438,-1.336948905,-1.336948905,-1.209620438,-1.336948905,-1.336948905,-1.082291971,-1.336948905,-1.400613139,-1.336948905,-1.400613139,-1.336948905,-1.336948905,1.082291971,-1.336948905,-1.336948905,-1.336948905,-1.082291971,1.909927007,1.464277372,-1.336948905,2.100919708,2.100919708,-1.336948905,2.928554745,-1.336948905,-1.336948905,2.546569343,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,1.655270073,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,1.973591241,2.164583942,1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,1.846262774,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.336948905,-1.082291971,-1.209620438,-1.336948905,-1.209620438,-1.273284672,-1.145956204,-1.336948905,-1.336948905,-1.400613139,-1.336948905,-1.336948905,-1.336948905,2.100919708,2.801226277,1.273284672,NA,-4.774817518,-4.711153285,-4.774817518,4.902145985,-4.838481752,-4.838481752,-4.838481752,-4.902145985,-4.774817518,7.639708029,-4.711153285,10.18627737,-4.711153285,-4.838481752,18.46262774,12.09620438,5.793445255,10.82291971,-4.711153285,8.912992701,37.56189781,9.549635036,14.00613139,15.27941606,8.276350365,12.73284672,50.93138686,-3.501532847,14.00613139,5.602452555,10.82291971,36.92525547,10.82291971,-4.838481752,-4.647489051,-4.711153285,-4.711153285,20.37255474,-4.647489051,-4.902145985,-4.838481752,-4.838481752,-4.711153285,5.093138686,-4.711153285,16.55270073,-4.838481752,19.09927007,11.45956204,12.09620438,-4.711153285
"Chambers Bay Park",11.61690436775,-0.707836457,-0.707836457,-0.707836457,-0.825809199,-0.825809199,-0.766822828,-0.825809199,-0.825809199,-0.707836457,-0.825809199,3.716141397,-0.825809199,-0.825809199,-0.825809199,2.418441227,-0.460093697,-0.825809199,-0.825809199,-0.825809199,-0.707836457,2.654386712,1.474659284,-0.825809199,2.536413969,2.890332198,-0.825809199,4.188032368,2.241482112,-0.825809199,3.893100511,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,1.29770017,-0.825809199,-0.825809199,1.061754685,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,1.592632027,1.769591141,1.238713799,0.884795571,-0.825809199,1.415672913,0.943781942,1.415672913,-0.825809199,-0.825809199,1.002768313,1.474659284,1.415672913,-0.825809199,0.707836457,-0.707836457,-0.825809199,-0.707836457,-0.766822828,-0.707836457,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,-0.825809199,1.651618399,-0.766822828,NA,-2.713373083,-2.713373083,-2.713373083,5.426746167,-2.536413969,5.308773424,2.890332198,5.13181431,-2.536413969,3.893100511,-2.713373083,6.488500852,-2.713373083,2.949318569,12.38713799,2.890332198,-2.713373083,3.657155026,-2.713373083,5.839650767,17.69591141,-1.887563884,-2.713373083,2.831345826,3.893100511,7.668228279,11.79727428,-1.887563884,-2.713373083,-2.713373083,-2.654386712,14.15672913,10.61754685,-2.536413969,-2.654386712,-2.713373083,3.893100511,15.92632027,-2.654386712,-2.536413969,-2.654386712,2.949318569,-2.713373083,3.244250426,-2.713373083,14.15672913,2.595400341,15.33645656,9.437819421,23.00468484,-2.654386712
