site_name,avg_sod,mercuryTotal,arsenic,cadmium,copper,lead,Zinc,SumPAHsLMW,SumPAHs16,SumPCBs2x17,SumPAHsHMW,SumPAHs
Aiston Preserve,3.381684647,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898,79.13997821,31.65599129,28.00337691,19.48061002,97.40305011
Arroyo Beach,8.197321878,0.036,9.647058824,1.952941176,5.623529412,0.242352941,104.1176471,216.1198402,168.0932091,49.22729694,186.1031957,408.2263648
Blair Waterway,6.517562309,0.032057143,8.114285714,1.622857143,5.828571429,0.255428571,98.85714286,456.559655,247.5323431,50.60661236,280.5366555,715.0934356
Blair Waterway #2,10.79622215,-0.0236,8.373493976,1.704819277,8.13253012,0.184939759,85.54216867,610.9503136,299.3656536,54.98552822,403.2272069,1038.615533
Brackenwood Ln,7.194038853,0.037455621,8.698224852,1.857988166,6.213017751,0.220118343,90.53254438,212.3820225,176.9850187,44.24625468,176.9850187,389.3670412
Broad Spit,7.116003488,-0.0257,7.712418301,2.058823529,5.058823529,0.069934641,67.97385621,107.1669458,35.49905081,30.14070352,18.75421552,127.2607482
Browns Point Lighthouse,2.311767254,0.032954545,8.465909091,1.710227273,6.931818182,0.260795455,90.34090909,257.4299611,175.520428,53.2411965,181.3711089,438.80107
Cap Sante,18.50459184,0.029634146,7.743902439,1.902439024,5.298780488,0.179878049,81.09756098,254.6569343,63.66423358,29.28554745,120.9620438,375.6189781
Chambers Bay Park,11.61690437,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023,106.1754685,70.78364566,45.41950596,76.68228279,182.8577513
"Cherry Point Aquatic Reserve, Conoco Phillips",3.863908288,0.033045977,7.931034483,1.902298851,5.304597701,0.192528736,73.56321839,169.0270946,126.770321,39.23843268,150.9170488,325.9808253
Chimacum Creek delta,1.80051685,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235,112.3062201,68.63157895,29.32440191,56.77703349,168.4593301
"Chuckanut, Clark's Point",11.2110419,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768,131.9775561,80.33416459,31.55985037,74.59600998,206.5735661
Comm Bay Skookum,9.07430531,0.033961039,8.441558442,1.974025974,6.688311688,0.292857143,92.20779221,461.6337427,342.9279231,92.32674853,369.3069941,857.3198078
"Comm Bay, Dick Gilmur Launch",14.00873683,0.032831325,7.34939759,1.608433735,5.873493976,0.271686747,75.90361446,442.7216981,332.0412736,84.6379717,338.5518868,781.2735849
"Comm Bay, Milwaukee Waterway",8.040569912,0.035512821,8.141025641,1.692307692,10.64102564,0.249358974,78.84615385,390.3665768,195.1832884,56.53584906,215.3746631,599.0107817
Des Moines Marina,8.792656395,0.040853659,8.536585366,1.969512195,6.463414634,0.278658537,93.90243902,6125.287886,9800.460617,55.12759097,8575.40304,14700.69093
Discovery Bay,9.332538704,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678,136.5052112,117.6769062,16.94547449,98.84860121,235.3538124
Donkey Creek Delta,2.407837279,0.030240964,8.915662651,1.93373494,7.34939759,0.885542169,92.77108434,238.0359712,257.8723022,105.793765,284.3207434,522.3567146
Eagle Harbor Dr,12.6098516,0.04597561,8.536585366,1.932926829,8.475609756,0.62804878,79.26829268,364.3548387,577.4680463,103.119294,653.0888618,1031.19294
"Eastsound, Fishing Bay",7.534952207,0.03,9.027027027,1.72972973,6,0.206486486,90.81081081,242.4711697,292.0675453,24.79818781,270.0247117,512.4958814
Edmonds Ferry,0.206329647,0.036647727,8.352272727,1.732954545,6.988636364,0.326704545,89.20454545,257.235514,268.9280374,47.93934579,268.9280374,532.0098131
Edmonds Marina,13.85400356,0.051954023,8.275862069,1.747126437,8.563218391,0.331034483,81.6091954,304.567313,374.8520776,52.71357341,374.8520776,702.8476454
Eld Inlet,9.861263047,0.028563218,8.850574713,1.712643678,6.206896552,0.250574713,91.95402299,96.52394366,64.34929577,42.36328638,75.0741784,171.5981221
Elliot Bay Myrtle Edwards,11.72580418,0.039329268,8.170731707,1.798780488,6.402439024,0.284756098,89.02439024,3220.912454,8052.281134,140.9149199,9394.32799,12078.4217
"Elliott Bay, Harbor Island, Pier 17",5.500254008,0.033390805,7.988505747,1.816091954,9.08045977,0.279310345,94.82758621,1141.131247,1882.866557,136.9357496,2054.036244,3195.16749
Everett Harbor,1.28999742,0.041329114,8.35443038,1.702531646,6.455696203,0.365189873,72.78481013,206.3799547,173.0928652,46.60192525,166.4354473,372.815402
"Fidalgo Bay Aq Reserve, Weaverling Spit",11.87749221,0.039759036,8.493975904,1.746987952,9.277108434,0.239156627,81.92771084,438.8161629,165.3510179,26.71054904,254.3861814,699.5619988
Filucy Bay,5.009127417,0.042352941,8.117647059,1.741176471,5.747058824,0.228823529,77.64705882,88.96386823,65.24017003,54.56450584,59.30924548,148.2731137
Friday Harbor,5.14738837,0.033333333,9.388888889,1.777777778,7,0.183888889,93.33333333,206.8104887,338.4171633,25.69463647,319.6162098,532.693683
Gig Harbor Boat Launch,14.97195681,0.036748466,8.343558282,1.901840491,6.625766871,0.463190184,84.66257669,172.3839836,233.949692,73.8788501,246.2628337,418.6468172
Hood Canal Holly,1.640458193,0.028831169,9.285714286,2.311688312,6.753246753,0.085064935,82.46753247,109.2718894,24.58617512,25.26912442,11.61013825,116.1013825
Jamestown,7.752782309,0.031847134,8.789808917,1.872611465,7.388535032,0.175159236,78.98089172,106.0614263,31.15554399,39.11015096,15.24633004,119.3191046
