latitude,longitude,reporting_area,site_name,avg_p450,avg_sod,avg_at,avg_cf,a1,a4,a63,a67,a68,a71,a75,a2,a16,a69
48.6793778,-122.6300583,7,Aiston Preserve,4712860.314,3.381684647,0.81125,0.161325,-0.974030501,-1.095784314,-1.095784314,-0.974030501,-1.034907407,-1.095784314,-1.095784314,-0.913153595,-0.608769063,-0.913153595
47.50161,-122.38593,11,Arroyo Beach,4750942.745,8.197321878,0.87,0.175716667,1.320732357,-1.380765646,-1.380765646,-1.200665779,-1.260699068,-1.380765646,-1.380765646,-1.14063249,-0.780432756,-1.14063249
47.27568,-122.4173,11,Blair Waterway,4337758.739,6.517562309,0.83875,0.1905,1.320172496,1.650215621,-1.320172496,-1.155150934,-1.210158122,-1.320172496,-1.320172496,-1.100143747,0.880114998,-1.100143747
47.2632444,-122.385731,11,Blair Waterway #2,4425866.372,10.79622215,0.8575,0.146175,-1.466280753,-1.710660878,-1.710660878,-1.527375784,-1.588470815,-1.710660878,-1.710660878,-1.466280753,0.977520502,-1.405185721
47.68234,-122.5064,10,Brackenwood Ln,1773623.904,7.194038853,0.67125,0.195275,-1.356885144,-1.592865169,-1.592865169,-1.356885144,-1.41588015,-1.592865169,-1.592865169,-1.297890137,-0.884925094,-1.297890137
47.78184,-122.83474,12,Broad Spit,2286051.526,7.116003488,0.66375,0.173625,-1.071669458,-1.272607482,-1.272607482,-1.071669458,-1.1386488,-1.272607482,-1.272607482,-1.071669458,-0.669793412,-1.071669458
47.30515,-122.44441,11,Browns Point Lighthouse,8047751.654,2.311767254,0.84875,0.1903,1.111629377,1.170136187,-1.111629377,-0.936108949,-0.994615759,-1.053122568,-1.111629377,-0.936108949,-0.585068093,-0.87760214
48.520971,-122.600717,7,Cap Sante,4611059.398,18.50459184,0.79,0.141325,-1.209620438,-1.336948905,-1.336948905,-1.209620438,-1.273284672,-1.336948905,-1.336948905,-1.145956204,1.082291971,-1.145956204
47.1905742,-122.5834897,13,Chambers Bay Park,8752275.273,11.61690437,1.05625,0.150475,-0.707836457,-0.825809199,-0.825809199,-0.707836457,-0.766822828,-0.825809199,-0.825809199,-0.707836457,-0.460093697,-0.707836457
48.8208,-122.7101,7,"Cherry Point Aquatic Reserve, Conoco Phillips",3716200.119,3.863908288,0.86875,0.1539,-0.905502293,-1.026235932,-1.026235932,-0.905502293,-0.905502293,-1.026235932,-1.026235932,-0.845135473,0.845135473,-0.845135473
