site_number,site_name,sample_id,p450,sod
21,Des Moines Marina,1,5083144.37,4.026529443
21,Des Moines Marina,2,10486497.94,4.409540288
21,Des Moines Marina,3,3510592.064,5.06432411
21,Des Moines Marina,4,16661987.34,21.67023174
34,Suquamish Stormwater Outfall,5,5049234.832,0.512029657
34,Suquamish Stormwater Outfall,6,1547924.931,6.048720312
34,Suquamish Stormwater Outfall,7,5631534.737,2.325964468
34,Suquamish Stormwater Outfall,8,2072178.784,14.39013715
50,Pennrose Point State Park,9,7519523.24,2.458114405
50,Pennrose Point State Park,10,2798616.172,4.845219744
50,Pennrose Point State Park,11,9112234.612,7.437724633
50,Pennrose Point State Park,12,10820981.27,2.951183557
9,S of Skunk Island,13,2931739.411,8.989428286
9,S of Skunk Island,14,8066086.487,8.102061708
9,S of Skunk Island,16,1279969.501,22.37584808
65,Mukilteo,17,13015373,7.612757795
65,Mukilteo,18,6552123.968,6.400303292
65,Mukilteo,19,11487223.84,0.27109511
65,Mukilteo,20,3799311.348,16.14158661
68,Edmonds Marina,21,2670663.546,7.034310783
68,Edmonds Marina,22,6702703.93,11.40220475
68,Edmonds Marina,23,52691210.55,23.27140092
74,"Chuckanut, Clark's Point",25,4394757.107,2.551723422
74,"Chuckanut, Clark's Point",26,2351039.245,8.472448187
74,"Chuckanut, Clark's Point",27,3154062.109,13.73110982
74,"Chuckanut, Clark's Point",28,1063513.081,20.08888619
14,"Elliott Bay, Harbor Island, Pier 17",29,6895112.507,1.234264383
14,"Elliott Bay, Harbor Island, Pier 17",30,12184392.72,6.55111557
14,"Elliott Bay, Harbor Island, Pier 17",31,8570642.497,13.24037661
14,"Elliott Bay, Harbor Island, Pier 17",32,9121682.642,0.975259467
75,"Cherry Point Aquatic Reserve, Conoco Phillips",33,4058829.908,3.411359594
75,"Cherry Point Aquatic Reserve, Conoco Phillips",34,2992400.261,9.760878837
75,"Cherry Point Aquatic Reserve, Conoco Phillips",35,3977529.473,0.820666791
75,"Cherry Point Aquatic Reserve, Conoco Phillips",36,3836040.833,1.462727928
45,Comm Bay Skookum,37,6405635.77,7.883607521
45,Comm Bay Skookum,38,6222160.272,4.123997627
45,Comm Bay Skookum,40,4652774.201,6.96579733
3,Penn Cove Reference,41,1820616.389,3.647970995
3,Penn Cove Reference,42,3013774.793,9.55562411
3,Penn Cove Reference,43,956165.3963,20.2799322
3,Penn Cove Reference,44,3372680.626,16.88754424
35,"Silverdale, Dyes Inlet",45,958896.736,11.04813995
35,"Silverdale, Dyes Inlet",46,1900324.089,11.65960237
35,"Silverdale, Dyes Inlet",47,1494268.126,16.96255158
35,"Silverdale, Dyes Inlet",48,1326495.432,73.34487105
60,"Eastsound, Fishing Bay",49,5588536.414,-0.784855226
60,"Eastsound, Fishing Bay",50,420155.34,9.766978062
60,"Eastsound, Fishing Bay",51,5289198.37,12.77306106
60,"Eastsound, Fishing Bay",52,776432.7164,8.384624933
25,Kitsap St Boat Launch,53,3525403.086,1.604310088
25,Kitsap St Boat Launch,54,990428.3988,21.2090881
25,Kitsap St Boat Launch,55,1035758.422,10.07215837
25,Kitsap St Boat Launch,56,5860347.517,10.10694104
31,Eagle Harbor Dr,57,2871509.72,11.30645621
31,Eagle Harbor Dr,58,939065.4732,1.797720696
31,Eagle Harbor Dr,59,2018230.909,12.54488929
31,Eagle Harbor Dr,60,1556796.569,24.79034022
63,"Fidalgo Bay Aq Reserve, Weaverling Spit",62,1670358.346,13.52835798
63,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,4330873.92,10.95789834
63,"Fidalgo Bay Aq Reserve, Weaverling Spit",64,3613765.45,17.03127292
71,Meyer's Point - Henderson Inlet,65,3127318.578,17.33121699
71,Meyer's Point - Henderson Inlet,66,2281891.641,8.102054819
71,Meyer's Point - Henderson Inlet,67,935925.8221,6.983254366
71,Meyer's Point - Henderson Inlet,68,2665541.551,28.43107695
19,Elliot Bay Myrtle Edwards,69,1806125.391,13.39496205
19,Elliot Bay Myrtle Edwards,70,2362697.601,16.32665765
19,Elliot Bay Myrtle Edwards,71,3124140.742,8.805080554
19,Elliot Bay Myrtle Edwards,72,2002595.476,3.619748565
19,Elliot Bay Myrtle Edwards,73,2882039.042,16.48257209
47,"Purdy, Burley Lagoon",74,3561413.583,12.06426511
47,"Purdy, Burley Lagoon",75,4065347.042,13.01747486
47,"Purdy, Burley Lagoon",76,1243697.714,9.52954338
47,"Purdy, Burley Lagoon",77,6878481.422,5.590486277
17,"Seattle Aquarium, Pier 59",78,2711671.665,51.0832157
17,"Seattle Aquarium, Pier 59",79,2380701.981,8.733100152
17,"Seattle Aquarium, Pier 59",80,4563731.25,1.736273165
17,"Seattle Aquarium, Pier 59",81,2492093.031,0.917955386
2,Jamestown,82,2974825.251,7.943421681
2,Jamestown,83,4846845.298,12.47222522
2,Jamestown,84,2235572.381,8.018069641
2,Jamestown,85,3342764.583,5.416664521
2,Jamestown,86,2775717.403,5.625314342
2,Jamestown,87,2874749.561,7.040998451
10,Oak Bay County Park,88,2227397.544,12.53274497
10,Oak Bay County Park,89,3074510.978,7.394624094
