latitude,longitude,site_name,site_number,reporting_area,a1,a2,a4,a16,a63,a67,a68,a69,a71,a75
48.6793778,-122.6300583,Aiston Preserve,77,7,-0.974030501,-0.913153595,-1.095784314,-0.608769063,-1.095784314,-0.974030501,-1.034907407,-0.913153595,-1.095784314,-1.095784314
47.50161,-122.38593,Arroyo Beach,13,11,1.320732357,-1.14063249,-1.380765646,-0.780432756,-1.380765646,-1.200665779,-1.260699068,-1.14063249,-1.380765646,-1.380765646
47.27568,-122.4173,Blair Waterway,41,11,1.320172496,-1.100143747,1.650215621,0.880114998,-1.320172496,-1.155150934,-1.210158122,-1.100143747,-1.320172496,-1.320172496
47.2632444,-122.385731,Blair Waterway #2,42,11,-1.466280753,-1.466280753,-1.710660878,0.977520502,-1.710660878,-1.527375784,-1.588470815,-1.405185721,-1.710660878,-1.710660878
47.68234,-122.5064,Brackenwood Ln,23,10,-1.356885144,-1.297890137,-1.592865169,-0.884925094,-1.592865169,-1.356885144,-1.41588015,-1.297890137,-1.592865169,-1.592865169
47.78184,-122.83474,Broad Spit (Fisherman's Point),30,12,-1.071669458,-1.071669458,-1.272607482,-0.669793412,-1.272607482,-1.071669458,-1.1386488,-1.071669458,-1.272607482,-1.272607482
47.30515,-122.44441,Browns Point Lighthouse,54,11,1.111629377,-0.936108949,1.170136187,-0.585068093,-1.111629377,-0.936108949,-0.994615759,-0.87760214,-1.053122568,-1.111629377
48.520971,-122.600717,Cap Sante,64,7,-1.209620438,-1.145956204,-1.336948905,1.082291971,-1.336948905,-1.209620438,-1.273284672,-1.145956204,-1.336948905,-1.336948905
47.1905742,-122.5834897,Chambers Bay Park,56,13,-0.707836457,-0.707836457,-0.825809199,-0.460093697,-0.825809199,-0.707836457,-0.766822828,-0.707836457,-0.825809199,-0.825809199
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,-0.905502293,-0.845135473,-1.026235932,0.845135473,-1.026235932,-0.905502293,-0.905502293,-0.845135473,-1.026235932,-1.026235932
48.04906,-122.7724,Chimacum Creek delta,8,9,-1.372631579,-1.310239234,-1.559808612,-0.873492823,-1.559808612,-1.372631579,-1.435023923,-1.310239234,-1.559808612,-1.559808612
48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,-1.147630923,-1.090249377,-1.319775561,-0.7459601,-1.319775561,-1.147630923,-1.205012469,-1.090249377,-1.319775561,-1.319775561
47.29,-122.41,Comm Bay Skookum,45,11,1.978430326,-1.384901228,1.846534971,-0.923267485,-1.648691938,-1.450848905,-1.516796583,-1.384901228,-1.648691938,-1.648691938
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,1.497441038,-0.976591981,1.692759434,-0.651061321,-1.171910377,-1.041698113,-1.106804245,-0.976591981,-1.171910377,-1.171910377
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,11,2.221051213,-1.076873315,2.490269542,-0.673045822,-1.278787062,-1.144177898,-1.144177898,-1.076873315,-1.278787062,-1.278787062
47.40301418,-122.3305538,Des Moines Marina,21,11,-1.102551819,-1.102551819,-1.286310456,-0.673781667,-1.286310456,-1.102551819,-1.163804698,-1.041298941,-1.286310456,-1.286310456
48.064957,-122.857524,Discovery Bay,12,6,-0.800202962,-0.7531322,-0.894344487,-0.470707625,-0.894344487,-0.800202962,-0.800202962,-0.7531322,-0.894344487,-0.894344487
47.33775,-122.59014,Donkey Creek Delta,44,11,-0.925695444,-0.859574341,-1.05793765,-0.575253597,-1.05793765,-0.925695444,-0.991816547,-0.859574341,-1.05793765,-1.05793765
47.61889,-122.5275,Eagle Harbor Dr,31,10,-1.306177724,-1.237431528,-1.443670116,-0.824954352,-1.512416312,-1.306177724,-1.37492392,-1.237431528,-1.443670116,-1.512416312
48.69368,-122.90985,"Eastsound, Fishing Bay",60,7,-1.157248764,-1.157248764,-1.322570016,-0.716392092,-1.3776771,-1.157248764,-1.212355848,-1.10214168,-1.322570016,-1.3776771
47.81407,-122.3825,Edmonds Ferry,69,9,-1.052327103,-0.993864486,-1.227714953,-0.643088785,-1.227714953,-1.052327103,-1.11078972,-0.993864486,-1.169252336,-1.227714953
47.8111,-122.388,Edmonds Marina,68,9,-0.81998892,-0.81998892,-0.937130194,0.585706371,-0.937130194,-0.81998892,-0.878559557,-0.81998892,-0.937130194,-0.937130194
47.074603,-123.003527,Eld Inlet,72,13,-1.072488263,-1.01886385,-1.233361502,-0.643492958,-1.233361502,-1.072488263,-1.126112676,-1.01886385,-1.179737089,-1.233361502
47.61862,-122.36108,Elliot Bay Myrtle Edwards,19,10,-1.20784217,-1.20784217,-1.409149199,-0.738125771,-1.409149199,-1.20784217,-1.274944513,-1.140739827,-1.409149199,-1.409149199
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",14,10,-1.198187809,-1.141131247,-1.369357496,1.027018122,-1.369357496,-1.198187809,-1.255244371,-1.141131247,-1.369357496,-1.369357496
47.9726,-122.22977,Everett Harbor,66,8.2,-1.2649094,-1.2649094,-1.464631937,-0.798890147,-1.464631937,-1.2649094,-1.331483579,-1.198335221,-1.464631937,-1.464631937
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",63,7,-1.78070327,-1.717106724,-2.035089451,-1.081141271,-2.035089451,-1.78070327,-1.844299815,-1.717106724,-2.035089451,-2.035089451
47.19483,-122.748665,Filucy Bay,59,13,-0.948947928,-0.948947928,-1.126875664,-0.593092455,-1.126875664,-0.948947928,-1.008257173,-0.948947928,-1.126875664,-1.126875664
48.5069444,-123.0194444,Friday Harbor,61,7,-1.190727056,-1.190727056,-1.378736591,-0.752038141,-1.378736591,-1.190727056,-1.253396901,-1.128057211,-1.378736591,-1.378736591
47.33785,-122.58277,Gig Harbor Boat Launch,58,11,-1.108182752,-1.046617043,-1.231314168,-0.677222793,-1.231314168,-1.108182752,-1.16974846,-1.046617043,-1.231314168,-1.231314168
47.5706,-122.9717,Hood Canal Holly,29,12,-1.365898618,-1.297603687,-1.57078341,-0.887834101,-1.57078341,-1.365898618,-1.434193548,-1.297603687,-1.57078341,-1.57078341
48.024789,-122.998135,Jamestown,2,6,-1.193191046,-1.126902655,-1.392056221,-0.729172306,-1.392056221,-1.193191046,-1.259479438,-1.126902655,-1.392056221,-1.392056221
47.794695,-122.499858,Kingston Marina,36,10,-1.040041775,-1.040041775,-1.235049608,-0.65002611,-1.235049608,-1.105044386,-1.105044386,-1.040041775,-1.235049608,-1.235049608
