latitude,longitude,site_name,site_number,reporting_area,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
48.6793778,-122.6300583,Aiston Preserve,77,7,-1.095784314,-0.974030501,-1.095784314,-1.095784314,-0.913153595,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-1.095784314,-0.608769063,-1.095784314,-1.095784314,-1.095784314,-0.913153595
47.50161,-122.38593,Arroyo Beach,13,11,-1.380765646,-1.200665779,-1.380765646,-1.380765646,-1.14063249,-1.380765646,3.241797603,-1.380765646,-1.380765646,-1.380765646,2.341298269,-0.780432756,-1.380765646,-1.380765646,-1.380765646,-1.14063249
47.27568,-122.4173,Blair Waterway,41,11,1.650215621,-1.155150934,-1.375179684,-1.320172496,-1.100143747,-1.320172496,8.251078103,-1.320172496,-1.375179684,-1.320172496,6.050790609,0.880114998,-1.320172496,-1.320172496,-1.375179684,-1.100143747
47.2632444,-122.385731,Blair Waterway #2,42,11,-1.710660878,-1.527375784,-1.710660878,-1.710660878,-1.405185721,-1.710660878,5.987313073,-1.710660878,-1.710660878,-1.710660878,3.482416787,0.977520502,-1.710660878,-1.710660878,-1.710660878,-1.405185721
47.68234,-122.5064,Brackenwood Ln,23,10,-1.592865169,-1.356885144,-1.592865169,-1.533870162,-1.297890137,-1.592865169,2.005830212,-1.592865169,-1.592865169,-1.592865169,-1.533870162,-0.884925094,-1.592865169,-1.592865169,-1.592865169,-1.297890137
47.78184,-122.83474,Broad Spit (Fisherman's Point),30,12,-1.272607482,-1.071669458,-1.272607482,-1.205628141,-1.004690117,-1.272607482,-1.272607482,-1.272607482,-1.272607482,-1.272607482,-1.205628141,-0.669793412,-1.272607482,-1.272607482,-1.272607482,-1.004690117
47.30515,-122.44441,Browns Point Lighthouse,54,11,-1.111629377,-0.936108949,-1.111629377,-1.053122568,-0.87760214,-1.111629377,4.036969844,-1.111629377,-1.111629377,-1.111629377,2.69131323,-0.585068093,-1.111629377,-1.111629377,-1.111629377,-0.87760214
48.520971,-122.600717,Cap Sante,64,7,-1.336948905,-1.209620438,-1.336948905,-1.336948905,-1.082291971,-1.336948905,-1.400613139,-1.336948905,-1.400613139,-1.336948905,-1.336948905,1.082291971,-1.336948905,-1.336948905,-1.336948905,-1.082291971
47.1905742,-122.5834897,Chambers Bay Park,56,13,-0.825809199,-0.766822828,-0.825809199,-0.825809199,-0.707836457,-0.825809199,3.716141397,-0.825809199,-0.825809199,-0.825809199,2.418441227,-0.460093697,-0.825809199,-0.825809199,-0.825809199,-0.707836457
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,-1.026235932,-0.905502293,-1.026235932,-1.026235932,-0.845135473,-1.026235932,-1.026235932,-1.026235932,-1.026235932,-1.026235932,-0.965869112,0.845135473,-1.026235932,-1.026235932,-1.026235932,-0.845135473
48.04906,-122.7724,Chimacum Creek delta,8,9,-1.559808612,-1.372631579,-1.559808612,-1.559808612,-1.24784689,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-1.559808612,-0.873492823,-1.559808612,-1.559808612,-1.559808612,-1.24784689
48.68975,-122.50434,"Chuckanut, Clark's Point",74,7,-1.319775561,-1.147630923,-1.319775561,-1.319775561,-1.090249377,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-1.319775561,-0.7459601,-1.319775561,-1.319775561,-1.319775561,-1.090249377
47.29,-122.41,Comm Bay Skookum,45,11,-1.648691938,-1.450848905,-1.648691938,-1.582744261,-1.31895355,-1.648691938,6.594767752,-1.648691938,-1.648691938,-1.648691938,5.407709557,-0.923267485,-1.648691938,-1.648691938,-1.648691938,-1.31895355
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",48,11,1.171910377,-1.041698113,-1.171910377,-1.171910377,-0.976591981,-1.171910377,5.599127358,-1.171910377,-1.171910377,-1.171910377,4.362110849,-0.651061321,-1.171910377,-1.171910377,-1.171910377,-0.976591981
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",49,11,-1.278787062,-1.144177898,-1.278787062,-1.278787062,-1.009568733,-1.278787062,5.990107817,-1.278787062,-1.278787062,-1.278787062,4.105579515,-0.673045822,-1.278787062,-1.278787062,-1.278787062,-1.009568733
47.40301418,-122.3305538,Des Moines Marina,21,11,-1.286310456,-1.102551819,-1.286310456,-1.286310456,-1.041298941,-1.286310456,3.123896822,-1.286310456,-1.286310456,-1.286310456,1.960092123,-0.673781667,-1.286310456,-1.286310456,-1.286310456,-1.041298941
48.064957,-122.857524,Discovery Bay,12,6,-0.894344487,-0.800202962,-0.894344487,-0.894344487,-0.706061437,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.894344487,-0.470707625,-0.894344487,-0.894344487,-0.894344487,-0.706061437
