site_name,site_number,reporting_area,pcb_group,pah_group,latitude,longitude,geo_group,p450,sod,ci_wet_volume,ci_wet_shell_weight,ci_pollution,shell_thickness,a83,a84,a85,a86,a87,a88,a91,a95,a97,a101,a103,a107,a109,a112,a113,a114,a119,a126,a128
Aiston Preserve,77,8,1,8,48.6793778,-122.6300583,5,3752617.75,3.440125,0.33075,2.2675,0.482244393,0.81125,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-2.252445534,-3.104722222,-2.252445534,-3.104722222,-2.252445534,-3.104722222,4.13962963,-3.104722222,-3.104722222,-3.104722222,-3.104722222,5.844183007
Arroyo Beach,13,8,3,8,47.50161,-122.38593,2,4480859.833,8.832583333,0.319666667,2.03,0.332551981,0.87,13.20732357,-3.001664447,11.4063249,8.404660453,13.20732357,-2.941631158,15.00832224,6.603661784,9.004993342,3.181764314,6.003328895,-2.401331558,-3.842130493,23.41298269,-3.001664447,-3.842130493,-3.001664447,-3.001664447,24.61364847
Blair Waterway,41,3,3,3,47.27568,-122.4173,2,4879642.5,6.51775,0.3415,2.51,0.344659404,0.83875,17.05222808,2.91538093,9.901293723,12.10158122,10.4513656,2.91538093,22.00287494,11.00143747,14.85194058,5.500718735,13.75179684,-1.815237183,5.005654049,24.75323431,-2.200287494,-2.91538093,-2.200287494,2.365309056,47.30618112
Blair Waterway #2,42,7,3,7,47.2632444,-122.385731,1,3714917.5,10.796,0.32075,1.8475,0.567087159,0.8575,17.71755909,-5.009792571,17.10660878,26.27086348,16.49565847,6.720453449,28.71466474,29.32561505,23.82706223,15.88470815,26.8818138,-3.543511819,8.55330439,39.71177038,-4.94869754,-4.887602508,-5.009792571,-5.009792571,49.4869754
Brackenwood Ln,23,2,2,2,47.68234,-122.5064,3,1857011.75,9.835125,0.3465,2.31,0.302719481,0.67125,12.97890137,-2.713770287,9.439200999,6.489450687,11.79900125,-2.713770287,15.33870162,3.7756804,8.259300874,-2.182815231,4.424625468,-2.182815231,-3.539700375,21.82815231,-2.713770287,-3.539700375,-2.713770287,-2.713770287,26.54775281
Broad Spit (Fisherman's Point),30,3,1,3,47.78184,-122.83474,4,2311730.75,7.11625,0.34225,2.455,0.437175344,0.66375,-4.018760469,-4.018760469,-4.018760469,-4.018760469,-4.08573981,-4.018760469,-4.353657175,-2.746152987,-4.353657175,-2.746152987,-4.353657175,-2.746152987,-4.353657175,8.70731435,-4.018760469,-4.353657175,-4.018760469,-4.018760469,-4.420636516
Browns Point Lighthouse,54,6,3,6,47.30515,-122.44441,1,7401612.25,1.378875,0.36525,2.335,0.413691338,0.84875,12.28642996,-3.217874514,7.605885214,7.605885214,9.946157588,-3.159367704,15.79683852,7.605885214,8.776021401,4.212490272,7.020817121,-2.340272374,-3.276381323,21.64751946,-3.159367704,-3.276381323,-3.217874514,-3.217874514,28.08326848
Cap Sante,64,2,1,2,48.520971,-122.600717,4,3728576,41.12025,0.331,2.23,0.644548415,0.79,4.902145985,-4.838481752,-4.838481752,-4.838481752,-4.902145985,-4.774817518,10.18627737,12.09620438,10.82291971,9.549635036,15.27941606,-3.501532847,5.602452555,10.82291971,-4.838481752,-4.647489051,-4.902145985,-4.838481752,11.45956204
Chambers Bay Park,56,3,2,3,47.1905742,-122.5834897,1,4502337.75,9.687875,0.3115,1.7375,0.450110288,1.05625,5.426746167,-2.536413969,5.308773424,2.890332198,5.13181431,-2.536413969,6.488500852,2.890332198,3.657155026,-1.887563884,2.831345826,-1.887563884,-2.713373083,10.61754685,-2.536413969,-2.654386712,-2.536413969,2.595400341,9.437819421
"Cherry Point Aquatic Reserve, Conoco Phillips",75,7,2,7,48.8208,-122.7101,1,3716208.75,4.46775,0.34575,1.9225,0.652105553,0.86875,9.055022926,-3.501275531,5.312280117,4.768978741,5.795214673,-3.440908712,10.26235932,7.847686536,8.451354731,6.640350146,14.48803668,-2.233572322,4.286044185,13.88436849,-3.501275531,-3.561642351,-3.501275531,-3.501275531,21.73205502
Chimacum Creek delta,8,2,1,2,48.04906,-122.7724,3,2641573.75,2.193375,0.321,1.7775,0.395763299,0.90375,3.493971292,-3.119617225,3.182009569,-3.05722488,3.993110048,-3.05722488,5.864880383,-2.49569378,-3.868325359,-2.49569378,-3.868325359,-2.49569378,-3.868325359,8.111004785,-3.119617225,-3.805933014,-3.119617225,3.182009569,11.85454545
"Chuckanut, Clark's Point",74,3,1,3,48.68975,-122.50434,3,3006723.75,12.7025,0.338,2.2575,0.399657789,0.7275,6.311970075,-2.467406484,4.533142145,-2.467406484,5.393865337,-2.410024938,6.885785536,-2.008354115,4.188852868,-2.008354115,-3.098603491,-2.008354115,-3.098603491,12.05012469,-2.467406484,-3.098603491,-2.467406484,2.467406484,10.3286783
Comm Bay Skookum,45,7,5,7,47.29,-122.41,1,5919817,8.9185,0.3265,2.01,0.51176478,0.755,31.65488521,-5.671500267,17.14639616,17.80587293,19.12482648,-5.605552589,32.31436199,14.50848905,17.14639616,7.254244527,13.84901228,-3.627122264,-5.605552589,44.84442072,-5.671500267,-5.539604912,-5.671500267,-5.671500267,48.80128137
"Comm Bay, Dick Gilmur Launch",48,7,5,7,47.292549,-122.412175,1,3792068,41.29775,0.34475,2.46,0.34129115,0.8325,20.18290094,-4.622535377,11.06804245,18.22971698,13.02122642,-4.557429245,29.29775943,12.37016509,16.27653302,6.445507075,12.37016509,-3.190200472,5.33870283,33.85518868,-4.622535377,-4.687641509,-4.622535377,-4.622535377,57.29339623
"Comm Bay, Milwaukee Waterway",49,3,3,3,47.2694,-122.4243,5,7608741.8,6.3977,0.3564,2.086,0.609289399,0.821,12.78787062,-4.509407008,7.403504043,8.749595687,7.403504043,-4.442102426,19.51832884,13.46091644,11.44177898,6.730458221,10.76873315,-3.096010782,-4.307493261,23.55660377,-4.442102426,-4.240188679,-4.509407008,-4.509407008,30.28706199
Des Moines Marina,21,8,3,8,47.40301418,-122.3305538,1,4886367.5,9.63975,0.3215,1.885,0.394420032,0.995,673.7816674,165.3827729,483.897743,349.1414095,343.0161216,34.91414095,673.7816674,73.50345463,202.1345002,28.78885306,104.1298941,7.350345463,50.22736066,735.0345463,18.37586366,140.8816214,39.20184247,60.64035007,1653.827729
Discovery Bay,12,3,1,3,48.064957,-122.857524,2,4029897.5,8.739125,0.33925,2.16,0.326398882,0.79375,9.414152496,-1.553335162,7.060614372,2.588891936,7.060614372,-1.506264399,8.472737246,-1.223839824,3.906873286,-1.223839824,2.071113549,-1.223839824,-1.929901262,11.296983,-1.506264399,-1.929901262,-1.553335162,2.071113549,14.59193637
