latitude,longitude,site_name,p450,sod,ci1,ci2,ci3,shell,site_number,reporting_area,km4,km5,hc4,hc5,p16,p42,plmw,phmw,pcb,a80,a81,a82,a89,a90,a92,a93,a94,a96,a98,a99,a100,a102,a104,a105,a106,a108,a110,a111,a115,a116,a118,a120,a121,a122,a123,a124,a125,a127,a129,a130
48.6793778,-122.6300583,Aiston Preserve,4712860.25,3.440125,0.033,0.69325,0.0525,0.81125,77,7,2,4,4,4,1,1,1,1,1,-3.165599129,-3.165599129,-3.165599129,-2.252445534,-3.104722222,-3.104722222,-3.104722222,8.522766885,-3.104722222,-3.104722222,7.305228758,9.740305011,-3.104722222,-3.104722222,9.131535948,5.600675381,-3.104722222,3.530860566,6.026813725,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,-3.104722222,15.82799564,12.17538126,9.131535948,-3.104722222
47.50161,-122.38593,Arroyo Beach,4750942.667,6.83175,0.032,0.665833333,0.0525,0.87,13,11,4,2,1,1,3,3,3,4,3,-3.902163782,-3.902163782,-3.902163782,9.605326232,-3.842130493,3.902163782,-6.003328895,25.81431425,-3.842130493,4.742629827,10.20565912,40.2223036,-3.842130493,5.883262317,13.80765646,34.81930759,-3.842130493,9.004993342,30.61697736,-3.842130493,9.004993342,-3.842130493,-6.003328895,-6.003328895,5.042796272,7.203994674,4.082263648,8.404660453,30.61697736,42.02330226,-3.842130493
47.27568,-122.4173,Blair Waterway,4337758.5,6.51775,0.03425,0.71225,0.05875,0.83875,41,11,1,2,1,1,4,4,5,5,3,5.500718735,-2.91538093,6.050790609,12.65165309,3.905510302,5.115668424,-3.630474365,45.10589363,9.35122185,9.901293723,17.43727839,66.00862482,10.4513656,17.60229995,34.10445616,71.50934356,11.55150934,26.40344993,55.00718735,4.56559655,14.85194058,6.050790609,-3.630474365,-3.630474365,11.55150934,11.00143747,8.251078103,7.701006229,37.95495927,71.50934356,-2.91538093
47.2632444,-122.385731,Blair Waterway #2,4425866.25,10.796,0.03175,0.64725,0.052,0.8575,42,11,1,2,1,1,4,5,5,6,4,7.942354076,-4.94869754,5.315267728,28.10371442,-4.887602508,6.109503136,-4.887602508,45.2103232,13.4409069,17.71755909,18.32850941,103.8615533,18.93945972,40.93367101,34.82416787,128.2995658,15.88470815,32.99131693,85.5330439,-4.887602508,18.32850941,6.109503136,-4.887602508,-4.887602508,9.775205017,12.82995658,9.775205017,17.10660878,39.10082007,40.93367101,-4.887602508
47.68234,-122.5064,Brackenwood Ln,1773623.75,7.573125,0.0345,0.693,0.0525,0.67125,23,10,4,1,2,2,3,3,3,4,2,-3.598695381,-3.598695381,-3.598695381,7.079400749,-3.539700375,-3.539700375,-5.309550562,27.13770287,-3.539700375,4.719600499,10.02915106,38.34675406,-3.539700375,10.61910112,14.1588015,30.08745318,-3.539700375,9.439200999,23.00805243,-3.539700375,8.259300874,-3.539700375,-5.309550562,-5.309550562,5.014575531,7.669350811,4.011660424,8.259300874,37.16685393,34.80705368,-3.539700375
47.78184,-122.83474,Broad Spit (Fisherman's Point),2286051.5,7.116,0.03425,0.71025,0.052,0.66375,30,12,3,5,1,1,1,1,1,1,2,-4.420636516,-4.420636516,-4.420636516,-2.746152987,-4.353657175,-4.353657175,-5.82720268,10.04690117,-4.353657175,-4.353657175,8.037520938,12.72607482,-4.353657175,-4.353657175,9.377107761,5.626264657,-4.353657175,-4.353657175,7.367727527,-4.353657175,-4.353657175,-4.353657175,-5.82720268,-5.82720268,-4.353657175,-4.353657175,-4.353657175,36.83863763,16.74483529,15.40524846,-4.353657175
47.30515,-122.44441,Browns Point Lighthouse,8047751.75,2.3115,0.0365,0.6985,0.057,0.84875,54,11,1,2,1,1,3,4,4,4,3,4.212490272,-3.334888132,5.031585603,9.946157588,-3.276381323,-3.276381323,3.56891537,27.49820039,4.622037938,5.850680934,12.28642996,35.1040856,5.558146887,10.53122568,16.38190661,29.25340467,4.270997082,11.11629377,28.08326848,-3.276381323,8.190953307,4.3880107,-3.217874514,3.56891537,7.020817121,7.020817121,4.622037938,15.21177043,32.17874514,33.34888132,-3.276381323
48.520971,-122.600717,Cap Sante,4611059.25,18.5045,0.033,0.68525,0.0485,0.79,64,7,2,4,4,4,1,3,4,3,1,-4.774817518,-4.711153285,-4.774817518,7.639708029,-4.711153285,-4.711153285,-4.838481752,18.46262774,5.793445255,-4.711153285,8.912992701,37.56189781,14.00613139,8.276350365,12.73284672,50.93138686,14.00613139,10.82291971,36.92525547,-4.711153285,-4.711153285,-4.647489051,-4.838481752,-4.838481752,-4.711153285,5.093138686,-4.711153285,16.55270073,19.09927007,12.09620438,-4.711153285
47.1905742,-122.5834897,Chambers Bay Park,8752275,11.61675,0.03125,0.63375,0.047,1.05625,56,13,1,2,1,1,2,2,1,2,3,-2.713373083,-2.713373083,-2.713373083,3.893100511,-2.713373083,-2.713373083,2.949318569,12.38713799,-2.713373083,-2.713373083,5.839650767,17.69591141,-2.713373083,3.893100511,7.668228279,11.79727428,-2.713373083,-2.654386712,14.15672913,-2.713373083,3.893100511,-2.654386712,-2.654386712,2.949318569,-2.713373083,3.244250426,-2.713373083,14.15672913,15.33645656,23.00468484,-2.654386712
48.8208,-122.7101,"Cherry Point Aquatic Reserve, Conoco Phillips",3716200,3.864,0.0345,0.6565,0.0505,0.86875,75,7,2,4,4,4,3,3,3,4,2,-3.68237599,-3.62200917,-3.62200917,5.855581492,-3.62200917,-3.62200917,-3.501275531,19.92105044,-3.62200917,-3.62200917,9.055022926,25.35406419,-3.62200917,-3.62200917,14.48803668,19.92105044,-3.62200917,7.244018341,19.31738224,-3.62200917,-3.62200917,-3.561642351,-3.501275531,-3.501275531,-3.62200917,5.795214673,-3.62200917,21.12838683,33.20175073,15.09170488,-3.62200917
48.04906,-122.7724,Chimacum Creek delta,2641298.75,1.903875,0.03225,0.63525,0.052,0.90375,8,9,3,5,3,3,2,2,2,1,1,-3.868325359,-3.868325359,-3.868325359,-2.49569378,-3.868325359,-3.868325359,-4.554641148,13.10239234,-3.868325359,-3.868325359,8.111004785,22.46124402,-3.868325359,-3.868325359,11.23062201,12.4784689,-3.868325359,6.863157895,12.4784689,-3.868325359,-3.868325359,-3.805933014,-4.554641148,-4.554641148,-3.868325359,4.117894737,-3.868325359,6.863157895,18.71770335,21.21339713,-3.805933014
48.68975,-122.50434,"Chuckanut, Clark's Point",2740842.75,11.211,0.03375,0.69025,0.055,0.7275,74,7,2,4,4,4,2,2,2,2,1,-3.155985037,-3.098603491,-3.155985037,3.55765586,-3.098603491,-3.098603491,-3.844563591,14.34538653,-3.098603491,-3.098603491,8.60723192,20.65735661,-3.098603491,3.155985037,10.90249377,13.19775561,-3.098603491,6.885785536,24.10024938,-3.098603491,3.55765586,-3.098603491,-3.844563591,-3.844563591,-3.098603491,4.074089776,-3.098603491,7.459600998,22.37880299,51.64339152,-3.098603491
47.29,-122.41,Comm Bay Skookum,5760190,9.0745,0.0325,0.66725,0.053,0.755,45,11,1,2,1,1,5,5,5,5,5,7.913721303,-5.671500267,7.913721303,21.76273358,-5.605552589,6.001238655,-5.539604912,47.48232782,7.913721303,9.232674853,18.46534971,65.94767752,9.892151628,12.53005873,32.31436199,65.94767752,6.001238655,23.74116391,46.82285104,-5.605552589,12.53005873,7.254244527,-5.539604912,-5.539604912,8.573198078,10.5516284,7.913721303,23.74116391,57.37447944,49.46075814,-5.605552589
47.292549,-122.412175,"Comm Bay, Dick Gilmur Launch",3676585,14.00875,0.03475,0.70825,0.05225,0.8325,48,11,1,2,1,1,5,4,5,5,5,8.46379717,-4.752747642,9.765919811,16.27653302,-4.752747642,5.403808962,6.510613208,42.97004717,7.812735849,9.765919811,20.83396226,53.3870283,11.06804245,16.27653302,29.29775943,52.73596698,7.812735849,19.53183962,39.06367925,-4.752747642,9.765919811,8.46379717,-5.859551887,6.510613208,8.46379717,11.06804245,8.46379717,35.15731132,59.89764151,33.20412736,-4.752747642
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway",7394026.6,8.1685,0.0356,0.6736,0.0534,0.821,49,11,1,2,1,1,4,4,4,4,4,6.124716981,-4.307493261,4.913234501,14.80700809,-4.307493261,4.644016173,5.451671159,34.32533693,6.730458221,8.076549865,20.86442049,46.44016173,8.749595687,16.15309973,28.94097035,49.80539084,8.749595687,21.53746631,41.72884097,-4.307493261,10.09568733,5.990107817,-4.374797844,5.451671159,8.749595687,8.749595687,5.518975741,29.61401617,39.03665768,49.13234501,-4.307493261
47.40301418,-122.3305538,Des Moines Marina,8935555.25,8.79275,0.03225,0.653,0.049,0.995,21,11,4,2,1,1,5,5,5,6,4,257.2620912,5.083988945,287.8885306,202.1345002,85.7540304,104.1298941,61.25287886,918.7931829,91.87931829,98.00460617,179.4709351,673.7816674,67.37816674,110.2551819,336.8908337,361.3919853,34.30161216,196.0092123,140.8816214,59.41529249,67.37816674,367.5172731,26.33873791,34.91414095,140.8816214,263.3873791,208.2597881,27.56379549,1776.333487,39.81437126,24.50115154
48.064957,-122.857524,Discovery Bay,3982486.25,9.3325,0.03375,0.68325,0.059,0.79375,12,6,3,5,3,3,2,2,2,3,1,-1.976972024,-1.929901262,2.541821174,3.200811849,-1.929901262,-1.929901262,-2.118184312,17.41618212,-1.929901262,2.024042787,5.648491498,24.00608886,-1.929901262,2.400608886,7.531321997,16.47476687,-1.929901262,4.377580911,13.17981349,-1.929901262,6.119199122,2.212325837,-2.118184312,-2.118184312,2.918387274,5.177783873,2.306467361,2.730104224,33.89094899,24.47679649,-1.929901262
47.33775,-122.59014,Donkey Creek Delta,2884111.333,2.500625,0.03475,0.71175,0.052,0.73375,44,11,1,2,1,1,4,4,4,5,5,4.297871703,-3.438297362,4.562356115,13.22422062,-3.438297362,-3.438297362,4.099508393,23.80359712,-3.438297362,4.892961631,11.24058753,31.07691847,4.760719424,9.256954436,14.54664269,27.77086331,4.297871703,7.273321343,21.81996403,-3.438297362,5.620293765,4.099508393,-3.438297362,4.099508393,4.430113909,6.612110312,3.768902878,24.46480815,35.70539568,19.1751199,-3.438297362
47.61889,-122.5275,Eagle Harbor Dr,1846400.75,12.60975,0.04425,0.70175,0.058,0.8925,31,10,4,1,2,2,5,5,4,6,5,6.393396226,-4.331010347,6.874619598,28.18594035,-4.331010347,-4.331010347,4.468502739,40.56025563,8.249543518,8.249543518,11.68685332,48.12233719,10.99939136,14.43670116,17.186549,48.12233719,6.874619598,8.937005478,27.49847839,-4.331010347,8.937005478,6.805873402,-4.331010347,4.468502739,6.874619598,12.37431528,6.874619598,28.87340231,57.74680463,18.56147292,-4.262264151
48.69368,-122.90985,"Eastsound, Fishing Bay",3018580.5,7.731875,0.03225,0.68475,0.0495,0.465,60,7,2,4,4,4,4,4,4,5,1,-3.747281713,-3.747281713,4.573887974,9.919275124,-3.692174629,-3.692174629,-7.714991763,29.75782537,-3.692174629,-3.692174629,9.368204283,38.02388797,4.022817133,5.124958814,12.12355848,30.30889621,4.684102142,7.714991763,21.49176277,-3.692174629,7.163920923,3.802388797,-7.714991763,-7.163920923,4.463673806,9.368204283,4.133031301,12.12355848,60.61779242,22.59390445,-3.692174629
47.81407,-122.3825,Edmonds Ferry,8264243.75,0.206375,0.0385,0.703,0.057,0.69,69,9,4,1,2,2,4,4,4,5,3,-4.267771028,-4.267771028,6.43088785,9.354018692,-4.209308411,-4.209308411,-4.033920561,30.40056075,-4.209308411,4.793934579,11.1078972,39.16995327,-4.209308411,5.437023364,19.87728972,26.30817757,-4.209308411,12.27714953,32.15443925,-4.209308411,8.184766355,5.14471028,-4.033920561,-4.033920561,5.612411215,7.600140187,4.501621495,22.21579439,43.26233645,55.53948598,-4.209308411
47.8111,-122.388,Edmonds Marina,20688193,13.85375,0.034,0.69675,0.0515,0.765,68,9,4,1,2,2,5,4,4,5,3,4.27565651,-3.397096953,9.95700831,14.05695291,-3.397096953,4.158515235,-3.279955679,38.07091413,3.689950139,5.857063712,11.12842105,42.17085873,3.86566205,5.857063712,17.57119114,35.14238227,-3.397096953,9.95700831,24.59966759,-3.397096953,8.199889197,6.442770083,-3.279955679,-3.279955679,6.442770083,10.54271468,5.857063712,21.67113573,64.42770083,28.69961219,-3.338526316
47.074603,-123.003527,Eld Inlet,9802343.25,9.86125,0.034,0.7155,0.06225,0.7075,72,13,1,3,1,1,1,2,1,2,2,-2.252225352,-2.252225352,-2.252225352,2.949342723,-2.252225352,-2.252225352,-2.573971831,12.33361502,-2.252225352,2.466723005,6.971173709,18.23230047,-2.252225352,2.788469484,9.652394366,10.72488263,-2.252225352,5.898685446,10.72488263,-2.252225352,4.343577465,-2.198600939,-2.573971831,-2.573971831,2.842093897,3.91458216,-2.252225352,3.700084507,12.86985915,18.7685446,-2.252225352
47.61862,-122.36108,Elliot Bay Myrtle Edwards,2435519.6,11.726,0.035,0.6948,0.0582,0.824,19,10,4,1,2,2,5,5,5,6,5,54.35289766,-5.099778052,80.52281134,328.8014797,43.61652281,35.56424168,20.80172626,624.0517879,59.72108508,53.68187423,39.59038224,570.3699137,51.66880395,80.52281134,80.52281134,342.2219482,30.86707768,66.43131936,154.3353884,14.09149199,67.10234279,66.43131936,7.381257707,13.42046856,87.23304562,181.1763255,127.4944513,32.88014797,657.6029593,53.0108508,5.435289766
47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",9192957.75,5.5,0.03425,0.65325,0.0465,0.85625,14,10,4,1,2,2,5,5,5,6,5,24.5343218,-3.594563427,51.3509061,85.58484349,10.27018122,13.12300934,6.276221856,154.0527183,16.54640308,18.82866557,18.60043932,176.8753432,19.39923119,31.38110928,37.08676551,148.3470621,16.54640308,26.81658429,91.29049973,5.363316859,29.09884679,29.66941241,-5.705656233,6.276221856,25.10488742,42.22185612,32.52224053,11.98187809,199.6979681,51.92147172,-3.594563427
47.9726,-122.22977,Everett Harbor,5813892.75,2.31775,0.0345,0.65825,0.04925,0.77625,66,8.2,4,1,2,2,3,3,3,4,3,-5.126211778,-5.126211778,-5.126211778,6.657417894,-5.126211778,-5.126211778,-4.926489241,25.298188,-5.126211778,-5.126211778,8.654643262,31.95560589,-5.126211778,-5.126211778,16.64354473,25.96392978,-5.126211778,7.988901472,21.30373726,-5.126211778,-5.126211778,-5.059637599,-4.926489241,-4.859915062,-5.126211778,7.323159683,-5.126211778,24.63244621,41.94173273,31.95560589,-5.059637599
48.482448,-122.583879,"Fidalgo Bay Aq Reserve, Weaverling Spit",3204999,11.87725,0.03725,0.712,0.05525,0.7625,63,7,2,4,4,4,3,4,5,5,1,-6.168864898,-6.105268353,-6.168864898,13.99123998,-6.105268353,-6.105268353,-6.168864898,33.70616903,13.35527452,8.267550895,13.35527452,63.59654534,29.25441086,17.17106724,21.62282542,76.31585441,21.62282542,18.44299815,54.69302899,-6.105268353,7.631585441,-6.041671808,-6.168864898,-6.105268353,-6.105268353,9.539481801,-6.105268353,29.25441086,36.8859963,13.99123998,-6.105268353
47.19483,-122.748665,Filucy Bay,10877772,5.009,0.037,0.6525,0.04575,0.85625,59,13,1,3,1,1,1,1,1,1,4,-3.439936238,-3.380626993,-3.439936238,3.439936238,-3.380626993,-3.380626993,-3.321317747,11.8618491,-3.380626993,-3.380626993,6.524017003,15.42040383,-3.380626993,-3.380626993,7.710201913,9.489479277,-3.380626993,-3.380626993,9.489479277,-3.380626993,-3.380626993,-3.380626993,-3.321317747,-3.321317747,-3.380626993,3.439936238,-3.380626993,13.64112646,17.19968119,16.01349628,-3.380626993
48.5069444,-123.0194444,Friday Harbor,5444136.6,6.7096,0.0328,0.6726,0.0458,0.75,61,7,2,4,4,4,5,4,3,5,1,3.509511323,-2.882812872,6.20431466,7.520381406,-2.882812872,-2.882812872,-2.945482718,32.58831943,-2.882812872,3.196162098,9.400476758,35.09511323,-2.882812872,3.760190703,11.90727056,22.56114422,-2.882812872,6.893682956,13.78736591,-2.882812872,6.893682956,3.509511323,-2.945482718,-2.945482718,5.32693683,10.65387366,5.57761621,3.697520858,52.64266985,17.54755662,-2.882812872
47.33785,-122.58277,Gig Harbor Boat Launch,3843185.75,14.972,0.03025,0.62675,0.05225,0.965,58,11,1,2,1,1,4,4,3,5,4,-3.87863963,-3.87863963,-3.87863963,9.850513347,-3.87863963,-3.87863963,-3.755508214,22.77931211,-3.87863963,4.063336756,-3.87863963,27.70456879,-3.87863963,7.38788501,13.54445585,22.77931211,-3.87863963,4.432731006,16.00708419,-3.87863963,5.171519507,3.87863963,-3.755508214,-3.755508214,4.309599589,7.38788501,-3.87863963,16.00708419,32.62982546,16.00708419,-3.817073922
47.5706,-122.9717,Hood Canal Holly,788015,1.640416667,0.034333333,0.689833333,0.054833333,0.676666667,29,12,3,3,1,1,1,1,2,1,1,-3.824516129,-3.824516129,-3.824516129,-2.868387097,-3.824516129,-3.824516129,-3.756221198,6.488018433,-3.824516129,-3.824516129,14.34193548,4.575760369,-3.824516129,-3.824516129,8.878341014,-3.824516129,-3.824516129,4.985529954,4.6440553,30.73271889,-3.824516129,-3.756221198,-3.756221198,-3.756221198,-3.824516129,-3.824516129,-3.824516129,19.80552995,12.97603687,9.561290323,-3.824516129
48.024789,-122.998135,Jamestown,3175079,7.752666667,0.033833333,0.7035,0.054833333,0.573333333,2,6,3,5,3,3,1,1,1,1,2,-4.640187402,-4.573899011,-4.640187402,-3.446996356,-4.573899011,-4.573899011,-4.573899011,9.280374805,-4.573899011,-4.573899011,8.61749089,14.58344612,-4.573899011,-4.573899011,9.280374805,6.36368558,-4.573899011,7.291723061,5.4356481,-4.573899011,-4.573899011,-4.573899011,-4.573899011,-4.573899011,-4.573899011,-4.573899011,-4.573899011,30.49266007,15.90921395,9.943258719,-4.573899011
47.794695,-122.499858,Kingston Marina,5460804.75,4.371,0.03125,0.63675,0.04825,0.81125,36,10,4,1,2,2,3,2,2,3,3,-3.445138381,-3.445138381,-3.445138381,5.590224543,-3.38013577,-3.38013577,3.38013577,16.90067885,-3.38013577,3.510140992,9.100365535,21.45086162,-3.38013577,4.095164491,11.05044386,16.25065274,-3.38013577,5.070203655,11.70046997,-3.38013577,3.510140992,-3.38013577,-3.38013577,3.38013577,17.55070496,5.590224543,-3.38013577,23.40093995,25.35101828,15.60062663,-3.38013577
47.54167,-122.64034,Kitsap St Boat Launch,2852984.25,10.748,0.033,0.71075,0.05175,0.8325,25,10,4,1,2,2,4,4,5,5,5,4.046283648,-2.680662917,5.563640016,15.17356368,2.781820008,5.05785456,-3.388762555,39.95705102,5.563640016,12.13885094,10.62149458,70.80996384,6.575210928,23.77191643,22.76034552,75.8678184,5.563640016,21.24298915,50.07276014,3.034712736,13.65620731,5.563640016,-3.388762555,-3.388762555,7.58678184,11.12728003,7.080996384,7.080996384,37.9339092,29.8413419,-2.630084371
47.30973,-122.68868,Kopachuck State Park,7013734.75,4.72575,0.4115,0.6895,0.63125,0.7775,52,13,1,3,1,1,1,1,1,1,2,-3.238741659,-3.171267874,-3.171267874,3.10379409,-3.171267874,-3.171267874,-3.10379409,11.47054337,-3.171267874,-3.171267874,6.07264061,16.19370829,-3.171267874,-3.171267874,7.422116301,8.771591992,-3.171267874,-3.171267874,8.771591992,-3.171267874,3.373689228,-3.171267874,-3.10379409,-3.10379409,-3.171267874,3.441163012,-3.171267874,15.51897045,14.16949476,14.16949476,-3.171267874
47.5833538,-122.6414587,Lions Park,6373166.5,10.424,0.0275,0.678,0.05375,0.75,37,10,4,1,2,2,2,2,2,3,5,-4.541341463,-4.541341463,-4.541341463,7.239819724,-4.47552492,-4.47552492,-4.47552492,19.08679745,-4.47552492,-4.47552492,9.214316013,27.64294804,-4.47552492,-4.47552492,13.16330859,25.66845175,-4.47552492,5.660222694,18.42863203,-4.47552492,5.528589608,-4.47552492,-4.47552492,-4.47552492,-4.47552492,5.396956522,-4.47552492,19.08679745,22.3776246,17.11230117,-4.47552492
48.77636877,-122.5378679,Locust Beach,2368800.25,6.15025,0.03275,0.731,0.047,0.6875,76,7,2,4,4,4,1,1,2,1,1,-4.352148715,-4.352148715,-4.352148715,-3.200109349,-4.352148715,-4.352148715,-4.416150902,12.8004374,-4.352148715,-4.352148715,10.24034992,17.28059049,-4.352148715,-4.352148715,12.16041553,8.960306178,-4.352148715,5.440185894,17.92061236,-4.352148715,-4.352148715,-4.288146528,-4.416150902,-4.352148715,-4.352148715,-4.352148715,-4.352148715,17.92061236,18.56063423,35.20120284,-4.288146528
47.57995505,-122.6786,Madrona Pont,7017559.75,4.52025,0.032,0.66025,0.0455,0.805,28,10,4,1,2,2,2,2,2,3,4,-3.615902141,-3.555637105,-3.555637105,6.629153925,-3.555637105,-3.555637105,-3.555637105,16.87420999,-3.555637105,-3.555637105,7.834454638,24.10601427,-3.555637105,-3.555637105,11.45035678,21.69541284,-3.555637105,4.88146789,15.06625892,-3.555637105,5.001997961,-3.555637105,-3.555637105,-3.495372069,-3.555637105,4.941732926,-3.555637105,16.27155963,19.28481142,15.66890928,-3.555637105
47.55622,-122.54281,"Manchester, Stormwater Outfall",7715455.75,3.407625,0.03425,0.73075,0.062,0.60625,33,10,4,1,2,2,3,3,3,4,3,-3.967859022,-3.967859022,4.788795371,8.209363493,-3.899447659,-3.899447659,4.104681746,23.25986323,-3.899447659,4.241504471,10.26170437,29.41688585,-3.899447659,5.130852183,13.68227249,22.57574961,-3.899447659,6.635902157,15.05049974,-3.899447659,5.541320358,-3.899447659,-4.036270384,4.104681746,4.446738559,6.772724882,-3.899447659,26.68043135,32.15334035,19.83929511,-3.899447659
47.30008,-122.74566,Maple Hollow Park,13508380.33,4.6215,0.0365,0.71025,0.05425,0.775,51,13,1,3,1,1,2,2,2,2,3,-3.337037037,-3.271604938,-3.271604938,3.795061728,-3.271604938,-3.271604938,3.598765432,13.08641975,-3.271604938,-3.271604938,7.197530864,17.66666667,-3.271604938,-3.271604938,8.50617284,9.814814815,-3.271604938,3.402469136,12.43209877,-3.271604938,3.991358025,-3.271604938,-3.271604938,3.598765432,-3.271604938,3.664197531,-3.271604938,17.01234568,17.01234568,21.59259259,-3.271604938
48.018127,-122.699524,Maristone Island,4711148.333,5.722,0.033666667,0.7255,0.055666667,0.699166667,11,9,3,5,3,3,1,1,2,1,2,-4.79775659,-4.79775659,-4.79775659,-3.598317443,-4.727201346,-4.727201346,-4.727201346,10.5832866,-4.727201346,-4.727201346,9.877734156,13.40549635,-4.727201346,-4.727201346,10.5832866,7.761076837,-4.727201346,7.055524397,5.926640494,-4.727201346,-4.727201346,-4.727201346,-4.727201346,-4.727201346,-4.727201346,-4.727201346,-4.727201346,28.92765003,17.63881099,9.877734156,-4.727201346
47.11795,-122.83359,Meyer's Point - Henderson Inlet,2252669.75,15.21175,0.036,0.7025,0.05625,0.78875,71,13,1,3,1,1,1,2,2,1,4,-5.724720149,-5.724720149,-5.724720149,-3.940391791,-5.650373134,-5.650373134,-6.170802239,15.61287313,-5.650373134,-5.650373134,11.89552239,19.33022388,-5.650373134,-5.650373134,12.63899254,10.40858209,-5.650373134,7.434701493,8.921641791,-5.650373134,-5.650373134,-5.650373134,-6.170802239,-6.170802239,-5.650373134,-5.650373134,-5.650373134,40.89085821,19.33022388,15.61287313,-5.650373134
47.4436,-122.360316,Miller Creek,15899206.5,4.015375,0.0345,0.6955,0.05575,0.82125,20,11,4,2,1,1,2,2,3,3,4,-3.622186827,-3.622186827,-3.622186827,6.990185105,-3.55863969,-3.55863969,3.685733965,19.0641412,-3.55863969,3.812828239,8.896599225,27.32526905,-3.55863969,4.829582437,11.43848472,20.33508394,-3.55863969,3.939922514,19.0641412,-3.55863969,6.354713732,-3.55863969,-3.55863969,3.685733965,3.939922514,5.337959535,-3.55863969,17.15772708,27.96074042,27.96074042,-3.55863969
47.3539722,-122.69175,Minter Bay,8029787,5.00975,0.03675,0.6505,0.051,0.9175,55,13,1,3,1,1,2,1,1,2,2,-3.750076531,-3.684285714,-3.684285714,3.618494898,-3.684285714,-3.684285714,-3.618494898,12.5002551,-3.684285714,-3.684285714,6.4475,15.78979592,-3.684285714,-3.684285714,7.894897959,8.552806122,-3.684285714,-3.684285714,9.868622449,-3.684285714,-3.684285714,-3.684285714,-3.618494898,-3.618494898,-3.684285714,3.881658163,-3.684285714,16.44770408,18.42142857,16.44770408,-3.684285714
47.94968,-122.30158,Mukilteo,8713508,7.6065,0.03275,0.699,0.05075,0.79125,65,8.2,4,1,2,2,4,4,4,4,2,-4.401976325,-4.337241379,7.768193515,8.415542975,-4.337241379,4.401976325,-4.143036541,30.4254246,-4.337241379,4.725651055,11.00494081,33.6621719,-4.337241379,4.596181163,18.12578487,26.54132784,-4.337241379,10.35759135,21.36253217,-4.337241379,6.214554812,4.919855893,-4.143036541,-4.143036541,4.984590839,7.768193515,-4.337241379,23.95193001,42.72506433,34.30952136,-4.272506433
