"site_name","reporting_area","latitude.x","longitude.x","p450","sod","shell","ci1","ci2","ci3","ibr1bio","ibr1morph","ibr1overall","n_samples","latitude.y","longitude.y","mercury ","arsenic","cadmium","copper","lead","zinc"
"Aiston Preserve","7",48.6793778,-122.6300583,2.182269139,-1.227594073,4.5392398785,-0.22866104425,-0.5659164585,-0.86172748425,0.477337533,-1.21256841725,-0.36761544225,4,48.6793778,-122.6300583,0.033053892,7.245508982,1.652694611,4.94011976,0.177245509,77.24550898
"Arroyo Beach","11",47.50161,-122.38593,2.21658141483333,-0.772705445166667,5.84011959933333,-0.899297797666667,-2.04358721083333,-0.8617274845,0.721937984833333,0.426853762833333,0.574395873666667,6,47.50159,-122.38577,0.036,9.647058824,1.952941176,5.623529412,0.242352941,104.1176471
"Blair Waterway","11",47.27568,-122.4173,1.84430227825,-0.814819485,5.14816230125,0.4389064335,0.458122847,0.215431871,0.5147413965,0.1432794515,0.32901042425,4,47.2758,-122.4174,0.032057143,8.114285714,1.622857143,5.828571429,0.255428571,98.85714286
"Blair Waterway Two","11",47.2632444,-122.385731,1.923687404,-0.241015697,5.56333668,-0.85172402325,-3.0451695145,-0.947900233,0.8413358535,-1.54403945125,-0.35135179875,4,47.2632,-122.3856,-0.0236,8.373493976,1.704819277,8.13253012,0.184939759,85.54216867
"Brackenwood Lane","10",47.68234,-122.5064,-0.46598438925,-0.67327138125,1.43927118075,0.7243490795,-0.57939065975,-0.8617274845,-0.56962788525,0.6318883285,0.0311302215,4,47.68203,-122.50668,0.037455621,8.698224852,1.857988166,6.213017751,0.220118343,90.53254438
"Broad Spit","12",47.78184,-122.83474,-0.00428673525000001,-0.73458150975,1.273201429,0.47880701825,0.35032923625,-0.947900233,-0.36943412225,-1.05764763975,-0.71354088125,4,47.80934,-122.81556,-0.0257,7.712418301,2.058823529,5.058823529,0.069934641,67.97385621
"Browns Point Lighthouse","11",47.30515,-122.44441,5.18700801525,-1.37896654975,5.3695886365,1.89834705725,-0.28295822925,-0.0861727485,1.90402073275,0.25884719625,1.08143396475,4,47.304906,-122.44427,0.032954545,8.465909091,1.710227273,6.931818182,0.260795455,90.34090909
"Cap Sante","7",48.520971,-122.600717,2.090546388,0.792857147,4.068708915,-0.214849303,-0.99709090275,-1.55110947175,1.44170176775,-2.369090931,-0.46369458175,4,48.52093,-122.600725,0.029634146,7.743902439,1.902439024,5.298780488,0.179878049,81.09756098
"Chambers Bay Park","13",47.1905742,-122.5834897,5.82178381025,-0.1309357675,9.9641850985,-1.40572829825,-3.77277638925,-1.8096277175,2.845424021,-0.0490638922500001,1.3981800645,4,47.2009,-122.58342,0.029244186,8.081395349,1.790697674,5.372093023,0.229069767,83.72093023
"Cherry Point Aquatic Reserve, Conoco Phillips","7",48.8208,-122.7101,1.284277765,-1.1707434725,5.81244130725,0.6982602355,-2.54662406275,-1.20641847825,0.05676714625,-1.1368510765,-0.54004196525,4,48.820783,-122.710133,0.033045977,7.931034483,1.902298851,5.304597701,0.192528736,73.56321839
"Chimacum Creek delta","9",48.04906,-122.7724,0.3157912115,-1.4336376815,6.58743348175,-0.82103126575,-3.69193118125,-0.94790023275,-0.55892323525,0.25870100575,-0.1501111145,4,48.04887,-122.7711,0.032647059,8.352941176,1.835294118,30.47058824,0.291764706,94.70588235
"Chuckanut, Clark's Point","7",48.68975,-122.50434,0.405480404,-0.18535542225,2.68479431825,0.22098785475,-0.727606875,-0.43086374225,0.110062491,-0.5391755365,-0.21455652275,4,48.691084,-122.504012,0.035138122,7.513812155,1.602209945,9.889502762,0.238121547,87.29281768
"Commencement Bay Skookum","11",47.29,-122.41,3.237778149,-0.471905248,3.293716741,-0.48187629425,-1.96723340325,-0.775554736,1.38293645025,-1.68017783525,-0.14862069225,4,47.28915,-122.4096,0.033961039,8.441558442,1.974025974,6.688311688,0.292857143,92.20779221
"Commencement Bay, Dick Gilmur Launch","11",47.292549,-122.412175,1.22815759775,0.189882011,5.00977084125,0.64915182325,0.242535625,-0.90481385875,0.709019804,0.4378539975,0.57343690075,4,47.2925,-122.4122,0.032831325,7.34939759,1.608433735,5.873493976,0.271686747,75.90361446
"Commencement Bay, Milwaukee Waterway","11",47.2694,-122.4243,4.598001335,-0.593419005,4.7551305552,1.3517090448,-1.6249886876,-0.7066165372,2.002291165,-1.3767805744,0.3127552952,5,47.2694,-122.4243,0.035512821,8.141025641,1.692307692,10.64102564,0.249358974,78.84615385
"Des Moines Marina","11",47.40301418,-122.3305538,5.9869194045,-0.5096938805,8.6079487945,-0.7980116975,-2.73526288225,-1.46493672375,2.7386127625,0.0888984935,1.41375562775,4,47.402778,-122.331667,0.040853659,8.536585366,1.969512195,6.463414634,0.278658537,93.90243902
"Discovery Bay","6",48.064957,-122.857524,1.5242018065,-0.4373019925,4.151743791,0.293115835,-1.104884514,0.25851824525,0.54344990725,0.50806846125,0.52575918425,4,48.064974,-122.857218,0.032568306,8.524590164,1.928961749,5.628415301,0.209836066,92.34972678
"Donkey Creek Delta","11",47.33775,-122.59014,1.3868377495,-1.3536008885,2.823185778,0.6706367535,0.4311744445,-0.94790023275,0.01661843075,-0.417600907,-0.20049123825,4,47.337909,-122.59023,0.030240964,8.915662651,1.93373494,7.34939759,0.885542169,92.77108434
"Eagle Harbor Dr","10",47.61889,-122.5275,-0.40041227625,0.00224652925000002,6.3383288545,6.69102115575,-0.10779361125,0.0861727485,-0.1990828735,-1.37183591325,-0.7854593935,4,47.618875,-122.527234,0.04597561,8.536585366,1.932926829,8.475609756,0.62804878,79.26829268
