site_name,p16,p42,phmw,plmw,pcb
Aiston Preserve,1,1,1,1,1
Arroyo Beach,3,3,4,3,3
Blair Waterway,4,4,5,5,3
Blair Waterway #2,4,5,6,5,4
Brackenwood Ln,3,3,4,3,2
Broad Spit,1,1,1,1,2
Browns Point Lighthouse,3,4,4,4,3
Cap Sante,1,3,3,4,1
Chambers Bay Park,2,2,2,1,3
"Cherry Point Aquatic Reserve, Conoco Phillips",3,3,4,3,2
Chimacum Creek delta,2,2,1,2,1
"Chuckanut, Clark's Point",2,2,2,2,1
Comm Bay Skookum,5,5,5,5,5
"Comm Bay, Dick Gilmur Launch",5,4,5,5,5
"Comm Bay, Milwaukee Waterway",4,4,4,4,4
Des Moines Marina,5,5,6,5,4
Discovery Bay,2,2,3,2,1
Donkey Creek Delta,4,4,5,4,5
Eagle Harbor Dr,5,5,6,4,5
"Eastsound, Fishing Bay",4,4,5,4,1
Edmonds Ferry,4,4,5,4,3
Edmonds Marina,5,4,5,4,3
Eld Inlet,1,2,2,1,2
Elliot Bay Myrtle Edwards,5,5,6,5,5
"Elliott Bay, Harbor Island, Pier 17",5,5,6,5,5
Everett Harbor,3,3,4,3,3
"Fidalgo Bay Aq Reserve, Weaverling Spit",3,4,5,5,1
Filucy Bay,1,1,1,1,4
Friday Harbor,5,4,5,3,1
Gig Harbor Boat Launch,4,4,5,3,4
Hood Canal Holly,1,1,1,2,1
Jamestown,1,1,1,1,2
Kingston Marina,3,2,3,2,3
Kitsap St Boat Launch,4,4,5,5,5
Kopachuck State Park,1,1,1,1,2
Lions Park,2,2,3,2,5
Locust Beach,1,1,1,2,1
Madrona Pont,2,2,3,2,4
"Manchester, Stormwater Outfall",3,3,4,3,3
Maple Hollow Park,2,2,2,2,3
Maristone Island,1,1,1,2,2
Meyer's Point - Henderson Inlet,1,2,1,2,4
Miller Creek,2,2,3,3,4
Minter Bay,2,1,2,1,2
Mukilteo,4,4,4,4,2
N Avenue Park,5,5,6,5,2
North Camano,1,1,1,1,1
Oak Bay County Park,1,1,1,1,2
Penn Cove Reference,1,1,1,2,2
Pennrose Point State Park,2,2,2,2,4
Point Defiance Ferry,5,4,5,4,4
Port Angeles Yacht Club,5,5,6,5,5
Purdy - Dexters,2,1,1,1,2
"Purdy, Burley Lagoon",2,2,2,2,4
Raft Island Park,2,1,2,1,2
Reach Island,2,2,2,2,1
Rich Passage,3,3,3,3,4
Rocky Point,3,3,3,3,5
S of Skunk Island,3,2,3,2,1
"Salmon Bay, Commodore Park",5,5,6,5,5
Salmon Beach,4,4,5,3,3
"Seattle Aquarium, Pier 59",5,5,6,5,5
Shilshole Bay,5,5,6,5,5
"Silverdale, Dyes Inlet",3,3,4,3,5
Skiff Point,4,4,4,4,1
"Smith Cove, Terminal 91",5,5,6,5,5
Squaxin Island,2,2,2,1,2
Suquamish Stormwater Outfall,4,4,4,4,4
Thea Foss Waterway,5,5,6,5,5
Three Tree Point,3,3,3,3,3
Tulalip Bay,4,3,4,3,2
Tulalip Reservation,3,2,3,2,1
West Bay Park,3,3,4,3,4
Williams Olson Park,3,2,4,2,3
