"site_number","latitude","longitude","site_name","p450","sod","shell","ci1","ci2","ci3","iweight","fweight","cweight","length","width","height"
1,48.12823,-123.45715,"Port Angeles Yacht Club",5668182.16666667,7.99825,0.800833333333333,34.2283333333333,0.688666666666667,0.0591666666666667,14.8596666666667,4.61166666666667,10.2483333333333,55.43,25.1316666666667,21.2683333333333
2,48.024789,-122.998135,"Jamestown",3175079,7.75266666666667,0.573333333333333,33.8616666666667,0.7035,0.0548333333333333,13.9463333333333,4.11183333333333,9.8345,56.4216666666667,26.1683333333333,19.6516666666667
3,48.21423,-122.718972,"Penn Cove Reference",2290809.25,12.593,0.60625,33.44,0.70375,0.0575,16.155,4.78125,11.37375,58.3025,27.67,21.1125
7,48.255358,-122.507014,"North Camano",12423809,0.75175,0.7675,32.4425,0.70175,0.05225,15.03,4.48425,10.5455,58.52,26.99,20.465
8,48.04906,-122.7724,"Chimacum Creek delta",2641298.75,1.903875,0.90375,32.1025,0.63525,0.052,14.7475,5.32625,9.42125,56.24,24.945,20.675
9,48.02667,-122.75076,"South of Skunk Island",4437927.25,10.11125,0.78625,33.92,0.71075,0.0585,13.1975,3.84125,9.35625,54.215,25.4675,19.88
10,48.02218,-122.728709,"Oak Bay County Park",2335225.75,11.8395,0.77375,34.77,0.6845,0.056,14.24175,4.45275,9.78925,55.8125,25.7325,19.4525
11,48.018127,-122.699524,"Maristone Island",4711148.33333333,5.722,0.699166666666667,33.6533333333333,0.7255,0.0556666666666667,15.0641666666667,4.05666666666667,11.0075,57.905,27.2383333333333,20.3616666666667
12,48.064957,-122.857524,"Discovery Bay",3982486.25,9.3325,0.79375,33.9175,0.68325,0.059,16.212,5.12825,11.08375,57.3975,27.7575,20.535
13,47.50161,-122.38593,"Arroyo Beach",4750942.66666667,6.83175,0.87,31.975,0.665833333333333,0.0525,15.2695,5.08083333333333,10.1888333333333,57.8966666666667,26.7016666666667,20.445
14,47.58766,-122.35065,"Elliott Bay, Harbor Island, Pier 17",9192957.75,5.5,0.85625,34.215,0.65325,0.0465,14.71475,5.12425,9.5905,58.9075,24.76,19.14
15,47.63237,-122.37869,"Smith Cove, Terminal 91",3958466.25,7.5955,0.74,35.735,0.701,0.06275,14.108,4.1895,9.9185,54,25.99,19.505
16,47.6663,-122.4018,"Salmon Bay, Commodore Park",4444677.5,3.79425,0.7075,34.4,0.71825,0.05725,15.517,4.369,11.148,58.0075,27.2175,20.5325
17,47.607,-122.342,"Seattle Aquarium, Pier 59",3037049.5,15.6175,0.8425,36.3475,0.704,0.05075,14.80475,4.3795,10.42525,58.83,25.86,18.6975
18,47.671678,-122.406663,"Shilshole Bay",2710238.75,9.90675,0.55625,32.2925,0.7285,0.053,11.07575,2.97825,8.0975,53.335,24.8375,18.945
19,47.61862,-122.36108,"Elliot Bay Myrtle Edwards",2435519.6,11.726,0.824,35.04,0.6948,0.0582,15.449,4.707,10.7418,56.626,25.88,20.654
20,47.4436,-122.360316,"Miller Creek",15899206.5,4.015375,0.82125,34.2125,0.6955,0.05575,15.95475,4.8905,11.064,58.395,26.4025,20.99
21,47.40301418,-122.3305538,"Des Moines Marina",8935555.25,8.79275,0.995,32.14,0.653,0.049,14.1205,4.893,9.2275,57.33,26.3575,19.0075
22,47.44896,-122.372267,"Three Tree Point",7868514.75,7.91575,0.8125,34.825,0.7265,0.0605,16.89325,4.6325,12.26075,58.755,27.555,21.7175
23,47.68234,-122.5064,"Brackenwood Lane",1773623.75,7.573125,0.67125,34.62,0.693,0.0525,17.169,5.2735,11.896,60.8175,27.755,20.325
24,47.66142,-122.49884,"Skiff Point",5612257.75,4.779,0.55875,33.5975,0.70725,0.053,14.322,4.1635,10.1585,57.525,25.6625,20.3975
25,47.54167,-122.64034,"Kitsap St Boat Launch",2852984.25,10.748,0.8325,32.885,0.71075,0.05175,15.1685,4.4065,10.762,60.055,27.9575,20.58
26,47.66586,-122.56698,"Williams Olson Park",3067078.5,6.457625,0.67125,33.9625,0.6875,0.05125,13.20775,4.05225,9.1555,55.9775,25.3225,18.695
27,47.60255,-122.66992,"Rocky Point",9469801.25,9.8955,0.68875,33.8525,0.71425,0.0615,13.43925,3.8445,9.5945,53.75,25.705,20.4975
28,47.57995505,-122.6786,"Madrona Pont",7017559.75,4.52025,0.805,32.025,0.66025,0.0455,13.83075,4.66325,9.1675,57.9625,24.6525,19.52
29,47.5706,-122.9717,"Hood Canal Holly",1596840.16666667,1.64041666666667,0.676666666666667,34.305,0.689833333333333,0.0548333333333333,16.2668333333333,5.04083333333333,11.226,59,26.7566666666667,20.7266666666667
30,47.78184,-122.83474,"Broad Spit ",2286051.5,7.116,0.66375,34.22,0.71025,0.052,14.126,4.09975,10.02675,57.7875,25.875,19.4275
31,47.61889,-122.5275,"Eagle Harbor Dr",1846400.75,12.60975,0.8925,44.34,0.70175,0.058,13.76675,4.08625,9.68075,54.8775,23.6625,16.735
32,47.578117,-122.524833,"Rich Passage",5061124.75,2.31975,0.81,34.6525,0.71225,0.0535,12.95775,3.71625,9.24175,55.49,25.1825,18.99
33,47.55622,-122.54281,"Manchester, Stormwater Outfall",7715455.75,3.407625,0.60625,34.17,0.73075,0.062,15.4415,4.16275,11.27875,56.62,27.255,21.35
34,47.7296079,-122.5506191,"Suquamish Stormwater Outfall",3575218.5,5.81925,1.02125,28.27,0.665,0.0595,15.04725,5.059,9.98825,55.36,29.27,23.285
35,47.6427936,-122.6967068,"Silverdale, Dyes Inlet",1419996,28.254,0.6875,34.43,0.698,0.05875,14.88375,4.50425,10.3795,56.0325,26.975,19.865
36,47.794695,-122.499858,"Kingston Marina",5460804.75,4.371,0.81125,31.25,0.63675,0.04825,15.20425,5.48725,9.717,58.5325,25.615,20.73
37,47.5833538,-122.6414587,"Lions Park",6373166.5,10.424,0.75,27.645,0.678,0.05375,11.463,3.661,7.80225,52.5125,25.035,21.89
38,47.17650485,-122.9046464,"Squaxin Island",6185908.75,6.574125,0.85625,34.795,0.68175,0.055,14.472,4.6345,9.8375,56.3825,25.2,20.0175
39,47.346537,-122.82236,"Reach Island",5721095,4.58375,0.77,32.295,0.6665,0.054,14.13325,4.6505,9.48275,55.62,25.4925,20.34
40,47.29464,-122.53053,"Salmon Beach",2076089.5,7.299625,0.86375,33.51,0.684,0.054,12.862,4.06175,8.8005,54.6075,24.61,19.4375
41,47.27568,-122.4173,"Blair Waterway",4337758.5,6.51775,0.83875,34.155,0.71225,0.05875,15.229,4.39625,10.83275,56.86,27.1425,20.64
42,47.2632444,-122.385731,"Blair Waterway Two",4425866.25,10.796,0.8575,32.0525,0.64725,0.052,12.00375,4.24025,7.7635,53.025,23.7575,19.185
43,47.3062,-122.5145,"Point Defiance Ferry",2116286.75,6.454,0.83875,36.8175,0.71425,0.05475,13.99725,3.993,10.00425,56.78,25.5425,18.76
44,47.33775,-122.59014,"Donkey Creek Delta",3830029,2.500625,0.73375,34.5325,0.71175,0.052,14.9235,4.3075,10.61625,58.8675,27.055,19.38
45,47.29,-122.41,"Commencement Bay Skookum",5884345.75,9.0745,0.755,32.655,0.66725,0.053,12.44525,4.14275,8.3025,54.015,24.865,18.9175
46,47.259189,-122.434689,"Thea Foss Waterway",9969514.6,11.7874,0.897,29.332,0.6148,0.0448,13.194,4.6976,8.497,57.874,26.258,19.884
47,47.386977,-122.6367089,"Purdy, Burley Lagoon",3937235,10.05025,0.915,32.9,0.69325,0.053,16.55525,5.1365,11.41875,59.435,27.2175,20.9775
48,47.292549,-122.412175,"Commencement Bay, Dick Gilmur Launch",3653913.5,14.00875,0.8325,34.4975,0.70825,0.05225,15.7915,4.599,11.19275,59.73,26.545,20.3275
49,47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",7394026.6,8.1685,0.821,35.642,0.6736,0.0534,13.0952,4.2566,8.8386,54.804,24.774,18.138
50,47.2619,-122.7376,"Penrose Point State Park",7562838.75,4.423,0.8575,26.3225,0.6765,0.06475,14.34575,4.6345,9.71125,54.695,30.18,23.3125
51,47.30008,-122.74566,"Maple Hollow Park",12906891.5,4.6215,0.775,36.405,0.71025,0.05425,15.13775,4.3685,10.76925,58.09,25.9075,19.43
52,47.30973,-122.68868,"Kopachuck State Park",7013734.75,4.72575,0.7775,30.045,0.67975,0.05425,15.15675,4.8566,10.3005,57.1825,29.155,23.3675
53,47.32598,-122.66724,"Raft Island Park",4185580.75,3.778125,0.65375,35.5425,0.7245,0.0525,13.412,3.65675,9.7555,56.79,25.4425,18.835
54,47.30515,-122.44441,"Browns Point Lighthouse",8047751.75,2.3115,0.84875,36.5325,0.6985,0.057,15.79525,4.7775,11.01775,57.8175,26.3425,19.7725
55,47.3539722,-122.69175,"Minter Bay",8029787,5.00975,0.9175,36.9575,0.6505,0.051,15.73,5.49225,10.238,58.5675,23.6375,20.445
56,47.1905742,-122.5834897,"Chambers Bay Park",8752275,11.61675,1.05625,31.15,0.63375,0.047,13.44125,4.87425,8.56725,56.4675,25.195,19.0125
57,47.38566,-122.627255,"Purdy, Dexters",4578794.25,1.760875,0.84375,33.7725,0.679,0.049,14.4615,4.61375,9.848,58.315,25.7625,19.28
58,47.33785,-122.58277,"Gig Harbor Boat Launch",3843185.75,14.972,0.965,30.2725,0.62675,0.05225,13.38425,4.9975,8.3875,54.325,26.1875,19.445
59,47.19483,-122.748665,"Filucy Bay",10877772,5.009,0.85625,36.8175,0.6525,0.04575,14.28075,4.869,9.41175,58.49,22.7,19.06
60,48.69368,-122.90985,"Eastsound, Fishing Bay",3018580.5,7.731875,0.465,32.3575,0.68475,0.0495,11.8205,3.73,8.0905,54.7375,24.3325,18.7625
61,48.5069444,-123.0194444,"Friday Harbor",5444136.6,6.7096,0.75,32.616,0.6726,0.0458,12.1138,3.8728,8.241,56.408,23.89,18.574
62,48.52108,-122.61531,"N Avenue Park",6764939.25,1.446375,0.8225,36.6475,0.6935,0.057,14.89425,4.552,10.3425,56.5325,24.13,20.755
