sample_id,site_name,site_number,reporting_area,pcb_group,geo_groupA,pah_group,latitude,longitude,p450,sod,ci_wet_volume,ci_wet_shell_weight,ci_pollution,shell_thickness
49,"Eastsound, Fishing Bay",60,6,1,5,6,48.69368,-122.90985,3011817,0.0025,0.32,2.21,0.38368101,0.355
81,"Seattle Aquarium, Pier 59",17,1,7,5,1,47.607,-122.342,2492074,0.0025,0.381,2.63,0.40260337,0.805
98,Brackenwood Ln,23,2,2,3,2,47.68234,-122.5064,1269238,0.0025,0.342,2.05,0.234116922,0.555
101,Chimacum Creek delta,8,2,1,3,2,48.04906,-122.7724,2742180,0.0025,0.286,1.52,0.525266015,0.995
105,Hood Canal Holly,29,1,1,4,1,47.5706,-122.9717,NA,0.0025,0.342,2.25,0.382213707,0.725
106,Hood Canal Holly,29,1,1,4,1,47.5706,-122.9717,380110,0.0025,0.345,2.39,0.281287188,0.685
107,Hood Canal Holly,29,1,1,4,1,47.5706,-122.9717,291641,0.0025,0.337,2.5,0.270707839,0.755
108,Hood Canal Holly,29,6,1,1,6,47.5706,-122.9717,1693665,0.0025,0.353,2,0.370614583,0.575
109,Hood Canal Holly,29,6,1,1,6,47.5706,-122.9717,NA,0.0025,0.363,2.2,0.330787103,0.63
123,Salmon Beach,40,5,3,1,5,47.29464,-122.53053,916811,0.0025,0.321,2.16,0.2456315,0.935
128,Chambers Bay Park,56,3,2,1,3,47.1905742,-122.5834897,4420012,0.0025,0.268,1.5,0.616277478,1.26
132,Gig Harbor Boat Launch,58,5,4,1,5,47.33785,-122.58277,1906238,0.0025,0.298,1.85,0.460120797,1.1
145,Purdy - Dexters,57,2,2,1,2,47.38566,-122.627255,6119860,0.0025,0.328,2.1,0.387991021,0.805
146,Purdy - Dexters,57,2,2,1,2,47.38566,-122.627255,5329851,0.0025,0.315,1.98,0.539608895,0.88
147,Purdy - Dexters,57,7,2,1,7,47.38566,-122.627255,4051273,0.0025,0.357,2.1,0.444829935,0.96
161,"Comm Bay, Milwaukee Waterway",49,3,3,5,3,47.2694,-122.4243,6366494,0.0025,0.345,1.65,0.732377313,0.83
165,Discovery Bay,12,3,1,2,3,48.064957,-122.857524,3392978,0.0025,0.355,2.22,0.289158619,0.875
175,Filucy Bay,59,2,3,4,2,47.19483,-122.748665,6630611,0.0025,0.452,2.26,0.771427698,0.795
178,Minter Bay,55,2,2,4,2,47.3539722,-122.69175,6263391,0.0025,0.425,1.71,0.745664349,0.825
185,West Bay Park,73,2,4,4,2,47.052362,-122.910912,4006818,0.0025,0.31,1.94,0.480130748,0.805
192,Tulalip Reservation,70,6,1,1,6,48.0697859,-122.2997764,4597377,0.0025,0.314,2.24,0.416684406,0.83
194,Browns Point Lighthouse,54,6,3,1,6,47.30515,-122.44441,2165448,0.0025,0.352,1.94,0.388339036,0.84
198,Squaxin Island,38,2,2,4,2,47.17650485,-122.9046464,6350828,0.0025,0.342,2.12,0.388755026,0.85
200,Squaxin Island,38,2,2,4,2,47.17650485,-122.9046464,6605220,0.0025,0.304,1.99,0.238320517,0.925
203,Maple Hollow Park,51,5,3,2,5,47.30008,-122.74566,5079449,0.0025,0.344,2.32,0.699254347,0.8
204,Maple Hollow Park,51,5,3,2,5,47.30008,-122.74566,1311133,0.0025,0.358,2.45,0.360168962,0.735
206,Everett Harbor,66,5,2,2,5,47.9726,-122.22977,6420811,0.0025,0.355,2.09,0.538599488,0.865
207,Everett Harbor,66,8,2,3,8,47.9726,-122.22977,5318907,0.0025,0.316,1.64,0.642567426,0.885
209,Everett Harbor,66,8,2,3,8,47.9726,-122.22977,3196587,0.0025,0.345,1.99,0.743641284,0.68
213,N Avenue Park,62,5,2,3,5,48.52108,-122.61531,3461581,0.0025,0.356,2.3,0.32451177,0.71
219,Raft Island Park,53,2,2,5,2,47.32598,-122.66724,6420643,0.0025,0.332,2.11,0.709527705,0.58
223,Friday Harbor,61,6,1,5,6,48.5069444,-123.0194444,2728430,0.0025,0.335,2.31,0.569250457,0.895
225,Friday Harbor,61,5,1,2,5,48.5069444,-123.0194444,6464229,0.0025,0.372,2.6,0.472869782,0.845
227,Edmonds Ferry,69,5,3,2,5,47.81407,-122.3825,5845804,0.0025,0.375,2.28,0.582340765,0.82
228,Edmonds Ferry,69,4,3,1,4,47.81407,-122.3825,3992468,0.0025,0.372,2.57,0.570407862,0.39
230,Edmonds Ferry,69,4,3,1,4,47.81407,-122.3825,2077255,0.0025,0.379,2.26,0.647500353,0.665
231,Miller Creek,20,4,3,1,4,47.4436,-122.360316,5994423,0.0025,0.358,1.94,0.320222165,0.96
242,Aiston Preserve,77,8,1,5,8,48.6793778,-122.6300583,5965780,0.0025,0.313,2.29,0.296662598,0.7
243,Port Angeles Yacht Club,1,8,4,5,8,48.12823,-123.45715,12345151,0.0025,0.357,2.06,0.870510992,0.99
247,Port Angeles Yacht Club,1,1,4,4,1,48.12823,-123.45715,2848746,0.0025,0.396,2.28,0.303382134,0.92
252,Williams Olson Park,26,4,3,2,4,47.66586,-122.56698,5178253,0.0025,0.362,2.65,0.365282026,0.575
261,"Manchester, Stormwater Outfall",33,6,3,1,6,47.55622,-122.54281,2700803,0.0025,0.356,2.87,0.267635143,0.645
265,Donkey Creek Delta,44,7,6,2,7,47.33775,-122.59014,2345153,0.0025,0.368,2.67,0.398214784,0.635
277,Three Tree Point,22,5,3,2,5,47.44896,-122.372267,8434870,0.0025,0.343,2.88,0.354841124,0.73
285,Arroyo Beach,13,8,3,2,8,47.50161,-122.38593,9587219,0.0025,0.247,1.5,0.348590803,0.645
287,"Salmon Bay, Commodore Park",16,8,7,2,8,47.6663,-122.4018,5854695,0.0025,0.333,2.9,0.249884874,0.67
290,"Salmon Bay, Commodore Park",16,4,7,2,4,47.6663,-122.4018,4648754,0.0025,0.348,2.78,0.351531895,0.64
303,North Camano,7,1,1,3,1,48.255358,-122.507014,3248979,0.0025,0.328,2.27,0.277805293,0.745
304,North Camano,7,1,1,3,1,48.255358,-122.507014,8854036,0.0025,0.331,2.68,0.297521275,0.745
309,Maristone Island,11,2,2,2,2,48.018127,-122.699524,5112018,0.0025,0.328,2,0.335960662,0.9
239,Aiston Preserve,77,1,1,3,1,48.6793778,-122.6300583,2861653,0.01,0.369,2.56,0.71185776,0.93
211,N Avenue Park,62,5,2,3,5,48.52108,-122.61531,3680347,0.016,0.329,2.28,0.510403933,0.9
