latitude,longitude,sample_id,site_number,site_name,reporting_area,p450_ibr1,sod_ibr1,shell_ibr1,weight_initial_g_ibr1,weight_change_g_ibr1,weight_final_g_ibr1,length_mm_ibr1,height_mm_ibr1,width_mm_ibr1,ibr1_biomarkers,ibr1_morphometrics,ibr1_overall,p450_ibr3,sod_ibr3,shell_ibr3,weight_initial_g_ibr3,weight_change_g_ibr3,weight_final_g_ibr3,length_mm_ibr3,height_mm_ibr3,width_mm_ibr3,ibr3_biomarkers,ibr3_morphometrics,ibr3_overall,p450_ibr2,sod_ibr2,shell_ibr2,weight_initial_g_ibr2,weight_change_g_ibr2,weight_final_g_ibr2,length_mm_ibr2,height_mm_ibr2,width_mm_ibr2,ibr2_biomarkers,ibr2_morphometrics,ibr2_overall,ci1_1,ci2_1,ci3_1,ci1_2,ci2_2,ci3_2,ci1_3,ci2_3,ci3_3
47.40301418,-122.3305538,1,21,Des Moines Marina,11,2.515894979,-1.148881726,6.061545935,-1.979588377,-2.228726375,-0.430529134,-0.52125119,-2.919823362,-0.489772196,0.683506627,-0.358306386,0.16260012,2.250149509,-0.340699568,3.164314666,-0.885205746,-1.193049161,-0.109534968,-0.757755991,-0.912845253,-0.088878221,0.95472497,-0.111850668,0.421437151,2.135800697,0.040646535,2.834338307,-0.685066544,-0.961158459,-0.051313354,-0.837316067,-0.656804608,0.114667081,1.088223616,-0.034664806,0.526779405,-1.043553758,-1.980707604,-1.464936724,-1.293827021,-1.604402425,-0.608970436,-1.241404142,-1.756998682,-0.800939031
47.40301418,-122.3305538,2,21,Des Moines Marina,11,7.384319583,-1.097513328,11.92934383,-0.740049389,-1.284023561,1.013293369,0.061709839,-2.562749423,-0.553854539,3.143403128,1.123381446,2.133392287,6.183479801,-0.284142206,6.856015109,-0.160664277,-0.550693407,0.679030807,-0.022704299,-0.746332764,-0.163964994,2.949668798,0.841526597,1.895597697,5.730274584,0.119931601,6.436734717,-0.045791409,-0.3809418,0.631128203,-0.06601247,-0.507672058,0.032762023,2.925103093,0.871458172,1.898280633,0.28237337,-2.142398021,-1.12024573,-0.189652242,-1.759667176,-0.34983408,-0.072296037,-1.918473397,-0.524071218
47.40301418,-122.3305538,3,21,Des Moines Marina,11,1.099024856,-1.009798099,7.500817116,-2.046945119,-2.730169973,0.663359289,0.119480751,-2.994213767,-0.393648681,0.044613379,0.016954231,0.030783805,1.105422287,-0.187566449,4.069826095,-0.924577442,-1.53400843,0.48790895,0.050138661,-0.947535355,0.023751938,0.458927919,0.17507206,0.316999989,1.089691724,0.255316545,3.717944974,-0.719804854,-1.269134603,0.465727291,0.010423022,-0.68787389,0.237524667,0.672504134,0.250686658,0.461595396,-2.516806123,-3.651508577,-2.326664208,-2.520687887,-3.208804851,-1.256811325,-2.540413148,-3.425570735,-1.493108565
47.40301418,-122.3305538,4,21,Des Moines Marina,11,12.9484382,1.217417631,8.940088297,-2.352237361,-2.839133456,-0.014465779,-1.702928952,-4.050557505,-0.965812461,7.082927916,-0.426435317,3.328246299,10.67887987,2.264630836,4.975337525,-1.103028375,-1.608098736,0.117704406,-2.247725635,-1.440134803,-0.646665677,6.471755354,-0.278944471,3.096405441,9.838395939,3.692934854,4.601551641,-0.877255117,-1.336057689,0.145344423,-2.400769305,-1.129057685,-0.493770491,6.765665396,-0.212859175,3.276403111,0.085939721,-3.166437327,-0.947900233,-0.353233691,-2.743010598,-0.220265902,-0.245497238,-2.94114659,-0.385637311
47.7296079,-122.5506191,5,34,Suquamish Stormwater Outfall,10,2.485342953,-1.62031755,9.050801465,-2.834231703,-2.637074959,-2.058962529,-1.461341499,-3.336409626,-1.821769475,0.432512702,-0.728426904,-0.147957101,2.225465711,-0.859757346,5.04499225,-1.384766095,-1.470707975,-0.99892881,-1.943109619,-1.107109824,-1.64961043,0.682854183,-0.501320072,0.090767055,2.113243408,-0.686995785,4.669521384,-1.12583705,-1.211957597,-0.821013659,-2.081129976,-0.830792584,-1.587788048,0.713123812,-0.426999647,0.143062082,1.436421056,-0.848874688,-0.947900233,0.771388769,-0.51754917,-0.220265902,0.945261018,-0.626675679,-0.385637311
47.7296079,-122.5506191,6,34,Suquamish Stormwater Outfall,10,-0.669339074,-0.877688771,10.15793314,0.623705927,-0.350957624,2.87869,0.182503565,-1.179087906,-0.608782262,-0.773513922,1.672000692,0.449243385,-0.323286172,-0.042112135,5.741539504,0.636484735,0.08374979,1.69784575,0.129603709,-0.101096868,-0.228325085,-0.182699154,1.137114505,0.477207676,-0.215933501,0.459222003,5.34921882,0.657546584,0.192127734,1.512832275,0.093807194,0.070216576,-0.037442312,0.121644251,1.119758124,0.620701188,1.068107964,-2.627469271,-0.430863742,0.464673553,-2.225461429,0.168438631,0.620508766,-2.402897541,0.029664409
47.7296079,-122.5506191,7,34,Suquamish Stormwater Outfall,10,3.009995539,-1.377021793,9.161514632,-0.407639498,-1.10418092,1.591924525,-1.230257847,12.40459989,3.584033917,0.816486873,3.428570671,2.122528772,2.649346551,-0.591885138,5.114646976,0.033637599,-0.428408437,0.995059076,-1.651737777,6.233315742,4.6844952,1.028730706,2.140144054,1.58443738,2.500606913,-0.311478525,4.737491128,0.125644407,-0.270486221,0.904625773,-1.77538801,5.743467354,5.321488609,1.094564194,2.112406149,1.603485171,-9.686634298,-2.465778855,0.258518245,-8.491410767,-2.070196678,0.686711342,-8.862256976,-2.241422826,0.583400035
47.7296079,-122.5506191,8,34,Suquamish Stormwater Outfall,10,-0.196985962,0.241015697,8.386522458,-1.257909009,-1.770656589,0.649582357,-3.672391888,5.03994988,1.775996373,0.022014867,1.307299083,0.664656975,0.058340525,1.189597943,4.627063898,-0.463366147,-0.881582149,0.480384467,-4.731008376,2.798995652,2.565975536,0.623969234,0.628066126,0.62601768,0.132816056,2.185897561,4.261702923,-0.312870364,-0.679821602,0.459215444,-5.006524701,2.667608498,3.010595909,1.159356808,0.628558015,0.893957412,-5.512419264,-2.411882049,2.499009705,-5.01530498,-2.018441761,2.371097654,-5.181731459,-2.187597921,2.383040822
47.2619,-122.7376,9,50,Pennrose Point State Park,13,4.711073653,-1.359317802,7.722243451,1.825630112,0.707998161,3.906449148,-6.009487906,0.680672198,0.242597443,1.675877925,1.296586087,1.486232006,4.023693001,-0.572392784,4.209135546,1.339039413,0.803792467,2.259172151,-7.677837228,0.76615568,0.769256327,1.725650109,0.352673479,1.039161794,3.756553417,-0.284153124,3.853884461,1.277422403,0.842516172,1.998616055,-8.098687771,0.84694861,1.050724884,1.736200147,0.253060688,0.994630417,5.408063889,-2.357985243,10.25455706,4.078801186,-1.966686844,8.201665656,4.447172795,-2.133773016,8.612566621
47.2619,-122.7376,10,50,Pennrose Point State Park,13,0.457534131,-1.03917063,4.511561586,-4.38431151,-4.457717224,-2.199487238,-3.231232191,2.570188463,0.530967988,-0.290818249,-0.951432875,-0.621125562,0.587144793,-0.219906037,2.189148511,-2.290826422,-2.708663466,-1.075678532,-4.174753042,1.647284268,1.107146805,0.183619378,-0.75804884,-0.287214731,0.616063837,0.20998122,1.882761897,-1.925269329,-2.3301579,-0.887434497,-4.422835493,1.636108357,1.419297644,0.413022528,-0.661075617,-0.124026545,-7.728436363,-3.274230938,-1.292591227,-6.860708199,-2.846520432,-0.479402258,-7.135657505,-3.0487964,-0.662505125
47.2619,-122.7376,11,50,Pennrose Point State Park,13,6.146107946,-0.691394501,5.507980096,-1.545705993,-1.468097793,-1.044980313,1.001800147,4.742388264,1.689027478,2.727356722,1.268915984,1.998136353,5.183095542,0.163000597,2.816041039,-0.631590666,-0.67585567,-0.445126891,1.162649329,2.660235244,2.464072058,2.673048069,1.050060635,1.861554352,4.816073429,0.74675975,2.49448959,-0.461297689,-0.493996334,-0.341741726,1.177801439,2.543331373,2.899439044,2.781416589,1.116860814,1.949138702,-7.169828175,-0.525493854,-1.981973214,-6.395523454,-0.207019668,-0.997674969,-6.643116591,-0.303726249,-1.216240751
47.2619,-122.7376,12,50,Pennrose Point State Park,13,7.68568893,-1.293196078,4.511561586,-2.226271507,-1.817204096,-2.279393446,0.660426571,5.099462204,2.133026572,3.196246426,0.868801126,2.032523776,6.426964147,-0.499591793,2.189148511,-1.029398191,-0.913232377,-1.119320531,0.732213654,2.826747734,2.984316128,2.963686177,0.810067847,1.886877012,5.952782754,-0.182096889,1.882761897,-0.812289965,-0.708410105,-0.925203209,0.72613717,2.692463924,3.466924087,2.885342932,0.903197686,1.894270309,-7.986255527,0.282958229,-1.981973214,-7.075408851,0.569304086,-0.997674969,-7.362984081,0.503647325,-1.216240751
48.02667,-122.75076,13,9,S of Skunk Island,9,0.577478019,-0.483372606,4.622274754,-4.477036375,-3.673814889,-4.533299566,-3.357277818,-3.321531545,-1.240451075,0.047052707,-2.283019502,-1.117983398,0.684050664,0.392035764,2.258803236,-2.345026419,-2.175644861,-2.350325883,-4.333683137,-1.100171804,-0.968466132,0.538043214,-1.573502143,-0.517729464,0.704621267,1.067833217,1.950731641,-1.973090899,-1.848701523,-1.990541365,-4.589603838,-0.824578728,-0.844792167,0.886227242,-1.445796697,-0.279784727,-0.699794873,0.660235868,-0.258518245,-1.007559486,0.931588505,0.298006809,-0.938302041,0.880421659,0.168098315
48.02667,-122.75076,14,9,S of Skunk Island,9,5.203527184,-0.602338061,5.507980096,-1.298148101,-1.425781878,-0.375421405,-1.4665934,-1.863479624,-0.997853632,2.300594561,-0.27418542,1.01320457,4.421559364,0.261053048,2.816041039,-0.4868869,-0.647082736,-0.079437038,-1.949731706,-0.420245806,-0.684209063,2.341306206,-0.207364602,1.066970802,4.120143593,0.8842148,2.49448959,-0.333623121,-0.468006786,-0.025265966,-2.088078657,-0.215620813,-0.53472302,2.502179196,-0.167261253,1.167458972,1.37503554,-1.118358715,0.258518245,0.720269567,-0.776323754,0.686711342,0.891135642,-0.895800203,0.583400035
48.02667,-122.75076,15,9,S of Skunk Island,9,2.867978941,-1.557817096,3.84728258,-0.721679369,-0.539263448,-0.86863558,-0.993922295,0.606281794,-0.498926816,0.655080922,0.118733838,0.38690738,2.534607547,-0.790943427,1.771220159,-0.149926542,-0.044289766,-0.348813514,-1.353743848,0.731465578,-0.099604903,0.87183206,0.072329595,0.472080827,2.395752675,-0.590528837,1.474943436,-0.036317324,0.076474245,-0.258390086,-1.462697362,0.815879329,0.102966358,0.902611919,0.101836942,0.502224431,0.141186685,0.282958229,0.603209239,-0.307226408,0.569304086,0.945847698,-0.1967844,0.503647325,0.860267848
48.02667,-122.75076,16,9,S of Skunk Island,9,-0.91076666,1.312107159,1.965158728,-3.851580922,-2.898375737,-4.582896523,-2.769064888,-2.756164473,-1.295378798,0.20067025,-2.312614659,-1.055972205,-0.518341968,2.3688854,0.587089828,-1.9794321,-1.648380844,-2.37741402,-3.592009359,-0.836527029,-1.032826223,0.925271716,-1.55421425,-0.314471267,-0.394185241,3.839084349,0.319457795,-1.650520877,-1.372443056,-2.013984013,-3.81135156,-0.588452189,-0.914996502,1.722449554,-1.433184343,0.144632606,0.36217454,1.684275174,0.086172748,-0.123197279,1.914931927,0.557143165,-0.001933049,1.903094853,0.444966129
