"latitude","longitude","site_name","qualifier","site","flagged","opDDD","opDDE","opDDT","ppDDD","ppDDT","ppDDE"
48.218047,-122.712359,"Penn Cove Baseline 1","U","Penn Cove Baseline 1",TRUE,0,0,0,0,0,NA
48.218047,-122.712359,"Penn Cove Baseline 2","U","Penn Cove Baseline 2",TRUE,0,0,0,0,0,0
48.218047,-122.712359,"Penn Cove Baseline 3","U","Penn Cove Baseline 3",TRUE,0,0,0,0,0,NA
47.6325,-122.3786,"Smith Cove, Terminal 91","D","Smith Cove, Terminal 91",FALSE,1.1,NA,0.23,1.6,0.46,1.8
47.62052,-122.36373,"Elliot Bay Myrtle Edwards","D","Elliot Bay Myrtle Edwards",FALSE,0.67,NA,NA,2,NA,0.75
47.6707,-122.40605,"Shilshole Bay","D","Shilshole Bay",FALSE,0.61,NA,NA,1.5,0.37,1.2
47.2632,-122.3856,"Blair Waterway #2","D","Blair Waterway Two",FALSE,0.57,NA,NA,0.91,0.48,0.95
47.5876989,-122.3505105,"Elliott Bay, Harbor Island, Pier 17","D","Elliott Bay, Harbor Island, Pier 17",FALSE,0.5,NA,NA,0.68,NA,0.63
48.52108,-122.61531,"N Avenue Park","D","N Avenue Park",FALSE,0.47,NA,NA,0.77,NA,0.64
47.402778,-122.331667,"Des Moines Marina","D","Des Moines Marina",FALSE,0.43,NA,0.45,1.7,NA,0.7
47.666244,-122.401894,"Salmon Bay, Commodore Park","D","Salmon Bay, Commodore Park",FALSE,0.43,NA,NA,0.92,0.36,1.4
48.128267,-123.457133,"Port Angeles Yacht Club","D","Port Angeles Yacht Club",FALSE,0.39,NA,NA,0.59,NA,0.32
48.48425,-122.58392,"Fidalgo Bay Aq Reserve, Weaverling Spit","D","Fidalgo Bay Aq Reserve, Weaverling Spit",FALSE,0.38,NA,NA,0.91,NA,0.6
47.25934,-122.43479,"Thea Foss Waterway","D","Thea Foss Waterway",FALSE,0.34,NA,NA,0.6,NA,0.48
47.28915,-122.4096,"Comm Bay Skookum","D","Commencement Bay Skookum",FALSE,0.32,NA,0.41,0.69,1.3,1.5
47.2925,-122.4122,"Comm Bay, Dick Gilmur Launch","D","Commencement Bay, Dick Gilmur Launch",FALSE,0.32,NA,0.37,0.92,0.98,1.2
47.541533,-122.640383,"Kitsap St Boat Launch","D","Kitsap St Boat Launch",FALSE,0.29,NA,NA,0.47,NA,0.59
47.2758,-122.4174,"Blair Waterway","D","Blair Waterway",FALSE,0.27,NA,NA,0.44,0.39,0.72
47.2009,-122.58342,"Chambers Bay Park","U","Chambers Bay Park",TRUE,0,0,0,0,0,NA
47.729875,-122.550882,"Suquamish, Stormwater Outfall","U","Suquamish Stormwater Outfall",TRUE,0,0,0,NA,0,NA
47.578117,-122.524833,"Rich Passage","U","Rich Passage",TRUE,0,0,0,NA,0,NA
47.337909,-122.59023,"Donkey Creek Delta","U","Donkey Creek Delta",TRUE,0,0,0,0,0,NA
47.3115,-122.68725,"Kopachuck State Park","U","Kopachuck State Park",TRUE,0,0,0,0,0,NA
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","U","Cherry Point Aquatic Reserve, Conoco Phillips",TRUE,0,0,0,0,0,NA
47.81094,-122.387955,"Edmonds Marina","U","Edmonds Marina",TRUE,0,0,0,NA,0,NA
47.2609094,-122.7447771,"Penrose Point State Park","U","Penrose Point State Park",TRUE,0,0,0,0,0,NA
47.387021,-122.6367,"Purdy, Burley Lagoon","U","Purdy, Burley Lagoon",TRUE,0,0,0,0,0,NA
48.6793778,-122.6300583,"Aiston Preserve","U","Aiston Preserve",TRUE,0,0,0,0,0,NA
47.29954,-122.74554,"Maple Hollow Park","U","Maple Hollow Park",TRUE,0,0,0,0,0,NA
47.117944,-122.833528,"Meyer's Point - Henderson Inlet","U","Meyer's Point, Henderson Inlet",TRUE,0,0,0,0,0,NA
47.607334,-122.344055,"Seattle Aquarium, Pier 59","U","Seattle Aquarium, Pier 59",TRUE,0,0,0,NA,NA,NA
47.6428,-122.6967,"Silverdale, Dyes Inlet","U","Silverdale, Dyes Inlet",TRUE,0,0,0,NA,0,NA
48.069978,-122.300216,"Tulalip Reservation","U","Tulalip Reservation",TRUE,0,0,0,0,0,NA
47.80934,-122.81556,"Broad Spit","U","Broad Spit",TRUE,0,0,0,0,0,0
47.304906,-122.44427,"Browns Point Lighthouse","U","Browns Point Lighthouse",TRUE,0,0,0,NA,NA,NA
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway","U","Commencement Bay, Milwaukee Waterway",TRUE,0,0,0,NA,NA,NA
48.064974,-122.857218,"Discovery Bay","U","Discovery Bay",TRUE,0,0,0,0,0,NA
47.19483,-122.748665,"Filucy Bay","U","Filucy Bay",TRUE,0,0,0,0,0,NA
47.7947,-122.5003,"Kingston Marina","U","Kingston Marina",TRUE,0,0,0,0,0,NA
47.443611,-122.361944,"Miller Creek","U","Miller Creek",TRUE,0,0,0,NA,0,NA
47.35399,-122.69176,"Minter Bay","U","Minter Bay",TRUE,0,0,0,0,0,NA
48.214071,-122.719097,"Penn Cove Reference","U","Penn Cove Reference",TRUE,0,0,0,0,NA,NA
47.385334,-122.628902,"Purdy - Dexters","U","Purdy, Dexters",TRUE,0,0,0,0,0,NA
47.32622,-122.66715,"Raft Island Park","U","Raft Island Park",TRUE,0,0,0,0,0,NA
47.3372,-122.58284,"Gig Harbor Boat Launch","U","Gig Harbor Boat Launch",TRUE,0,0,0,0,0,NA
48.018181,-122.699838,"Maristone Island","U","Maristone Island",TRUE,0,0,0,0,0,NA
47.949831,-122.301703,"Mukilteo","U","Mukilteo",TRUE,0,0,0,0,0,NA
47.3061098,-122.514771,"Point Defiance Ferry","U","Point Defiance Ferry",TRUE,0,0,0,NA,0,NA
48.0616613,-122.293939,"Tulalip Bay","U","Tulalip Bay",TRUE,0,0,0,0,0,NA
47.8142069,-122.3822018,"Edmonds Ferry","U","Edmonds Ferry",TRUE,0,0,0,0,0,NA
48.027069,-122.999191,"Jamestown","U","Jamestown",TRUE,0,0,0,0,0,0
47.579985,-122.67853,"Madrona Pont","U","Madrona Pont",TRUE,0,0,0,0,0,NA
47.556111,-122.542778,"Manchester, Stormwater Outfall","U","Manchester, Stormwater Outfall",TRUE,0,0,0,0,0,NA
48.022466,-122.728123,"Oak Bay County Park","U","Oak Bay County Park",TRUE,0,0,0,0,0,NA
47.60253,-122.66991,"Rocky Point","U","Rocky Point",TRUE,0,0,0,0,0,NA
47.176735,-122.905337,"Squaxin Island","U","Squaxin Island",TRUE,0,0,0,0,0,NA
48.52093,-122.600725,"Cap Sante","U","Cap Sante",TRUE,0,0,0,NA,NA,NA
47.618875,-122.527234,"Eagle Harbor Dr","U","Eagle Harbor Dr",TRUE,0,0,0,NA,0,NA
47.97252,-122.22982,"Everett Harbor","U","Everett Harbor",TRUE,0,0,0,0,0,NA
48.5069444,-123.0194444,"Friday Harbor","U","Friday Harbor",TRUE,0,0,0,0,0,NA
47.50159,-122.38577,"Arroyo Beach","U","Arroyo Beach",TRUE,0,0,0,0,0,NA
48.691084,-122.504012,"Chuckanut, Clark's Point","U","Chuckanut, Clark's Point",TRUE,0,0,0,0,NA,NA
47.0769,-123.0034725,"Eld Inlet","U","Eld Inlet",TRUE,0,0,0,0,0,NA
47.570193,-122.971775,"Hood Canal Holly","U","Hood Canal Holly",TRUE,0,0,0,0,0,0
