"latitude","longitude","site_name","qualifier","X","X.1","site","flagged","alpha_hexachlorocyclohexane","beta_hexachlorocyclohexane","gamma_hexachlorocyclohexane"
48.218047,-122.712359,"Penn Cove Baseline 1","U",NA,NA,"Penn Cove Baseline 1",TRUE,0,0,0
48.218047,-122.712359,"Penn Cove Baseline 2","U",NA,NA,"Penn Cove Baseline 2",TRUE,0,0,0
48.218047,-122.712359,"Penn Cove Baseline 3","U",NA,NA,"Penn Cove Baseline 3",TRUE,0,0,0
47.6325,-122.3786,"Smith Cove, Terminal 91","D",NA,NA,"Smith Cove, Terminal 91",FALSE,0.39,0.33,NA
47.607334,-122.344055,"Seattle Aquarium, Pier 59","D",NA,NA,"Seattle Aquarium, Pier 59",FALSE,0.15,0.24,NA
47.729875,-122.550882,"Suquamish, Stormwater Outfall","U",NA,NA,"Suquamish Stormwater Outfall",TRUE,0,0,0
47.2009,-122.58342,"Chambers Bay Park","U",NA,NA,"Chambers Bay Park",TRUE,0,0,0
47.337909,-122.59023,"Donkey Creek Delta","U",NA,NA,"Donkey Creek Delta",TRUE,0,0,0
47.3115,-122.68725,"Kopachuck State Park","U",NA,NA,"Kopachuck State Park",TRUE,0,0,0
47.578117,-122.524833,"Rich Passage","U",NA,NA,"Rich Passage",TRUE,0,0,0
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","U",NA,NA,"Cherry Point Aquatic Reserve, Conoco Phillips",TRUE,0,NA,0
47.81094,-122.387955,"Edmonds Marina","U",NA,NA,"Edmonds Marina",TRUE,0,NA,0
47.2609094,-122.7447771,"Penrose Point State Park","U",NA,NA,"Penrose Point State Park",TRUE,0,0,0
47.387021,-122.6367,"Purdy, Burley Lagoon","U",NA,NA,"Purdy, Burley Lagoon",TRUE,0,0,0
48.6793778,-122.6300583,"Aiston Preserve","U",NA,NA,"Aiston Preserve",TRUE,0,0,0
47.2925,-122.4122,"Comm Bay, Dick Gilmur Launch","U",NA,NA,"Commencement Bay, Dick Gilmur Launch",TRUE,0,0,0
47.29954,-122.74554,"Maple Hollow Park","U",NA,NA,"Maple Hollow Park",TRUE,0,0,0
47.117944,-122.833528,"Meyer's Point - Henderson Inlet","U",NA,NA,"Meyer's Point, Henderson Inlet",TRUE,0,0,0
48.214071,-122.719097,"Penn Cove Reference","U",NA,NA,"Penn Cove Reference",TRUE,0,0,0
47.6428,-122.6967,"Silverdale, Dyes Inlet","U",NA,NA,"Silverdale, Dyes Inlet",TRUE,0,NA,0
48.069978,-122.300216,"Tulalip Reservation","U",NA,NA,"Tulalip Reservation",TRUE,0,0,0
47.80934,-122.81556,"Broad Spit","U",NA,NA,"Broad Spit",TRUE,0,0,0
47.304906,-122.44427,"Browns Point Lighthouse","U",NA,NA,"Browns Point Lighthouse",TRUE,0,0,0
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway","U",NA,NA,"Commencement Bay, Milwaukee Waterway",TRUE,0,0,0
48.064974,-122.857218,"Discovery Bay","U",NA,NA,"Discovery Bay",TRUE,0,0,0
47.19483,-122.748665,"Filucy Bay","U",NA,NA,"Filucy Bay",TRUE,0,0,0
47.7947,-122.5003,"Kingston Marina","U",NA,NA,"Kingston Marina",TRUE,0,0,0
47.443611,-122.361944,"Miller Creek","U",NA,NA,"Miller Creek",TRUE,0,0,0
47.35399,-122.69176,"Minter Bay","U",NA,NA,"Minter Bay",TRUE,0,0,0
47.949831,-122.301703,"Mukilteo","U",NA,NA,"Mukilteo",TRUE,0,0,0
47.385334,-122.628902,"Purdy - Dexters","U",NA,NA,"Purdy, Dexters",TRUE,0,0,0
47.32622,-122.66715,"Raft Island Park","U",NA,NA,"Raft Island Park",TRUE,0,0,0
47.8142069,-122.3822018,"Edmonds Ferry","U",NA,NA,"Edmonds Ferry",TRUE,0,0,0
47.3372,-122.58284,"Gig Harbor Boat Launch","U",NA,NA,"Gig Harbor Boat Launch",TRUE,0,0,0
48.027069,-122.999191,"Jamestown","U",NA,NA,"Jamestown",TRUE,0,0,0
47.579985,-122.67853,"Madrona Pont","U",NA,NA,"Madrona Pont",TRUE,0,0,0
47.556111,-122.542778,"Manchester, Stormwater Outfall","U",NA,NA,"Manchester, Stormwater Outfall",TRUE,0,0,0
48.018181,-122.699838,"Maristone Island","U",NA,NA,"Maristone Island",TRUE,0,0,0
48.022466,-122.728123,"Oak Bay County Park","U",NA,NA,"Oak Bay County Park",TRUE,0,0,0
47.3061098,-122.514771,"Point Defiance Ferry","U",NA,NA,"Point Defiance Ferry",TRUE,0,0,0
47.60253,-122.66991,"Rocky Point","U",NA,NA,"Rocky Point",TRUE,0,NA,0
47.176735,-122.905337,"Squaxin Island","U",NA,NA,"Squaxin Island",TRUE,0,0,0
48.0616613,-122.293939,"Tulalip Bay","U",NA,NA,"Tulalip Bay",TRUE,0,0,0
48.52093,-122.600725,"Cap Sante","U",NA,NA,"Cap Sante",TRUE,0,NA,0
47.402778,-122.331667,"Des Moines Marina","U",NA,NA,"Des Moines Marina",TRUE,0,0,0
47.618875,-122.527234,"Eagle Harbor Dr","U",NA,NA,"Eagle Harbor Dr",TRUE,0,0,0
47.62052,-122.36373,"Elliot Bay Myrtle Edwards","U",NA,NA,"Elliot Bay Myrtle Edwards",TRUE,0,0,0
47.666244,-122.401894,"Salmon Bay, Commodore Park","U",NA,NA,"Salmon Bay, Commodore Park",TRUE,0,NA,NA
47.6707,-122.40605,"Shilshole Bay","U",NA,NA,"Shilshole Bay",TRUE,0,0,0
47.25934,-122.43479,"Thea Foss Waterway","U",NA,NA,"Thea Foss Waterway",TRUE,0,NA,0
47.50159,-122.38577,"Arroyo Beach","U",NA,NA,"Arroyo Beach",TRUE,0,0,0
48.691084,-122.504012,"Chuckanut, Clark's Point","U",NA,NA,"Chuckanut, Clark's Point",TRUE,0,0,0
47.0769,-123.0034725,"Eld Inlet","U",NA,NA,"Eld Inlet",TRUE,0,0,0
47.97252,-122.22982,"Everett Harbor","U",NA,NA,"Everett Harbor",TRUE,0,0,0
48.5069444,-123.0194444,"Friday Harbor","U",NA,NA,"Friday Harbor",TRUE,0,0,0
47.570193,-122.971775,"Hood Canal Holly","U",NA,NA,"Hood Canal Holly",TRUE,0,0,0
48.76652,-122.5395,"Locust Beach","U",NA,NA,"Locust Beach",TRUE,0,0,0
