latitude,longitude,sample_id,site_number,site_name,reporting_area,p450,sod,shell,weight_initial,weight_change,weight_final,length,height,width,ibr1bio,ibr1morph,ibr1overall,ci1,ci2,ci3
48.6793778,-122.6300583,239,77,Aiston Preserve,7,6.690260885,-1.688652273,2.075871896,-3.907565746,-3.139576456,-4.128257757,-2.312149487,-3.752995889,-2.261191258,2.500804306,-2.489409242,0.005697532,2.130077377,0.821926285,-0.603209239
48.6793778,-122.6300583,240,77,Aiston Preserve,7,-0.839743494,-1.034878753,4.068708915,-4.655488,-4.254600829,-3.582691239,-2.527477435,-4.095191748,-1.71649134,-0.937311124,-2.394747382,-1.666029253,-1.313650025,-1.333945938,-1.63728222
48.6793778,-122.6300583,241,77,Aiston Preserve,7,2.364289033,-0.499198901,4.84370109,-1.269280926,-1.475503079,-0.154990488,-1.214502144,-2.294943968,0.054927723,0.932545066,-0.215798827,0.358373119,-0.411282952,-1.333945938,-0.086172748
48.6793778,-122.6300583,242,77,Aiston Preserve,7,0.514270132,-1.687646365,7.168677613,-1.34975911,-1.277676174,-0.923743309,0.129984554,-2.324700129,0.324989027,-0.586688116,0.249681782,-0.168503167,-1.319788577,-0.417700243,-1.12024573
47.50161,-122.38593,281,13,Arroyo Beach,11,0.895603272,-0.738873386,6.947251277,-0.59396399,-0.549842427,-0.438795293,-0.085343394,-1.417137199,-0.714060397,0.078364943,0.449729797,0.26404737,1.246125958,-0.148216215,-0.430863742
47.50161,-122.38593,282,13,Arroyo Beach,11,3.778303885,-1.603820649,7.943669787,1.570199354,0.497476482,3.652953594,1.117341972,1.766772098,-0.050350413,1.087241618,2.356866125,1.722053871,-0.951475486,-2.357985243,-0.603209239
47.50161,-122.38593,283,13,Arroyo Beach,11,5.75821372,-0.095091892,5.618693264,0.628954504,-0.521279184,3.338839538,-1.114716022,1.498966643,0.347875578,2.831560914,1.399619189,2.115590051,-1.620577601,-3.166437327,0.603209239
47.50161,-122.38593,284,13,Arroyo Beach,11,-0.4300847,-0.870848593,7.722243451,1.335762904,0.5884557,2.674791402,0.450350525,0.085548965,-0.00457731,-0.650466647,1.836082234,0.592807794,0.613855152,-1.54953316,0.086172748
47.50161,-122.38593,285,13,Arroyo Beach,11,-0.273473696,0.361054122,5.950832767,-4.532146436,-5.072355896,-1.064268019,-0.190381417,-3.708361646,-1.368615762,0.043790213,-1.426470915,-0.691340351,-5.358955476,-5.591793577,-4.050119177
47.50161,-122.38593,286,13,Arroyo Beach,11,3.570926008,-1.688652273,0.85802705,-3.056421472,-2.463579706,-3.210714068,-1.456089597,-4.184460233,-0.869688945,0.941136868,-2.054703853,-0.556783493,0.675240667,0.552442257,-0.775554736
47.27568,-122.4173,149,41,Blair Waterway,11,1.751378043,-1.598858167,6.28297227,-0.213442141,0.054217267,-0.813527851,0.628915164,0.17481745,-1.084822527,0.076259938,0.71844709,0.397353514,1.418005401,0.768029479,-0.603209239
47.27568,-122.4173,150,41,Blair Waterway,11,2.570338835,-0.826320373,1.633019224,-2.542060904,-1.798161934,-3.323684912,-1.277524958,-1.045185178,-1.359461141,0.872009231,-1.387579972,-0.25778537,0.558608188,1.414791146,-0.430863742
47.27568,-122.4173,151,41,Blair Waterway,11,1.846150681,-0.402765798,10.37935948,0.0306167,-0.634474258,1.748981553,-0.888884272,0.72530644,-0.334143647,0.721692441,1.575251713,1.148472077,-0.448114261,-2.088501216,0.258518245
47.27568,-122.4173,152,41,Blair Waterway,11,1.209341554,-0.431333602,2.297298231,-0.515235331,0.089127897,-1.855063931,-1.492852906,-2.666895988,1.812614855,0.389003976,-0.333001025,0.028001476,0.227126406,1.738171979,1.63728222
47.2632444,-122.385731,141,42,Blair Waterway Two,11,4.617517366,1.855029553,3.072290405,-5.533749923,-5.177087787,-3.946402251,-4.292116226,-4.987876597,-2.371046704,3.23627346,-3.319427012,-0.041576776,-0.662963564,-2.411882049,-1.12024573
47.2632444,-122.385731,142,42,Blair Waterway Two,11,0.040740314,0.035005619,8.054382955,-2.849102671,-3.634672667,0.492525329,-3.567353865,-1.372502956,-1.560862792,0.037872966,-0.633940953,-0.298033993,-1.215433201,-4.783341494,0.086172748
47.2632444,-122.385731,143,42,Blair Waterway Two,11,0.818686662,-1.335310117,6.504398606,-2.483451791,-2.663522406,-0.885167899,-1.60314283,-3.500068515,-0.979544391,-0.258311727,-0.801499889,-0.529905808,0.018415655,-2.088501216,-0.775554736
47.2632444,-122.385731,144,42,Blair Waterway Two,11,2.217805274,-1.518787843,4.622274754,-3.65913309,-3.801820533,-1.623611469,-1.624150435,-1.61055225,-2.252036638,0.349508715,-1.421289951,-0.535890618,-1.546914983,-2.896953299,-1.981973214
47.68234,-122.5064,96,23,Brackenwood Lane,10,-0.920048767,-1.688652273,-1.13480997,-0.27729983,0.076433122,-1.069778791,1.01755585,-2.101528917,-0.714060397,-1.30435052,-0.600498419,-0.95242447,2.148493032,1.037513507,-0.947900233
47.68234,-122.5064,97,23,Brackenwood Lane,10,-0.25162083,0.455475408,0.415174379,-0.230062635,-1.288255153,2.630705219,0.193007368,-3.05372609,-0.082391584,0.101927289,-0.202221214,-0.050146963,-0.245542061,-3.48981816,-1.292591227
47.68234,-122.5064,98,23,Brackenwood Lane,10,-0.576025156,-0.775756701,3.183003573,2.888467001,1.808211964,4.391397164,2.430317263,-0.866648208,0.878843566,-0.675890929,2.10194176,0.713025416,0.478807019,-1.711223577,-0.947900233
47.68234,-122.5064,99,23,Brackenwood Lane,10,-0.116242804,-0.684151959,3.293716741,1.16693367,1.613558753,-0.52696766,1.642532089,1.335307754,0.073236964,-0.400197381,1.228331187,0.414066903,0.515638328,1.845965591,-0.258518245
47.78184,-122.83474,269,30,Broad Spit,12,-0.922962603,-1.56881503,0.85802705,-5.644844808,-4.672470495,-5.607900284,-0.305923243,-7.279101045,-2.082676159,-1.245888816,-3.533555569,-2.389722193,-0.798011698,0.714132674,-3.705428183
47.78184,-122.83474,270,30,Broad Spit,12,-0.552787452,-0.230420127,-1.024096802,-1.300772389,-1.267097195,-0.794240146,0.187755467,-0.628598915,-0.892575497,-0.391603789,-0.817089354,-0.604346572,-0.515638328,-0.525493854,-1.292591227
47.78184,-122.83474,271,30,Broad Spit ,12,2.273570897,-0.694345166,4.068708915,-0.216941192,-0.22295198,-0.102638145,-0.400457464,-1.342746795,-1.167214111,0.789612865,0.087965604,0.438789235,2.928089075,-0.09431941,0.258518245
47.78184,-122.83474,272,30,Broad Spit,12,-0.814967783,-0.444745716,1.190166553,0.062982927,0.462565851,-1.006404903,-0.5632664,-0.777379723,0.855957015,-0.629856749,0.03208876,-0.298883995,0.300789024,1.306997535,0.947900233
47.30515,-122.44441,194,54,Browns Point Lighthouse,11,-0.37931062,-1.188313343,5.175840593,-0.042863381,-0.799506329,1.947369378,0.466106228,-2.205675483,-0.796451982,-0.783811981,0.534974146,-0.124418917,1.104939273,-2.411882049,-1.12024573
47.30515,-122.44441,195,54,Browns Point Lighthouse,11,7.286054667,-1.486464647,4.290135251,-2.503571337,-1.899720132,-2.937930808,-2.128332946,-2.800798716,-1.423543484,2.89979501,-1.343394596,0.778200207,2.418589299,0.929719896,0.430863742
47.30515,-122.44441,196,54,Browns Point Lighthouse,11,6.90245551,-1.357440106,4.732987922,0.256305521,0.35783396,-0.124681237,-0.29541944,-0.301281137,-0.251752063,2.772507702,0.624856218,1.69868196,1.430282504,0.444648646,0.603209239
47.30515,-122.44441,197,54,Browns Point Lighthouse,11,6.938832504,-1.483648103,7.27939078,1.031345425,0.834945908,1.073911871,0.938777333,-2.666895988,0.041195792,2.7275922,1.218953017,1.973272609,2.639577153,-0.09431941,-0.258518245
48.520971,-122.600717,214,64,Cap Sante,7,-0.898665322,0.238467395,7.722243451,-4.261844708,-4.44925404,-1.835776226,-0.458228376,-3.96128902,-0.801029292,-0.330098963,-1.149311173,-0.739705068,-4.505696815,-3.705405382,-3.360737189
48.520971,-122.600717,215,64,Cap Sante,7,1.613776347,-1.032464572,2.629437734,-4.165620793,-3.312013811,-4.49196877,-2.485462225,-5.047388921,-1.405234243,0.290655887,-2.611178718,-1.160261416,1.141770583,1.037513507,-0.603209239
48.520971,-122.600717,216,64,Cap Sante,7,-0.672751162,4.052068025,-0.13839146,-4.165620793,-3.312013811,-4.49196877,-2.485462225,-5.047388921,-1.405234243,1.689658432,-3.006582889,-0.658462229,1.141770583,1.037513507,-0.603209239
48.520971,-122.600717,217,64,Cap Sante,7,8.319825689,-0.08664226,6.061545935,-4.910043996,-4.673528393,-3.293375661,-3.120942266,-6.579831246,-2.448860978,4.116591715,-2.709290944,0.703650386,1.362758437,-2.357985243,-1.63728222
47.1905742,-122.5834897,127,56,Chambers Bay Park,13,18.45813459,0.40303404,6.172259103,-1.905233533,-2.453000727,0.39057603,-1.203998342,-2.622261746,-1.455584656,9.430584313,-0.439606267,4.495489023,0.417421503,-3.00474691,-0.947900233
47.1905742,-122.5834897,128,56,Chambers Bay Park,13,1.160141521,0.254696054,8.718661961,-5.989501379,-6.12708009,-2.907621557,-3.583109568,-5.865683366,-1.872119888,0.707418788,-2.518064841,-0.905323027,-4.088275312,-5.591793577,-2.843700699
47.1905742,-122.5834897,129,56,Chambers Bay Park,13,1.972388057,-0.527632583,10.49007265,-1.882489699,-2.640248653,0.947164094,0.686686077,-4.660558819,-1.043626735,0.722377737,0.270999844,0.496688791,-0.503361225,-3.759302188,-2.671355202
47.1905742,-122.5834897,130,56,Chambers Bay Park,13,1.696471073,-0.653840581,14.47574668,0.281673645,-0.655632216,2.594885195,0.245526379,0.650916036,-0.160205858,0.521315246,2.490415695,1.505865471,-1.448698159,-2.735262882,-0.775554736
48.8208,-122.7101,33,75,"Cherry Point Aquatic Reserve, Conoco Phillips",7,1.592987563,-1.231500351,2.186585063,-3.844582819,-3.871641794,-2.025897892,-2.186103859,-4.928364274,-1.885851819,0.180743606,-2.365122485,-1.092189439,0.337620334,-2.573572466,-1.464936724
48.8208,-122.7101,34,75,"Cherry Point Aquatic Reserve, Conoco Phillips",7,0.63213361,-0.379831082,5.618693264,-5.930892267,-5.415114812,-4.57738575,-3.451812039,-6.222757306,-3.240735649,0.126151264,-3.317143508,-1.595496122,0.76731894,-1.980707604,-2.154318711
48.8208,-122.7101,35,75,"Cherry Point Aquatic Reserve, Conoco Phillips",7,1.519735322,-1.578874116,7.27939078,0.99635491,0.338791798,2.255972661,0.403083414,0.338476339,-0.617936882,-0.029569397,1.570590432,0.770510517,1.111077825,-1.495636354,-0.086172748
48.8208,-122.7101,36,75,"Cherry Point Aquatic Reserve, Conoco Phillips",7,1.392254565,-1.492768341,8.165096122,-2.261262022,-3.030612973,0.770819361,-1.65040994,-3.217384979,-1.826346786,-0.050256888,-0.435728745,-0.242992817,0.577023843,-4.136579827,-1.12024573
48.04906,-122.7724,100,8,Chimacum Creek delta,9,0.595150243,-1.340406721,4.84370109,1.379501048,0.960835756,1.842664692,1.406196536,0.159939369,-0.782720051,-0.372628239,1.401445491,0.514408626,1.915228074,-0.57939066,-0.603209239
48.04906,-122.7724,101,8,Chimacum Creek delta,9,-0.457615671,-1.308485888,3.183003573,-4.425425365,-4.953871333,-1.036714154,-2.858347208,-4.928364274,-1.304533418,-0.88305078,-2.332036026,-1.607543403,-2.940366178,-5.430103161,-2.154318711
48.04906,-122.7724,102,8,Chimacum Creek delta,9,0.406556424,-1.688652273,8.607948793,-1.839626318,-2.310184512,0.222497456,-1.235509749,-1.179087906,-1.611213204,-0.641047925,0.093546366,-0.273750779,0.018415655,-2.681366077,-0.947900233
48.04906,-122.7724,103,8,Chimacum Creek delta,9,0.71907385,-1.397005844,9.715080471,-0.039364329,-1.958962413,4.978294479,-1.645158039,3.343848666,-1.290801488,-0.338965997,1.871848192,0.766441098,-2.277402614,-6.076864827,-0.086172748
48.68975,-122.50434,25,74,"Chuckanut, Clark's Point",7,1.895657954,-1.346710415,8.386522458,2.052193696,1.015846447,3.818276781,1.280150908,2.1536022,-0.718637708,0.27447377,2.569707826,1.422090798,0.64454791,-1.980707604,-0.430863742
