latitude,longitude,sample_id,site_number,site_name,reporting_area,p450_ibr2,sod_ibr2,shell_ibr2,weight_initial_g_ibr2,weight_change_g_ibr2,weight_final_g_ibr2,length_mm_ibr2,height_mm_ibr2,width_mm_ibr2,ibr2_biomarkers,ibr2_morphometrics,ibr2_overall,ci1_2,ci2_2,ci3_2
47.40301418,-122.3305538,1,21,Des Moines Marina,11,2.135800697,0.040646535,2.834338307,-0.685066544,-0.961158459,-0.051313354,-0.837316067,-0.656804608,0.114667081,1.088223616,-0.034664806,0.526779405,-1.293827021,-1.604402425,-0.608970436
47.40301418,-122.3305538,2,21,Des Moines Marina,11,5.730274584,0.119931601,6.436734717,-0.045791409,-0.3809418,0.631128203,-0.06601247,-0.507672058,0.032762023,2.925103093,0.871458172,1.898280633,-0.189652242,-1.759667176,-0.34983408
47.40301418,-122.3305538,3,21,Des Moines Marina,11,1.089691724,0.255316545,3.717944974,-0.719804854,-1.269134603,0.465727291,0.010423022,-0.68787389,0.237524667,0.672504134,0.250686658,0.461595396,-2.520687887,-3.208804851,-1.256811325
47.40301418,-122.3305538,4,21,Des Moines Marina,11,9.838395939,3.692934854,4.601551641,-0.877255117,-1.336057689,0.145344423,-2.400769305,-1.129057685,-0.493770491,6.765665396,-0.212859175,3.276403111,-0.353233691,-2.743010598,-0.220265902
47.7296079,-122.5506191,5,34,Suquamish Stormwater Outfall,10,2.113243408,-0.686995785,4.669521384,-1.12583705,-1.211957597,-0.821013659,-2.081129976,-0.830792584,-1.587788048,0.713123812,-0.426999647,0.143062082,0.771388769,-0.51754917,-0.220265902
47.7296079,-122.5506191,6,34,Suquamish Stormwater Outfall,10,-0.215933501,0.459222003,5.34921882,0.657546584,0.192127734,1.512832275,0.093807194,0.070216576,-0.037442312,0.121644251,1.119758124,0.620701188,0.464673553,-2.225461429,0.168438631
47.7296079,-122.5506191,7,34,Suquamish Stormwater Outfall,10,2.500606913,-0.311478525,4.737491128,0.125644407,-0.270486221,0.904625773,-1.77538801,5.743467354,5.321488609,1.094564194,2.112406149,1.603485171,-8.491410767,-2.070196678,0.686711342
47.7296079,-122.5506191,8,34,Suquamish Stormwater Outfall,10,0.132816056,2.185897561,4.261702923,-0.312870364,-0.679821602,0.459215444,-5.006524701,2.667608498,3.010595909,1.159356808,0.628558015,0.893957412,-5.01530498,-2.018441761,2.371097654
47.2619,-122.7376,9,50,Pennrose Point State Park,13,3.756553417,-0.284153124,3.853884461,1.277422403,0.842516172,1.998616055,-8.098687771,0.84694861,1.050724884,1.736200147,0.253060688,0.994630417,4.078801186,-1.966686844,8.201665656
47.2619,-122.7376,10,50,Pennrose Point State Park,13,0.616063837,0.20998122,1.882761897,-1.925269329,-2.3301579,-0.887434497,-4.422835493,1.636108357,1.419297644,0.413022528,-0.661075617,-0.124026545,-6.860708199,-2.846520432,-0.479402258
47.2619,-122.7376,11,50,Pennrose Point State Park,13,4.816073429,0.74675975,2.49448959,-0.461297689,-0.493996334,-0.341741726,1.177801439,2.543331373,2.899439044,2.781416589,1.116860814,1.949138702,-6.395523454,-0.207019668,-0.997674969
47.2619,-122.7376,12,50,Pennrose Point State Park,13,5.952782754,-0.182096889,1.882761897,-0.812289965,-0.708410105,-0.925203209,0.72613717,2.692463924,3.466924087,2.885342932,0.903197686,1.894270309,-7.075408851,0.569304086,-0.997674969
48.02667,-122.75076,13,9,S of Skunk Island,9,0.704621267,1.067833217,1.950731641,-1.973090899,-1.848701523,-1.990541365,-4.589603838,-0.824578728,-0.844792167,0.886227242,-1.445796697,-0.279784727,-1.007559486,0.931588505,0.298006809
48.02667,-122.75076,14,9,S of Skunk Island,9,4.120143593,0.8842148,2.49448959,-0.333623121,-0.468006786,-0.025265966,-2.088078657,-0.215620813,-0.53472302,2.502179196,-0.167261253,1.167458972,0.720269567,-0.776323754,0.686711342
48.02667,-122.75076,15,9,S of Skunk Island,9,2.395752675,-0.590528837,1.474943436,-0.036317324,0.076474245,-0.258390086,-1.462697362,0.815879329,0.102966358,0.902611919,0.101836942,0.502224431,-0.307226408,0.569304086,0.945847698
48.02667,-122.75076,16,9,S of Skunk Island,9,-0.394185241,3.839084349,0.319457795,-1.650520877,-1.372443056,-2.013984013,-3.81135156,-0.588452189,-0.914996502,1.722449554,-1.433184343,0.144632606,-0.123197279,1.914931927,0.557143165
47.94968,-122.30158,17,65,Mukilteo,8.2,7.412558431,0.782986608,1.814792154,-2.223026273,-2.312614955,-1.782162263,-3.630685852,-1.508102918,-1.4590801,4.097772519,-1.58584003,1.255966245,-1.304050862,-0.621059003,-0.868106791
47.94968,-122.30158,18,65,Mukilteo,8.2,3.113010454,0.531882729,2.154640872,-1.392013712,-1.302271277,-1.40838225,-2.470256116,-0.930214284,-0.341661098,1.822446592,-0.812879695,0.504783448,-0.685508509,0.569304086,-0.090697724
47.94968,-122.30158,19,65,Mukilteo,8.2,6.395987672,-0.736885343,2.49448959,-0.736948436,-0.940366821,-0.242761653,-0.642752998,-0.501458201,-0.136898454,2.829551164,-0.10095671,1.364297227,-1.2631555,-1.19036309,-0.608970436
47.94968,-122.30158,20,65,Mukilteo,8.2,1.281756302,2.548580162,0.047578821,-1.693830978,-1.484198113,-1.91500394,-3.304097842,-0.905358859,-0.973500115,1.915168232,-1.461201575,0.226983328,-0.174316481,1.449137675,0.038870453
47.8111,-122.388,21,68,Edmonds Marina,9,0.530946311,0.663127461,-0.088360667,-1.907674601,-1.76033706,-1.97882004,-3.992017267,-1.57024148,-1.950510447,0.597036886,-1.892565937,-0.647764526,1.568848332,1.086853256,0.168438631
47.8111,-122.388,22,68,Edmonds Marina,9,3.213180807,1.567349836,2.902308051,-0.177977446,-0.121696059,-0.27011141,-0.059063789,-0.538741339,0.038612384,2.390265322,0.253332913,1.321799118,0.526016596,0.258774585,-0.090697724
47.8111,-122.388,23,68,Edmonds Marina,9,33.80612133,4.024358852,2.630429077,-0.83484731,-1.147633466,-0.109919976,-1.51133813,-1.135271541,0.044462746,18.91524009,-0.294874086,9.310183002,-0.777523074,-1.86317701,-0.479402258
47.8111,-122.388,24,68,Edmonds Marina,9,2.279548945,2.04471632,-0.360239641,-1.216066427,-1.17557223,-1.154420221,-1.101365947,-1.023422128,0.29602828,2.162132632,-0.819294045,0.671419294,-1.45229655,0.258774585,-0.738538614
48.68975,-122.50434,25,74,"Chuckanut, Clark's Point",7,1.677864923,-0.264694126,4.261702923,1.394269446,1.031590134,1.956940234,1.546081535,1.462120381,-0.177850983,0.706585398,1.63926481,1.172925104,0.111951054,-1.604402425,0.168438631
48.68975,-122.50434,26,74,"Chuckanut, Clark's Point",7,0.31832213,0.960808728,1.74682241,-0.287606139,-0.185370451,-0.45895497,-3.241559713,0.070216576,-0.324110014,0.639565429,-0.382937472,0.128313979,1.384819202,0.51754917,1.723256765
48.68975,-122.50434,27,74,"Chuckanut, Clark's Point",7,0.852517226,2.049477564,-2.671210923,-1.505702727,-1.266535648,-1.808209651,0.608009592,-0.992352847,-0.716084219,1.450997395,-1.193155203,0.128921096,-1.360281985,1.604402425,-1.51594768
48.68975,-122.50434,28,74,"Chuckanut, Clark's Point",7,-0.538178959,3.365651068,-0.292269897,-1.114558378,-1.459508042,-0.292251689,-3.623737171,-0.476602776,-0.505471214,1.413736055,-1.109199881,0.152268087,-1.099574051,-2.121951595,0.298006809
47.58766,-122.35065,29,14,"Elliott Bay, Harbor Island, Pier 17",10,3.341177071,-0.537534119,1.542913179,-1.156966185,-1.501741058,-0.330020402,-0.59411223,-1.700732462,-1.125609508,1.401821476,-0.695181238,0.353320119,-0.031182714,-2.121951595,-1.256811325
47.58766,-122.35065,30,14,"Elliott Bay, Harbor Island, Pier 17",10,6.859765497,0.563141332,-0.15633041,-1.460136892,-1.699911361,-0.807989965,-1.504389449,-1.191196248,-1.950510447,3.711453415,-1.252923539,1.229264938,-0.041406554,-1.552647509,-1.127243147
47.58766,-122.35065,31,14,"Elliott Bay, Harbor Island, Pier 17",10,4.455789447,1.947835351,5.009370102,0.353022437,-0.348454865,1.717304268,1.163904077,-1.029635985,-0.435266878,3.201812399,0.918606165,2.060209282,0.699821885,-3.467579436,-0.868106791
47.58766,-122.35065,32,14,"Elliott Bay, Harbor Island, Pier 17",10,4.822358523,-0.591149869,3.64997523,1.00853886,0.546235325,1.816284341,2.025540528,1.269490837,-0.335810737,2.115604327,1.425750626,1.770677477,-0.741739632,-2.121951595,-0.479402258
48.8208,-122.7101,33,75,"Cherry Point Aquatic Reserve, Conoco Phillips",7,1.45439616,-0.086872006,0.455397282,-1.646911702,-1.97020266,-0.805385226,-3.040047962,-1.495675205,-1.669693106,0.683762077,-1.45321694,-0.384727431,-0.14364496,-2.173706512,-0.608970436
48.8208,-122.7101,34,75,"Cherry Point Aquatic Reserve, Conoco Phillips",7,0.744974792,1.227645414,2.562459333,-2.722897021,-2.918171424,-2.011379275,-4.714680097,-2.036280701,-3.401400041,0.986310103,-2.177478461,-0.595584179,0.214189459,-1.604402425,-1.127243147
48.8208,-122.7101,35,75,"Cherry Point Aquatic Reserve, Conoco Phillips",7,1.400312286,-0.623029504,3.582005487,0.849735157,0.615757366,1.218496794,0.385651799,0.704029916,-0.049143035,0.388641391,1.043790498,0.716215944,0.500456995,-1.138608173,0.427574987
48.8208,-122.7101,36,75,"Cherry Point Aquatic Reserve, Conoco Phillips",7,1.306190205,-0.490128688,4.125763436,-0.830335841,-1.453660394,0.516519697,-2.331282494,-0.781081734,-1.593638409,0.408030759,-0.335387963,0.036321398,0.055719931,-3.674599103,-0.34983408
47.29,-122.41,37,45,Comm Bay Skookum,11,3.015562223,0.839086485,0.319457795,-0.838456485,-1.162577456,-0.090384435,-2.623127099,-0.68787389,0.15561961,1.927324354,-0.703905994,0.61170918,-1.099574051,-1.914931927,0.168438631
47.29,-122.41,38,45,Comm Bay Skookum,11,2.893508459,0.060726565,1.74682241,-1.186290733,-1.516035309,-0.386022285,-3.234611032,-0.631949183,-1.055405173,1.477117512,-0.894784472,0.29116652,-0.603717784,-2.070196678,0.038870453
47.29,-122.41,39,45,Comm Bay Skookum,11,2.916560679,2.793266711,-0.15633041,-1.453369688,-1.55047146,-1.087999382,-2.261795684,-1.023422128,-1.026153366,2.854913695,-1.222791731,0.816060982,-0.613941625,-0.621059003,-0.479402258
47.29,-122.41,40,45,Comm Bay Skookum,11,1.849505605,0.649050739,2.630429077,-1.872936291,-2.122241516,-1.153117851,-4.388092087,-0.861861865,-1.675543467,1.249278172,-1.349052,-0.049886914,-0.987111805,-1.759667176,-0.090697724
48.21423,-122.718972,41,3,Penn Cove Reference,8.1,-0.034531231,-0.037810489,-1.719634513,0.146848311,0.450073998,-0.478490511,-0.649701679,0.461689521,0.10881672,-0.03617086,-0.240056879,-0.13811387,0.710045726,1.500892592,0.81627952
48.21423,-122.718972,42,3,Penn Cove Reference,8.1,0.759194086,1.185208237,-0.360239641,-0.008346217,-0.121696059,0.219579478,0.98323837,0.014291869,-0.002340145,0.972201162,0.103498236,0.537849699,-0.654836987,-0.621059003,-0.608970436
48.21423,-122.718972,43,3,Penn Cove Reference,8.1,-0.609590083,3.405190096,-0.971967333,1.103279706,1.255749986,0.667594546,0.865110792,0.859376323,2.653723871,1.397800006,0.918981127,1.158390567,-1.283603181,0.621059003,0.686711342
48.21423,-122.718972,44,3,Penn Cove Reference,8.1,0.997949172,2.703010082,-0.496179128,0.101733622,0.046586265,0.200043937,-1.789285372,0.915301029,0.2024225,1.850479627,-0.117053878,0.866712874,-0.470807857,-0.310529502,1.075415876
47.6427936,-122.6967068,45,35,"Silverdale, Dyes Inlet",10,-0.607772674,1.494068078,1.814792154,1.127641638,1.041985953,1.166402019,0.98323837,1.089289005,1.003921994,0.443147702,1.175324447,0.809236075,-0.460584017,-0.414039336,0.427574987
47.6427936,-122.6967068,46,35,"Silverdale, Dyes Inlet",10,0.018492932,1.620758576,-0.292269897,0.343097206,0.365607967,0.25734819,-2.456358753,0.585966647,1.290589696,0.819625754,0.013425865,0.416525809,-0.14364496,0.051754917,1.852824943
47.6427936,-122.6967068,47,35,"Silverdale, Dyes Inlet",10,-0.251627754,2.718535879,-0.496179128,-1.429458903,-1.428970323,-1.26251688,-1.685055156,-1.514316774,-0.575675549,1.233454062,-1.198881816,0.017286123,-0.276554887,5.7459500436204e-15,-0.738538614
47.6427936,-122.6967068,48,35,"Silverdale, Dyes Inlet",10,-0.363235409,14.3902085,-0.15633041,-0.991846426,-0.931920218,-0.995531156,-3.741864749,-1.010994416,-0.382613627,7.013486544,-1.173014429,2.920236058,1.205901993,0.362284419,1.075415876
48.69368,-122.90985,49,60,"Eastsound, Fishing Bay",7,2.472002683,-0.792467694,-4.302484769,-0.912444574,-0.993645394,-0.642589053,-0.177191367,-0.700301602,-0.25975604,0.839767494,-1.141201829,-0.150717167,-1.191588616,-0.51754917,-0.868106791
48.69368,-122.90985,50,60,"Eastsound, Fishing Bay",7,-0.966160085,1.228887477,-3.622787333,-2.140466393,-2.111845697,-1.946260805,-3.213764989,-1.377611936,-1.804251415,0.131363696,-2.316712653,-1.092674478,-0.567934342,0.258774585,-0.738538614
48.69368,-122.90985,51,60,"Eastsound, Fishing Bay",7,2.272874026,1.851161393,-1.243846308,-1.889177579,-2.076759807,-1.291169006,-3.887787051,-0.625735327,-1.09050734,2.062017709,-1.729283203,0.166367253,-2.040167381,-1.293872924,-0.34983408
48.69368,-122.90985,52,60,"Eastsound, Fishing Bay",7,-0.729153225,0.942798804,-2.059483231,-1.536380715,-1.720053261,-0.98771694,-3.22071367,-0.88671729,-1.693094551,0.10682279,-1.729165665,-0.811171438,-0.112973438,-1.19036309,-0.220265902
47.54167,-122.64034,53,25,Kitsap St Boat Launch,10,1.099544448,-0.460940191,1.814792154,-0.639951856,-0.265288311,-1.315914024,-3.901684413,-1.880934294,-1.757448525,0.319302128,-1.135204181,-0.407951027,7.32998248,2.121951595,2.111961298
47.54167,-122.64034,54,25,Kitsap St Boat Launch,10,-0.586797303,3.597502959,1.74682241,-0.336781149,-0.362749116,-0.245366392,5.882058514,0.461689521,0.313579364,1.505352828,1.065607593,1.285480211,-3.742436832,-0.155264751,-2.552493103
47.54167,-122.64034,55,25,Kitsap St Boat Launch,10,-0.556642421,1.292025716,2.49448959,1.243586387,1.230410176,1.12342383,2.824638849,0.716457628,1.12677958,0.367691647,1.537112292,0.952401969,-0.455472096,-0.103509834,-0.220265902
47.54167,-122.64034,56,25,Kitsap St Boat Launch,10,2.652820215,1.299271087,2.69839882,-0.703563566,-0.561569159,-0.905667669,-0.52462542,1.629894501,3.952504073,1.976045651,0.797910226,1.386977938,-5.966122151,0.776323754,-0.34983408
47.61889,-122.5275,57,31,Eagle Harbor Dr,10,0.664555122,1.547476817,1.950731641,-1.494875202,-1.460157781,-1.38884671,-3.35273861,-1.856078869,-3.038677643,1.106015969,-1.520091882,-0.207037956,4.636000496,0.258774585,0.168438631
47.61889,-122.5275,58,31,Eagle Harbor Dr,10,-0.620965518,-0.420780131,3.242156769,-0.454530486,-0.194466793,-0.922598471,-2.685665228,-2.831654304,-1.125609508,-0.520872825,-0.710338289,-0.615605557,7.989420196,1.397382758,1.334552232
47.61889,-122.5275,59,31,Eagle Harbor Dr,10,0.096928221,1.803962972,4.737491128,0.663411494,0.751552754,0.409725408,-0.455138609,-1.427322786,-0.885744696,0.950445596,0.541996385,0.746220991,6.072450093,0.362284419,0.945847698
47.61889,-122.5275,60,31,Eagle Harbor Dr,10,-0.210031579,4.338807979,2.086671128,-1.680296571,-1.866244468,-1.110139662,-3.61678849,-2.514747634,-1.36547432,2.0643882,-1.438145717,0.313121242,1.890899309,-1.242118007,-0.220265902
48.482448,-122.583879,61,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,0.823287679,0.447422397,0.795246,-0.857855801,-0.514138233,-1.446150963,-1.045776499,-0.041632837,-2.371736458,0.635355038,-0.783149256,-0.073897109,2.310076772,2.018441761,0.038870453
48.482448,-122.583879,62,63,"Fidalgo Bay Aq Reserve, Weaverling Spit",7,-0.13448738,2.007454409,1.135094718,-1.463746067,-1.481599158,-1.256005033,-1.747593286,-1.595096906,-1.22506565,0.936483514,-1.090573054,-0.07704477,0.500456995,-0.103509834,-0.738538614
