latitude,longitude,site_name,analyte,dry_value,units,qualifier,class
48.6793778,-122.6300583,Aiston Preserve,mercury ,0.033053892,mg/Kg,D,metal
48.6793778,-122.6300583,Aiston Preserve,arsenic,7.245508982,mg/Kg,D,metal
48.6793778,-122.6300583,Aiston Preserve,cadmium,1.652694611,mg/Kg,D,metal
48.6793778,-122.6300583,Aiston Preserve,copper,4.94011976,mg/Kg,D,metal
48.6793778,-122.6300583,Aiston Preserve,lead,0.177245509,mg/Kg,D,metal
48.6793778,-122.6300583,Aiston Preserve,zinc,77.24550898,mg/Kg,D,metal
47.50159,-122.38577,Arroyo Beach,mercury ,0.036,mg/Kg,D,metal
47.50159,-122.38577,Arroyo Beach,arsenic,9.647058824,mg/Kg,D,metal
47.50159,-122.38577,Arroyo Beach,cadmium,1.952941176,mg/Kg,D,metal
47.50159,-122.38577,Arroyo Beach,copper,5.623529412,mg/Kg,D,metal
47.50159,-122.38577,Arroyo Beach,lead,0.242352941,mg/Kg,D,metal
47.50159,-122.38577,Arroyo Beach,zinc,104.1176471,mg/Kg,D,metal
47.2758,-122.4174,Blair Waterway,mercury ,0.032057143,mg/Kg,D,metal
47.2758,-122.4174,Blair Waterway,arsenic,8.114285714,mg/Kg,D,metal
47.2758,-122.4174,Blair Waterway,cadmium,1.622857143,mg/Kg,D,metal
47.2758,-122.4174,Blair Waterway,copper,5.828571429,mg/Kg,D,metal
47.2758,-122.4174,Blair Waterway,lead,0.255428571,mg/Kg,D,metal
47.2758,-122.4174,Blair Waterway,zinc,98.85714286,mg/Kg,D,metal
47.2632,-122.3856,Blair Waterway Two,mercury ,-0.0236,mg/Kg,U,metal
47.2632,-122.3856,Blair Waterway Two,arsenic,8.373493976,mg/Kg,D,metal
47.2632,-122.3856,Blair Waterway Two,cadmium,1.704819277,mg/Kg,D,metal
47.2632,-122.3856,Blair Waterway Two,copper,8.13253012,mg/Kg,D,metal
47.2632,-122.3856,Blair Waterway Two,lead,0.184939759,mg/Kg,D,metal
47.2632,-122.3856,Blair Waterway Two,zinc,85.54216867,mg/Kg,D,metal
47.68203,-122.50668,Brackenwood Lane,mercury ,0.037455621,mg/Kg,D,metal
47.68203,-122.50668,Brackenwood Lane,arsenic,8.698224852,mg/Kg,D,metal
47.68203,-122.50668,Brackenwood Lane,cadmium,1.857988166,mg/Kg,D,metal
47.68203,-122.50668,Brackenwood Lane,copper,6.213017751,mg/Kg,D,metal
47.68203,-122.50668,Brackenwood Lane,lead,0.220118343,mg/Kg,D,metal
47.68203,-122.50668,Brackenwood Lane,zinc,90.53254438,mg/Kg,D,metal
47.80934,-122.81556,Broad Spit,mercury ,-0.0257,mg/Kg,U,metal
47.80934,-122.81556,Broad Spit,arsenic,7.712418301,mg/Kg,D,metal
47.80934,-122.81556,Broad Spit,cadmium,2.058823529,mg/Kg,D,metal
47.80934,-122.81556,Broad Spit,copper,5.058823529,mg/Kg,D,metal
47.80934,-122.81556,Broad Spit,lead,0.069934641,mg/Kg,D,metal
47.80934,-122.81556,Broad Spit,zinc,67.97385621,mg/Kg,D,metal
47.304906,-122.44427,Browns Point Lighthouse,mercury ,0.032954545,mg/Kg,D,metal
47.304906,-122.44427,Browns Point Lighthouse,arsenic,8.465909091,mg/Kg,D,metal
47.304906,-122.44427,Browns Point Lighthouse,cadmium,1.710227273,mg/Kg,D,metal
47.304906,-122.44427,Browns Point Lighthouse,copper,6.931818182,mg/Kg,D,metal
47.304906,-122.44427,Browns Point Lighthouse,lead,0.260795455,mg/Kg,D,metal
47.304906,-122.44427,Browns Point Lighthouse,zinc,90.34090909,mg/Kg,D,metal
48.52093,-122.600725,Cap Sante,mercury ,0.029634146,mg/Kg,D,metal
48.52093,-122.600725,Cap Sante,arsenic,7.743902439,mg/Kg,D,metal
48.52093,-122.600725,Cap Sante,cadmium,1.902439024,mg/Kg,D,metal
48.52093,-122.600725,Cap Sante,copper,5.298780488,mg/Kg,D,metal
48.52093,-122.600725,Cap Sante,lead,0.179878049,mg/Kg,D,metal
48.52093,-122.600725,Cap Sante,zinc,81.09756098,mg/Kg,D,metal
47.2009,-122.58342,Chambers Bay Park,mercury ,0.029244186,mg/Kg,D,metal
47.2009,-122.58342,Chambers Bay Park,arsenic,8.081395349,mg/Kg,D,metal
47.2009,-122.58342,Chambers Bay Park,cadmium,1.790697674,mg/Kg,D,metal
47.2009,-122.58342,Chambers Bay Park,copper,5.372093023,mg/Kg,D,metal
47.2009,-122.58342,Chambers Bay Park,lead,0.229069767,mg/Kg,D,metal
47.2009,-122.58342,Chambers Bay Park,zinc,83.72093023,mg/Kg,D,metal
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips",mercury ,0.033045977,mg/Kg,D,metal
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips",arsenic,7.931034483,mg/Kg,D,metal
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips",cadmium,1.902298851,mg/Kg,D,metal
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips",copper,5.304597701,mg/Kg,D,metal
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips",lead,0.192528736,mg/Kg,D,metal
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips",zinc,73.56321839,mg/Kg,D,metal
48.04887,-122.7711,Chimacum Creek delta,mercury ,0.032647059,mg/Kg,D,metal
48.04887,-122.7711,Chimacum Creek delta,arsenic,8.352941176,mg/Kg,D,metal
48.04887,-122.7711,Chimacum Creek delta,cadmium,1.835294118,mg/Kg,D,metal
48.04887,-122.7711,Chimacum Creek delta,copper,30.47058824,mg/Kg,D,metal
48.04887,-122.7711,Chimacum Creek delta,lead,0.291764706,mg/Kg,D,metal
48.04887,-122.7711,Chimacum Creek delta,zinc,94.70588235,mg/Kg,D,metal
48.691084,-122.504012,"Chuckanut, Clark's Point",mercury ,0.035138122,mg/Kg,D,metal
48.691084,-122.504012,"Chuckanut, Clark's Point",arsenic,7.513812155,mg/Kg,D,metal
48.691084,-122.504012,"Chuckanut, Clark's Point",cadmium,1.602209945,mg/Kg,D,metal
48.691084,-122.504012,"Chuckanut, Clark's Point",copper,9.889502762,mg/Kg,D,metal
48.691084,-122.504012,"Chuckanut, Clark's Point",lead,0.238121547,mg/Kg,D,metal
48.691084,-122.504012,"Chuckanut, Clark's Point",zinc,87.29281768,mg/Kg,D,metal
47.28915,-122.4096,Commencement Bay Skookum,mercury ,0.033961039,mg/Kg,D,metal
47.28915,-122.4096,Commencement Bay Skookum,arsenic,8.441558442,mg/Kg,D,metal
47.28915,-122.4096,Commencement Bay Skookum,cadmium,1.974025974,mg/Kg,D,metal
47.28915,-122.4096,Commencement Bay Skookum,copper,6.688311688,mg/Kg,D,metal
47.28915,-122.4096,Commencement Bay Skookum,lead,0.292857143,mg/Kg,D,metal
47.28915,-122.4096,Commencement Bay Skookum,zinc,92.20779221,mg/Kg,D,metal
47.2925,-122.4122,"Commencement Bay, Dick Gilmur Launch",mercury ,0.032831325,mg/Kg,D,metal
47.2925,-122.4122,"Commencement Bay, Dick Gilmur Launch",arsenic,7.34939759,mg/Kg,D,metal
47.2925,-122.4122,"Commencement Bay, Dick Gilmur Launch",cadmium,1.608433735,mg/Kg,D,metal
47.2925,-122.4122,"Commencement Bay, Dick Gilmur Launch",copper,5.873493976,mg/Kg,D,metal
47.2925,-122.4122,"Commencement Bay, Dick Gilmur Launch",lead,0.271686747,mg/Kg,D,metal
47.2925,-122.4122,"Commencement Bay, Dick Gilmur Launch",zinc,75.90361446,mg/Kg,D,metal
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",mercury ,0.035512821,mg/Kg,D,metal
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",arsenic,8.141025641,mg/Kg,D,metal
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",cadmium,1.692307692,mg/Kg,D,metal
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",copper,10.64102564,mg/Kg,D,metal
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",lead,0.249358974,mg/Kg,D,metal
47.2694,-122.4243,"Commencement Bay, Milwaukee Waterway",zinc,78.84615385,mg/Kg,D,metal
47.402778,-122.331667,Des Moines Marina,mercury ,0.040853659,mg/Kg,D,metal
47.402778,-122.331667,Des Moines Marina,arsenic,8.536585366,mg/Kg,D,metal
47.402778,-122.331667,Des Moines Marina,cadmium,1.969512195,mg/Kg,D,metal
47.402778,-122.331667,Des Moines Marina,copper,6.463414634,mg/Kg,D,metal
47.402778,-122.331667,Des Moines Marina,lead,0.278658537,mg/Kg,D,metal
47.402778,-122.331667,Des Moines Marina,zinc,93.90243902,mg/Kg,D,metal
48.064974,-122.857218,Discovery Bay,mercury ,0.032568306,mg/Kg,D,metal
48.064974,-122.857218,Discovery Bay,arsenic,8.524590164,mg/Kg,D,metal
48.064974,-122.857218,Discovery Bay,cadmium,1.928961749,mg/Kg,D,metal
48.064974,-122.857218,Discovery Bay,copper,5.628415301,mg/Kg,D,metal
48.064974,-122.857218,Discovery Bay,lead,0.209836066,mg/Kg,D,metal
48.064974,-122.857218,Discovery Bay,zinc,92.34972678,mg/Kg,D,metal
47.337909,-122.59023,Donkey Creek Delta,mercury ,0.030240964,mg/Kg,D,metal
47.337909,-122.59023,Donkey Creek Delta,arsenic,8.915662651,mg/Kg,D,metal
47.337909,-122.59023,Donkey Creek Delta,cadmium,1.93373494,mg/Kg,D,metal
47.337909,-122.59023,Donkey Creek Delta,copper,7.34939759,mg/Kg,D,metal
47.337909,-122.59023,Donkey Creek Delta,lead,0.885542169,mg/Kg,D,metal
47.337909,-122.59023,Donkey Creek Delta,zinc,92.77108434,mg/Kg,D,metal
47.618875,-122.527234,Eagle Harbor Dr,mercury ,0.04597561,mg/Kg,D,metal
47.618875,-122.527234,Eagle Harbor Dr,arsenic,8.536585366,mg/Kg,D,metal
47.618875,-122.527234,Eagle Harbor Dr,cadmium,1.932926829,mg/Kg,D,metal
47.618875,-122.527234,Eagle Harbor Dr,copper,8.475609756,mg/Kg,D,metal
47.618875,-122.527234,Eagle Harbor Dr,lead,0.62804878,mg/Kg,D,metal
47.618875,-122.527234,Eagle Harbor Dr,zinc,79.26829268,mg/Kg,D,metal
48.69395,-122.909933,"Eastsound, Fishing Bay",mercury ,0.03,mg/Kg,D,metal
48.69395,-122.909933,"Eastsound, Fishing Bay",arsenic,9.027027027,mg/Kg,D,metal
48.69395,-122.909933,"Eastsound, Fishing Bay",cadmium,1.72972973,mg/Kg,D,metal
48.69395,-122.909933,"Eastsound, Fishing Bay",copper,6,mg/Kg,D,metal
48.69395,-122.909933,"Eastsound, Fishing Bay",lead,0.206486486,mg/Kg,D,metal
48.69395,-122.909933,"Eastsound, Fishing Bay",zinc,90.81081081,mg/Kg,D,metal
47.8142069,-122.3822018,Edmonds Ferry,mercury ,0.036647727,mg/Kg,D,metal
47.8142069,-122.3822018,Edmonds Ferry,arsenic,8.352272727,mg/Kg,D,metal
47.8142069,-122.3822018,Edmonds Ferry,cadmium,1.732954545,mg/Kg,D,metal
47.8142069,-122.3822018,Edmonds Ferry,copper,6.988636364,mg/Kg,D,metal
47.8142069,-122.3822018,Edmonds Ferry,lead,0.326704545,mg/Kg,D,metal
