,site_name,DryValue,log_concentration,category_5,category_6,category_7,category_8,quantile_category,p42
1,Aiston Preserve,97.40305011,4.589071801,1,1,1,1,1,1
2,Arroyo Beach,408.2263648,6.014268462,2,3,4,4,3,3
3,Blair Waterway,715.0934356,6.573810655,3,4,5,5,4,4
4,Blair Waterway #2,1038.615533,6.946606244,3,4,5,6,5,5
5,Brackenwood Ln,389.3670412,5.967087428,2,3,4,4,3,3
6,Broad Spit,127.2607482,4.854065287,1,1,1,1,1,1
7,Browns Point Lighthouse,438.80107,6.086322511,2,3,4,4,4,4
8,Cap Sante,375.6189781,5.931234008,2,3,4,4,3,3
9,Chambers Bay Park,182.8577513,5.214162368,1,1,2,2,2,2
10,"Cherry Point Aquatic Reserve, Conoco Phillips",325.9808253,5.789901531,2,2,3,3,3,3
11,Chimacum Creek delta,168.4593301,5.132612958,1,1,2,2,2,2
12,"Chuckanut, Clark's Point",206.5735661,5.335485812,1,2,2,2,2,2
13,Comm Bay Skookum,857.3198078,6.754976766,3,4,5,6,5,5
14,"Comm Bay, Dick Gilmur Launch",781.2735849,6.662204532,3,4,5,5,4,4
15,"Comm Bay, Milwaukee Waterway",599.0107817,6.396947625,3,4,5,5,4,4
16,Des Moines Marina,15313.21971,9.636537069,5,6,7,8,5,5
17,Discovery Bay,235.3538124,5.465329887,1,2,3,3,2,2
18,Donkey Creek Delta,522.3567146,6.260263286,2,3,4,5,4,4
19,Eagle Harbor Dr,1031.19294,6.939440886,3,4,5,6,5,5
20,"Eastsound, Fishing Bay",518.0065898,6.25191658,2,3,4,5,4,4
21,Edmonds Ferry,526.1635514,6.267510845,2,3,4,5,4,4
22,Edmonds Marina,702.8476454,6.55656192,3,4,5,5,4,4
23,Eld Inlet,171.5981221,5.150965899,1,1,2,2,2,2
24,Elliot Bay Myrtle Edwards,12078.4217,9.399258598,5,6,7,8,5,5
25,"Elliott Bay, Harbor Island, Pier 17",3195.16749,8.069707712,4,5,6,7,5,5
26,Everett Harbor,372.815402,5.923762098,2,3,4,4,3,3
27,"Fidalgo Bay Aq Reserve, Weaverling Spit",699.5619988,6.551882868,3,4,5,5,4,4
28,Filucy Bay,148.2731137,5.005777606,1,1,1,1,1,1
29,Friday Harbor,532.693683,6.279822047,2,3,4,5,4,4
30,Gig Harbor Boat Launch,418.6468172,6.039413446,2,3,4,4,4,4
31,Hood Canal Holly,88.78341014,4.497400216,1,1,1,1,1,1
32,Jamestown,119.3191046,4.790147418,1,1,1,1,1,1
33,Kingston Marina,273.0109661,5.613168128,2,2,3,3,2,2
34,Kitsap St Boat Launch,758.678184,6.632894901,3,4,5,5,4,4
35,Kopachuck State Park,141.6949476,4.960709118,1,1,1,1,1,1
36,Lions Park,289.592789,5.671922937,2,2,3,3,2,2
37,Locust Beach,147.2050301,4.998596654,1,1,1,1,1,1
38,Madrona Pont,259.1396534,5.561218615,2,2,3,3,2,2
39,"Manchester, Stormwater Outfall",369.4213572,5.914641161,2,3,4,4,3,3
40,Maple Hollow Park,176.6666667,5.179909136,1,1,2,2,2,2
41,Maristone Island,134.0549635,4.905681833,1,1,1,1,1,1
42,Meyer's Point - Henderson Inlet,200.7369403,5.306964573,1,2,2,2,2,2
43,Miller Creek,285.962118,5.659350214,2,2,3,3,2,2
44,Minter Bay,164.4770408,5.108832459,1,1,2,2,1,1
45,Mukilteo,440.1976325,6.089492921,2,3,4,4,4,4
46,N Avenue Park,2333.523573,7.755563112,4,5,6,7,5,5
47,North Camano,165.0462287,5.112266236,1,1,2,2,1,1
48,Oak Bay County Park,141.0699797,4.956319751,1,1,1,1,1,1
49,Penn Cove Reference,160.9309232,5.087169844,1,1,2,2,1,1
50,Pennrose Point State Park,204.6394325,5.326124308,1,2,2,2,2,2
51,Point Defiance Ferry,694.8239772,6.545096722,3,4,5,5,4,4
52,Port Angeles Yacht Club,1983.402062,7.59307292,4,5,6,7,5,5
53,Purdy - Dexters,149.1567745,5.011679912,1,1,1,1,1,1
54,"Purdy, Burley Lagoon",215.4213346,5.377227131,1,2,2,2,2,2
55,Raft Island Park,147.7486631,5.002258057,1,1,1,1,1,1
56,Reach Island,192.6577869,5.266092616,1,1,2,2,2,2
57,Rich Passage,338.9587459,5.828824275,2,3,3,4,3,3
58,Rocky Point,310.5201711,5.741464091,2,2,3,3,3,3
59,S of Skunk Island,294.2841328,5.687938055,2,2,3,3,2,2
60,"Salmon Bay, Commodore Park",1041.764706,6.949630836,3,4,5,6,5,5
61,Salmon Beach,428.6576402,6.062988706,2,3,4,4,4,4
62,"Seattle Aquarium, Pier 59",3304.96063,8.10348237,4,5,6,7,5,5
63,Shilshole Bay,1954.456036,7.578378712,4,5,6,7,5,5
64,"Silverdale, Dyes Inlet",370.1199095,5.916525217,2,3,4,4,3,3
65,Skiff Point,449.879868,6.111200936,2,3,4,4,4,4
66,"Smith Cove, Terminal 91",7153.277061,8.875465647,5,6,7,8,5,5
67,Squaxin Island,174.7870787,5.169273483,1,1,2,2,2,2
68,Suquamish Stormwater Outfall,425.312212,6.05517197,2,3,4,4,4,4
69,Thea Foss Waterway,1103.394632,7.007052619,3,4,5,6,5,5
70,Three Tree Point,312.2311133,5.746941299,2,2,3,3,3,3
71,Tulalip Bay,356.8917647,5.880230607,2,3,4,4,3,3
72,Tulalip Reservation,253.4904661,5.539263374,2,2,3,3,2,2
73,West Bay Park,384.6705525,5.954983514,2,3,4,4,3,3
74,Williams Olson Park,301.2530562,5.711264601,2,2,3,3,2,2
