,site_name,DryValue,log_concentration,category_5,quantile_category
1,Aiston Preserve,23.1332244,3.183589497,1,1
2,Arroyo Beach,34.8193076,3.578487066,2,3
3,Blair Waterway,37.4048874,3.648184728,2,3
4,Blair Waterway #2,42.1555716,3.764811531,3,4
5,Brackenwood Ln,29.4975031,3.417644815,2,2
6,Broad Spit,23.4427694,3.196334442,1,2
7,Browns Point Lighthouse,40.3696984,3.72254869,3,3
8,Cap Sante,22.2824818,3.147701224,1,1
9,Chambers Bay Park,35.3918228,3.594344101,2,3
10,"Cherry Point Aquatic Reserve, Conoco Phillips",30.1834098,3.439886216,2,2
11,Chimacum Creek delta,22.461244,3.155349868,1,1
12,"Chuckanut, Clark's Point",22.378803,3.151829757,1,1
13,Comm Bay Skookum,72.5424453,4.297862727,4,5
14,"Comm Bay, Dick Gilmur Launch",71.6167453,4.285195547,4,5
15,"Comm Bay, Milwaukee Waterway",47.1132075,3.873556724,3,4
16,Des Moines Marina,44.1020728,3.808928206,3,4
17,Discovery Bay,11.7676906,2.546917808,1,1
18,Donkey Creek Delta,79.3453237,4.386333891,4,5
19,Eagle Harbor Dr,75.6208156,4.338868784,4,5
20,"Eastsound, Fishing Bay",15.9810544,2.832098276,1,1
21,Edmonds Ferry,35.6621963,3.601746151,2,3
22,Edmonds Marina,40.999446,3.737656428,3,3
23,Eld Inlet,31.1021596,3.468923305,2,2
24,Elliot Bay Myrtle Edwards,120.784217,4.802250766,5,5
25,"Elliott Bay, Harbor Island, Pier 17",108.407468,4.695079151,5,5
26,Everett Harbor,34.618573,3.572867215,2,3
27,"Fidalgo Bay Aq Reserve, Weaverling Spit",22.8947563,3.173659033,1,1
28,Filucy Bay,41.5164718,3.749891573,3,4
29,Friday Harbor,16.2941597,2.850368855,1,1
30,Gig Harbor Boat Launch,55.4091376,4.03263116,4,4
31,Hood Canal Holly,18.4396313,2.967313833,1,1
32,Jamestown,32.4813118,3.510987426,2,2
33,Kingston Marina,36.4014621,3.621709797,2,3
34,Kitsap St Boat Launch,116.330655,4.76499606,5,5
35,Kopachuck State Park,31.7126787,3.487762731,2,2
36,Lions Park,58.5767232,4.087264947,4,5
37,Locust Beach,20.4806998,3.067154848,1,1
38,Madrona Pont,53.0332314,3.989599254,3,4
39,"Manchester, Stormwater Outfall",41.0468175,3.7387837,3,3
40,Maple Hollow Park,35.9876543,3.610584189,2,3
41,Maristone Island,31.0443073,3.467119548,2,2
42,Meyer's Point - Henderson Inlet,49.0690299,3.913402651,3,4
43,Miller Creek,43.8475248,3.803268399,3,4
44,Minter Bay,31.5795918,3.483686074,2,2
45,Mukilteo,31.0727741,3.468007511,2,2
46,N Avenue Park,26.5913151,3.317501053,2,2
47,North Camano,19.0437956,2.997919659,1,1
48,Oak Bay County Park,30.1376775,3.438418581,2,2
49,Penn Cove Reference,24.8711427,3.253128166,1,2
50,Pennrose Point State Park,42.2481409,3.766954247,3,4
51,Point Defiance Ferry,48.0586584,3.893016692,3,4
52,Port Angeles Yacht Club,57.6989691,4.072422164,4,5
53,Purdy - Dexters,32.6997544,3.517490549,2,2
54,"Purdy, Burley Lagoon",44.9307355,3.827134512,3,4
55,Raft Island Park,33.0675579,3.52834555,2,2
56,Reach Island,21.0172131,3.091824561,1,1
57,Rich Passage,55.8984598,4.041268272,4,4
58,Rocky Point,60.8863081,4.125298961,4,5
59,S of Skunk Island,18.0173959,2.945354134,1,1
60,"Salmon Bay, Commodore Park",96.7352941,4.582262744,5,5
61,Salmon Beach,34.5307544,3.570398643,2,3
62,"Seattle Aquarium, Pier 59",110.165354,4.711018769,5,5
63,Shilshole Bay,90.2056632,4.513116992,5,5
64,"Silverdale, Dyes Inlet",68.540724,4.241912538,4,5
65,Skiff Point,21.310099,3.105039446,1,1
66,"Smith Cove, Terminal 91",143.065541,4.970268342,5,5
67,Squaxin Island,25.2470225,3.267552554,1,2
68,Suquamish Stormwater Outfall,48.3309332,3.898551333,3,4
69,Thea Foss Waterway,61.6602883,4.137727887,4,5
70,Three Tree Point,37.1142644,3.640588606,2,3
71,Tulalip Bay,33.7424941,3.547963552,2,2
72,Tulalip Reservation,22.9909958,3.177678585,1,1
73,West Bay Park,46.5653827,3.862105242,3,4
74,Williams Olson Park,40.3679095,3.722505447,3,3
