"latitude","longitude","site_name","qualifier","site","flagged","aldrin","dieldrin","Endosulfan_1","hexachlorobenzene","mirex"
48.6793778,-122.6300583,"Aiston Preserve","U","Aiston Preserve",TRUE,0,0,0,0,0
47.50159,-122.38577,"Arroyo Beach","U","Arroyo Beach",TRUE,0,0,0,0,0
47.2758,-122.4174,"Blair Waterway","U","Blair Waterway",TRUE,0,0,0,0,0
47.2632,-122.3856,"Blair Waterway #2","U","Blair Waterway Two",TRUE,0,NA,0,0,0
47.2632,-122.3856,"Blair Waterway #2","D","Blair Waterway Two",FALSE,NA,0.41,NA,NA,NA
47.68203,-122.50668,"Brackenwood Ln","U","Brackenwood Ln",TRUE,0,0,0,0,0
47.80934,-122.81556,"Broad Spit","U","Broad Spit",TRUE,0,0,0,0,0
47.304906,-122.44427,"Browns Point Lighthouse","U","Browns Point Lighthouse",TRUE,0,NA,0,0,0
47.304906,-122.44427,"Browns Point Lighthouse","D","Browns Point Lighthouse",FALSE,NA,0.18,NA,NA,NA
48.52093,-122.600725,"Cap Sante","U","Cap Sante",TRUE,0,0,0,0,0
47.2009,-122.58342,"Chambers Bay Park","U","Chambers Bay Park",TRUE,0,NA,0,0,0
47.2009,-122.58342,"Chambers Bay Park","D,LOQ","Chambers Bay Park",FALSE,NA,0.12,NA,NA,NA
48.820783,-122.710133,"Cherry Point Aquatic Reserve, Conoco Phillips","U","Cherry Point Aquatic Reserve, Conoco Phillips",TRUE,0,0,0,0,0
48.04887,-122.7711,"Chimacum Creek delta","U","Chimacum Creek delta",TRUE,0,0,0,0,0
48.691084,-122.504012,"Chuckanut, Clark's Point","U","Chuckanut, Clark's Point",TRUE,0,0,0,0,0
47.28915,-122.4096,"Comm Bay Skookum","U","Commencement Bay Skookum",TRUE,0,NA,0,0,0
47.28915,-122.4096,"Comm Bay Skookum","D","Commencement Bay Skookum",FALSE,NA,0.25,NA,NA,NA
47.2925,-122.4122,"Comm Bay, Dick Gilmur Launch","U","Commencement Bay, Dick Gilmur Launch",TRUE,0,NA,0,0,0
47.2925,-122.4122,"Comm Bay, Dick Gilmur Launch","D","Commencement Bay, Dick Gilmur Launch",FALSE,NA,0.19,NA,NA,NA
47.2694,-122.4243,"Comm Bay, Milwaukee Waterway","U","Commencement Bay, Milwaukee Waterway",TRUE,0,0,0,0,0
47.402778,-122.331667,"Des Moines Marina","U","Des Moines Marina",TRUE,0,NA,0,0,0
