latitude,longitude,site_name,analyte,dry_value,unit,qualifier,class
48.6793778,-122.6300583,Aiston Preserve,1_7_dimethylphenanthrene,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,2_3_5_trimethylnaphthalene,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,2_6_dimethylnaphthalene,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,2_methylnaphthalene,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,3_methylphenanthrene,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,9_methylphenanthrene,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,acenaphthene,-3.165599129,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,acenaphthylene,-3.165599129,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,aldrin,-0.974030501,ng/g,U,pesticide
48.6793778,-122.6300583,Aiston Preserve,alpha_chlordane,-0.974030501,ng/g,U,chlordane
48.6793778,-122.6300583,Aiston Preserve,alpha_hexachlorocyclohexane,-0.913153595,ng/g,U,hch
48.6793778,-122.6300583,Aiston Preserve,anthracene,-3.165599129,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,BDE028,-1.095784314,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,BDE047,-1.095784314,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,BDE049,-1.095784314,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,BDE066,-1.095784314,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,BDE085,-1.095784314,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,BDE099,-1.095784314,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,BDE100,-1.095784314,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,BDE153,-0.974030501,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,BDE154,-1.095784314,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,BDE155,-1.095784314,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,BDE183,-0.913153595,ng/g,U,pbde
48.6793778,-122.6300583,Aiston Preserve,benz_a_anthracene,-3.104722222,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,benzo_a_pyrene,-3.104722222,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,benzo_b_fluoranthene,-3.104722222,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,benzo_e_pyrene,-3.104722222,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,benzo_ghi_perylene,-3.104722222,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,benzo_k_fluoranthene,-3.104722222,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,beta_chlordane,-1.095784314,ng/g,U,chlordane
48.6793778,-122.6300583,Aiston Preserve,beta_hexachlorocyclohexane,-0.608769063,ng/g,U,hch
48.6793778,-122.6300583,Aiston Preserve,Br5DE04,-1.095784314,ng/g,U,pbde_congener
48.6793778,-122.6300583,Aiston Preserve,Br5DE05,-1.095784314,ng/g,U,pbde_congener
48.6793778,-122.6300583,Aiston Preserve,Br6DE01,-1.095784314,ng/g,U,pbde_congener
48.6793778,-122.6300583,Aiston Preserve,Br7DE01,-0.913153595,ng/g,U,pbde_congener
48.6793778,-122.6300583,Aiston Preserve,C1_benzanthracenes_chrysenes,-2.252445534,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,C1_dibenzothiophenes,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,C1_fluoranthenes_pyrenes,-3.104722222,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,C1_fluorenes,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,C1_naphthalenes,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,C1_phenanthrenes_anthracenes,8.522766885,ng/g,D,lmw
48.6793778,-122.6300583,Aiston Preserve,C2_benzanthracenes_chrysenes,-2.252445534,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,C2_dibenzothiophenes,-3.104722222,ng/g,U,lmw
48.6793778,-122.6300583,Aiston Preserve,C2_fluoranthenes_pyrenes,-3.104722222,ng/g,U,hmw
48.6793778,-122.6300583,Aiston Preserve,C2_fluorenes,-3.104722222,ng/g,U,lmw
