latitude,longitude,site_name,analyte,dry_value,units,qualifier,class
48.218626,-122.707972,Penn Cove Baseline 1,mercury ,-0.0184,mg/Kg,U,metal
48.218626,-122.707972,Penn Cove Baseline 1,arsenic,7.122641509,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 1,cadmium,1.650943396,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 1,copper,4.764150943,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 1,lead,0.123584906,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 1,zinc,68.39622642,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 2,mercury ,-0.02,mg/Kg,U,metal
48.218626,-122.707972,Penn Cove Baseline 2,arsenic,8.29015544,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 2,cadmium,2.155440415,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 2,copper,4.772020725,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 2,lead,0.152849741,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 2,zinc,80.31088083,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 3,mercury ,-0.0198,mg/Kg,U,metal
48.218626,-122.707972,Penn Cove Baseline 3,arsenic,7.424242424,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 3,cadmium,1.681818182,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 3,copper,6.313131313,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 3,lead,0.161111111,mg/Kg,D,metal
48.218626,-122.707972,Penn Cove Baseline 3,zinc,67.67676768,mg/Kg,D,metal
48.218047,-122.712359,Penn Cove Baseline 1,1_methylnaphthalene,-2.69746911,ng/g,U,lmw
48.218047,-122.712359,Penn Cove Baseline 1,1_methylnaphthalene,-2.39775032,ng/g,U,lmw
48.218047,-122.712359,Penn Cove Baseline 1,1_7_dimethylphenanthrene,-2.39775032,ng/g,U,lmw
48.218047,-122.712359,Penn Cove Baseline 1,2_methylnaphthalene,3.496719216,ng/g,"D,LOQ",lmw
48.218047,-122.712359,Penn Cove Baseline 1,2_3_5_trimethylnaphthalene,-2.39775032,ng/g,U,lmw
48.218047,-122.712359,Penn Cove Baseline 1,2_6_dimethylnaphthalene,-2.39775032,ng/g,U,lmw
48.218047,-122.712359,Penn Cove Baseline 1,3_methylphenanthrene,-2.39775032,ng/g,U,lmw
48.218047,-122.712359,Penn Cove Baseline 1,9_methylphenanthrene,-2.39775032,ng/g,U,lmw
48.218047,-122.712359,Penn Cove Baseline 1,acenaphthene,-2.447703451,ng/g,U,lmw
48.218047,-122.712359,Penn Cove Baseline 1,acenaphthylene,-2.39775032,ng/g,U,lmw
48.218047,-122.712359,Penn Cove Baseline 1,aldrin,-0.649390712,ng/g,U,pesticide
48.218047,-122.712359,Penn Cove Baseline 1,alpha_chlordane,-0.649390712,ng/g,U,chlordane
48.218047,-122.712359,Penn Cove Baseline 1,alpha_hexachlorocyclohexane,-0.59943758,ng/g,U,hch
48.218047,-122.712359,Penn Cove Baseline 1,anthracene,-2.447703451,ng/g,U,lmw
48.218047,-122.712359,Penn Cove Baseline 1,BDE028,-0.699343843,ng/g,U,pbde
48.218047,-122.712359,Penn Cove Baseline 1,BDE047,-0.749296975,ng/g,U,pbde
48.218047,-122.712359,Penn Cove Baseline 1,BDE049,-0.699343843,ng/g,U,pbde
48.218047,-122.712359,Penn Cove Baseline 1,BDE066,-0.749296975,ng/g,U,pbde
