sample_id,latitude,longitude,lat_range,long_range,label,site_name,site_number,reporting_area,geo_group,p450,sod,shell,ci1,ci2,ci3
239,48.6793778,-122.6300583,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Aiston Preserve,77,7,4,5679312,4.027,0.88,31.754,0.6673,0.0493
240,48.6793778,-122.6300583,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Aiston Preserve,77,7,4,6097784,4.41,1.145,33.897,0.6637,0.051
241,48.6793778,-122.6300583,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Aiston Preserve,77,7,4,3868923,5.064,0.945,29.328,0.6363,0.0439
242,48.6793778,-122.6300583,48.48 - 48.82,-0.52,"Group 4
Lat: 48.48 - 48.82
Long: -123.02 - -122.5",Aiston Preserve,77,7,4,3899451,25.058,1.01,33.577,0.6453,0.0519
281,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,5346329,0.512,1.015,35.779,0.6876,0.0519
282,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,2044561,6.049,1.065,35.169,0.6545,0.0546
283,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,5633230,2.326,1.02,17.657,0.6584,0.0588
284,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,4330102,14.39,0.985,24.457,0.6591,0.0718
285,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,7518449,2.815,0.955,42.24,0.66,0.1167
286,47.50161,-122.38593,47.5 - 47.79,-0.36,"Group 3
Lat: 47.5 - 47.79
Long: -122.7 - -122.34",Arroyo Beach,13,11,3,2993202,4.845,0.81,20.851,0.6426,0.0503
