"site_name","latitude","longitude","alpha_chlordane","beta_chlordane","cis_nonachlor","heptachlor","heptachlor_epoxide","nonachlor3","Oxychlordane","trans_Nonachlor","z_alpha_chlordane","z_beta_chlordane","z_cis_nonachlor","z_heptachlor","z_heptachlor_epoxide","z_nonachlor3","z_Oxychlordane","z_trans_Nonachlor","ai_z_alpha_chlordane","ai_z_beta_chlordane","ai_z_cis_nonachlor","ai_z_heptachlor","ai_z_heptachlor_epoxide","ai_z_nonachlor3","ai_z_Oxychlordane","ai_z_trans_Nonachlor","chlordane_index"
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,0.33,0.37,0,0,0,0,0,0.28,3.12780987545371,4.06930362168323,NA,NA,NA,NA,NA,2.52622814901574,3.531628394958,4.40589838087045,NA,NA,NA,NA,NA,2.93260315806139,10.8701299338898
"Salmon Bay, Commodore Park",47.666244,-122.401894,0.33,0.23,0,0,0,0,0,0.36,3.12780987545371,2.40220693702955,NA,NA,NA,NA,NA,3.36411476560471,3.531628394958,2.73880169621677,NA,NA,NA,NA,NA,3.77048977465036,10.0409198658251
"Commencement Bay Skookum",47.28915,-122.4096,0.3,0.28,0,0,0,0,0,0.25,2.80675274863935,2.99759861012015,NA,NA,NA,NA,NA,2.21202066779488,3.21057126814364,3.33419336930737,NA,NA,NA,NA,NA,2.61839567684052,9.16316031429153
"Smith Cove, Terminal 91",47.6325,-122.3786,0.3,0.26,0,0,0,0,0,0.26,2.80675274863935,2.75944194088391,NA,NA,NA,NA,NA,2.3167564948685,3.21057126814364,3.09603670007113,NA,NA,NA,NA,NA,2.72313150391415,9.02973947212891
"Shilshole Bay",47.6707,-122.40605,0.25,0,0,0,0,0,0,0.3,2.27165753728208,-0.33659475918722,NA,NA,NA,NA,NA,2.73569980316298,2.67547605678636,0,NA,NA,NA,NA,NA,3.14207481220863,5.81755086899499
"Blair Waterway",47.2758,-122.4174,0.24,0.3,0,0,0,0,0,0.24,2.16463849501062,3.23575527935639,NA,NA,NA,NA,NA,2.10728484072125,2.56845701451491,3.57235003854361,NA,NA,NA,NA,NA,2.5136598497669,8.65446690282542
"Thea Foss Waterway",47.25934,-122.43479,0.24,0.22,0,0,0,0,0,0.23,2.16463849501062,2.28312860241143,NA,NA,NA,NA,NA,2.00254901364763,2.56845701451491,2.61972336159865,NA,NA,NA,NA,NA,2.40892402269328,7.59710439880684
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,0.23,0.26,0,0,0,0,0,0.24,2.05761945273917,2.75944194088391,NA,NA,NA,NA,NA,2.10728484072125,2.46143797224345,3.09603670007113,NA,NA,NA,NA,NA,2.5136598497669,8.07113452208149
"Arroyo Beach",47.50159,-122.38577,0.22,0,0,0,0,0,0,0.3,1.95060041046771,-0.33659475918722,NA,NA,NA,NA,NA,2.73569980316298,2.354418929972,0,NA,NA,NA,NA,NA,3.14207481220863,5.49649374218063
"Miller Creek",47.443611,-122.361944,0.2,0,0,0,0,0,0,0,1.7365623259248,-0.33659475918722,NA,NA,NA,NA,NA,-0.406375009045649,2.14038084542909,0,NA,NA,NA,NA,NA,0,2.14038084542909
"Browns Point Lighthouse",47.304906,-122.44427,0.19,0.2,0,0,0,0,0,0,1.62954328365335,2.04497193317518,NA,NA,NA,NA,NA,-0.406375009045649,2.03336180315764,2.3815666923624,NA,NA,NA,NA,NA,0,4.41492849552004
"Chambers Bay Park",47.2009,-122.58342,0,0,0,0,0,0,0,0,-0.403818519504289,-0.33659475918722,NA,NA,NA,NA,NA,-0.406375009045649,0,0,NA,NA,NA,NA,NA,0,0
"Suquamish Stormwater Outfall",47.729875,-122.550882,0,0,0,0,0,0,0,0,-0.403818519504289,-0.33659475918722,NA,NA,NA,NA,NA,-0.406375009045649,0,0,NA,NA,NA,NA,NA,0,0
