site_name,latitude,longitude,pah_lmw_index,pah_hmw_index,pah_add_index
Aiston Preserve,48.6793778,-122.6300583,1.86765393,0.005649625,2.139119284
Arroyo Beach,47.50159,-122.38577,4.965709481,2.314961583,5.363599564
Blair Waterway,47.2758,-122.4174,14.23481608,4.974135826,9.608021663
Blair Waterway Two,47.2632,-122.3856,18.92230897,8.786300782,6.576063172
Brackenwood Ln,47.68203,-122.50668,4.698216875,1.573226289,4.914909178
Broad Spit,47.80934,-122.81556,0.941057984,0.059126699,2.368014052
Browns Point Lighthouse,47.304906,-122.44427,5.24726184,2.484056677,4.140664638
Cap Sante,48.52093,-122.600725,7.813565022,3.304284261,2.201870905
Chambers Bay Park,47.2009,-122.58342,1.391544039,0.93444923,2.578658331
"Cherry Point Aquatic Reserve, Conoco Phillips",48.820783,-122.710133,3.203084453,3.015825558,2.457858943
Chimacum Creek delta,48.04887,-122.7711,2.480227112,0.393581118,2.750401215
"Chuckanut, Clark's Point",48.691084,-122.504012,3.339112525,0.667355314,5.199915646
Commencement Bay Skookum,47.28915,-122.4096,10.91991471,4.415327323,6.075471698
"Commencement Bay, Dick Gilmur Launch",47.2925,-122.4122,11.22040322,4.210887135,4.279995521
"Commencement Bay, Milwaukee Waterway",47.2694,-122.4243,10.31302099,3.010031502,4.694796636
Des Moines Marina,47.402778,-122.331667,131.6057424,91.87726251,58.5246115
Discovery Bay,48.064974,-122.857218,5.512939392,1.083096793,4.451441862
Donkey Creek Delta,47.337909,-122.59023,3.317907384,4.882011285,2.540283678
Eagle Harbor Dr,47.618875,-122.527234,5.866159193,10.83733451,2.976947376
"Eastsound, Fishing Bay",48.69395,-122.909933,5.384855666,2.605629344,4.249163265
Edmonds Ferry,47.8142069,-122.3822018,5.360383189,2.739010908,6.342332139
Edmonds Marina,47.81094,-122.387955,6.600606766,4.587933111,4.765667523
Eld Inlet,47.0769,-123.0034725,5.416892734,1.358354989,3.366026298
Elliot Bay Myrtle Edwards,47.62052,-122.36373,61.59620522,101.0506419,26.01950621
"Elliott Bay, Harbor Island, Pier 17",47.5876989,-122.3505105,24.2218838,36.69961383,11.33984342
Everett Harbor,47.97252,-122.22982,3.161237568,1.630645605,3.358995499
"Fidalgo Bay Aq Reserve, Weaverling Spit",48.48425,-122.58392,14.28027157,8.216801955,3.024586721
Filucy Bay,47.19483,-122.748665,1.381658221,0.33148792,2.469810684
Friday Harbor,48.5069444,-123.0194444,6.073490924,2.379780714,3.697571174
Gig Harbor Boat Launch,47.3372,-122.58284,2.78210724,3.727344365,3.170756869
Hood Canal Holly,47.570193,-122.971775,2.845569566,0.045875216,5.735440409
Jamestown,48.027069,-122.999191,2.277632043,0.040423786,2.139119284
Kingston Marina,47.7947,-122.5003,1.302350026,0.778271513,2.826775496
Kitsap St Boat Launch,47.541533,-122.640383,12.56911698,8.099808123,6.540335619
Kopachuck State Park,47.3115,-122.68725,1.240546126,0.245672961,2.474785685
Lions Park,47.583016,-122.64217,2.935148797,1.294272453,2.885116225
Locust Beach,48.76652,-122.5395,2.73826912,0.030596212,3.58878615
Madrona Pont,47.579985,-122.67853,2.728050368,1.368938272,2.880201763
"Manchester, Stormwater Outfall",47.556111,-122.542778,1.621229448,1.407038279,2.417234596
Maple Hollow Park,47.29954,-122.74554,0.866298445,0.342854715,2.260062948
Maristone Island,48.018181,-122.699838,2.352534558,0.024910274,2.177268412
"Meyer's Point, Henderson Inlet",47.117944,-122.833528,2.722507703,0.086061389,2.291715796
Miller Creek,47.443611,-122.361944,1.942712138,1.167838825,3.074690966
Minter Bay,47.35399,-122.69176,1.300641075,0.346873843,2.395205758
Mukilteo,47.949831,-122.301703,4.674498328,1.72686789,4.281886277
N Avenue Park,48.52108,-122.61531,39.48561448,25.91782327,12.88456248
North Camano,48.25523,-122.50817,4.584046016,0.333855397,3.973702321
Oak Bay County Park,48.022466,-122.728123,2.303443384,0.05405697,2.100970156
Penn Cove Baseline,48.218047,-122.712359,0,0,0
Penn Cove Reference,48.214071,-122.719097,2.219137111,0.101918675,2.978995284
Penrose Point State Park,47.2609094,-122.7447771,0.987997442,0.483049579,2.082086653
Point Defiance Ferry,47.3061098,-122.514771,6.807867147,5.130767026,3.716617555
Port Angeles Yacht Club,48.128267,-123.457133,22.42258939,20.3991163,11.53068876
"Purdy, Dexters",47.385334,-122.628902,1.394046151,0.72873434,2.509653142
"Purdy, Burley Lagoon",47.387021,-122.6367,2.830861227,0.367244374,2.646113807
Raft Island Park,47.32622,-122.66715,1.1329325,0.233350879,2.139119284
Reach Island,47.346817,-122.822363,5.063277824,0.592981645,4.395009033
Rich Passage,47.578117,-122.524833,3.838967115,1.670903411,2.256234126
Rocky Point,47.60253,-122.66991,7.398534306,2.401121273,4.077737718
South of Skunk Island,48.02655,-122.75089,3.643149467,9.91290398,3.425464716
"Salmon Bay, Commodore Park",47.666244,-122.401894,9.941712506,2.322251187,4.729701586
Salmon Beach,47.294692,-122.530504,3.841817117,38.72168671,3.938510529
"Seattle Aquarium, Pier 59",47.607334,-122.344055,21.80245396,20.62844284,9.015358863
Shilshole Bay,47.6707,-122.40605,14.58797324,2.216475572,5.294787621
"Silverdale, Dyes Inlet",47.6428,-122.6967,3.065371547,1.780836768,2.427782468
Skiff Point,47.6614139,-122.498892,4.919072941,70.12523609,4.690343948
"Smith Cove, Terminal 91",47.6325,-122.3786,46.48325147,1.003929189,18.42985629
Squaxin Island,47.176735,-122.905337,4.71299683,0.766483077,3.28460613
Suquamish Stormwater Outfall,47.729875,-122.550882,2.977896268,1.844797009,1.606945946
Thea Foss Waterway,47.25934,-122.43479,14.51681317,9.807046584,6.248778264
Three Tree Point,47.4485721,-122.3723967,3.668658516,1.444326295,3.608835755
Tulalip Bay,48.0616613,-122.293939,3.267227091,1.274629161,4.101211224
Tulalip Reservation,48.069978,-122.300216,2.700374086,1.03200982,3.052282717
West Bay Park,47.052373,-122.9101963,3.345995899,3.159380508,4.737316802
Williams Olson Park,47.6609,-122.5668,6.223350794,1.332190854,3.224588701
